cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0003241,C0016542,DISRUPTS,Antibodies,Foreign Bodies,aapp,inpo,2,DISRUPTS_AAPPdrptINPO
C0003250,C0010957,DISRUPTS,Monoclonal Antibodies,Tissue damage,aapp,inpo,1,DISRUPTS_AAPPdrptINPO
C0004599,C0600688,DISRUPTS,Bacitracin,Toxic effect,aapp,inpo,1,DISRUPTS_AAPPdrptINPO
C0021760,C0242488,DISRUPTS,Interleukin-6,Acute Lung Injury,aapp,inpo,1,DISRUPTS_AAPPdrptINPO
C0021760,C0600688,DISRUPTS,Interleukin-6,Toxic effect,aapp,inpo,1,DISRUPTS_AAPPdrptINPO
C0079419,C0600688,DISRUPTS,TP53 gene,Toxic effect,aapp,inpo,1,DISRUPTS_AAPPdrptINPO
C0081714,C0035126,DISRUPTS,"Antigens, CD147",Reperfusion Injury,aapp,inpo,1,DISRUPTS_AAPPdrptINPO
C0085295,C0010957,DISRUPTS,Interleukin-10,Tissue damage,aapp,inpo,1,DISRUPTS_AAPPdrptINPO
C0085295,C0242488,DISRUPTS,Interleukin-10,Acute Lung Injury,aapp,inpo,1,DISRUPTS_AAPPdrptINPO
C0127615,C2905612,DISRUPTS,mesalamine,Storm NOS,aapp,inpo,1,DISRUPTS_AAPPdrptINPO
C0217090,C0600688,DISRUPTS,"pK3 protein, Vaccinia virus",Toxic effect,aapp,inpo,1,DISRUPTS_AAPPdrptINPO
C0255808,C0600688,DISRUPTS,tumor necrosis factor receptor 1A,Toxic effect,aapp,inpo,1,DISRUPTS_AAPPdrptINPO
C0282682,C0600688,DISRUPTS,"Antibodies, Blocking",Toxic effect,aapp,inpo,1,DISRUPTS_AAPPdrptINPO
C0960880,C0242488,DISRUPTS,angiotensin converting enzyme 2,Acute Lung Injury,aapp,inpo,1,DISRUPTS_AAPPdrptINPO
C0960880,C0273115,DISRUPTS,angiotensin converting enzyme 2,Lung Injury,aapp,inpo,1,DISRUPTS_AAPPdrptINPO
C0960880,C0600688,DISRUPTS,angiotensin converting enzyme 2,Toxic effect,aapp,inpo,1,DISRUPTS_AAPPdrptINPO
C1258295,C0600688,DISRUPTS,Bax protein (53-86),Toxic effect,aapp,inpo,1,DISRUPTS_AAPPdrptINPO
C1333498,C0010957,DISRUPTS,Extracellular Protein,Tissue damage,aapp,inpo,1,DISRUPTS_AAPPdrptINPO
C1333581,C0410256,DISRUPTS,FSTL3 gene,muscle injury,aapp,inpo,1,DISRUPTS_AAPPdrptINPO
C1333908,C0010957,DISRUPTS,HMGB1 gene,Tissue damage,aapp,inpo,1,DISRUPTS_AAPPdrptINPO
C1335439,C0600688,DISRUPTS,Polymerase,Toxic effect,aapp,inpo,1,DISRUPTS_AAPPdrptINPO
C1336636,C0242488,DISRUPTS,TLR4 gene,Acute Lung Injury,aapp,inpo,1,DISRUPTS_AAPPdrptINPO
C1412719,C0600688,DISRUPTS,B4GALT1 gene,Toxic effect,aapp,inpo,1,DISRUPTS_AAPPdrptINPO
C1426212,C0560617,DISRUPTS,SOCS3 gene,knocked out,aapp,inpo,1,DISRUPTS_AAPPdrptINPO
C1537719,C0746730,DISRUPTS,MIR21 gene,myocardial injury,aapp,inpo,1,DISRUPTS_AAPPdrptINPO
C3710914,C0600688,DISRUPTS,"EIF2AK2 protein, human",Toxic effect,aapp,inpo,1,DISRUPTS_AAPPdrptINPO
