cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0000545,C0035235,DISRUPTS,Eicosapentaenoic Acid,Respiratory Syncytial Virus Infections,bacs,dsyn,1,DISRUPTS_BACSdrptDSYN
C0001443,C0042749,DISRUPTS,Adenosine,Viremia,bacs,dsyn,1,DISRUPTS_BACSdrptDSYN
C0001468,C0004096,DISRUPTS,Adenosine Phosphosulfate,Asthma,bacs,dsyn,1,DISRUPTS_BACSdrptDSYN
C0003320,C0042769,DISRUPTS,Antigens,Virus Diseases,bacs,dsyn,1,DISRUPTS_BACSdrptDSYN
C0003320,C0748168,DISRUPTS,Antigens,Pulmonary Pathology,bacs,dsyn,1,DISRUPTS_BACSdrptDSYN
C0006675,C0022661,DISRUPTS,Calcium,"Kidney Failure, Chronic",bacs,dsyn,1,DISRUPTS_BACSdrptDSYN
C0008377,C0010823,DISRUPTS,Cholesterol,Cytomegalovirus Infections,bacs,dsyn,1,DISRUPTS_BACSdrptDSYN
C0008377,C0035869,DISRUPTS,Cholesterol,Rotavirus Infections,bacs,dsyn,1,DISRUPTS_BACSdrptDSYN
C0008377,C3672014,DISRUPTS,Cholesterol,Feline coronavirus infection,bacs,dsyn,1,DISRUPTS_BACSdrptDSYN
C0009968,C0206750,DISRUPTS,Copper,Coronavirus Infections,bacs,dsyn,1,DISRUPTS_BACSdrptDSYN
C0012854,C0024141,DISRUPTS,DNA,"Lupus Erythematosus, Systemic",bacs,dsyn,1,DISRUPTS_BACSdrptDSYN
C0012854,C0032285,DISRUPTS,DNA,Pneumonia,bacs,dsyn,1,DISRUPTS_BACSdrptDSYN
C0013900,C0011881,DISRUPTS,Ellagic Acid,Diabetic Nephropathy,bacs,dsyn,1,DISRUPTS_BACSdrptDSYN
C0013982,C0276289,DISRUPTS,Emodin,Zika Virus Infection,bacs,dsyn,1,DISRUPTS_BACSdrptDSYN
C0016693,C0020473,DISRUPTS,Free Radicals,Hyperlipidemia,bacs,dsyn,1,DISRUPTS_BACSdrptDSYN
C0017725,C0032285,DISRUPTS,Glucose,Pneumonia,bacs,dsyn,1,DISRUPTS_BACSdrptDSYN
C0017905,C0019163,DISRUPTS,Glycocholic Acid,Hepatitis B,bacs,dsyn,1,DISRUPTS_BACSdrptDSYN
C0018909,C0042769,DISRUPTS,Hemagglutinin,Virus Diseases,bacs,dsyn,2,DISRUPTS_BACSdrptDSYN
C0018909,C2062441,DISRUPTS,Hemagglutinin,Influenza A,bacs,dsyn,1,DISRUPTS_BACSdrptDSYN
C0019134,C1258039,DISRUPTS,heparin,Henipavirus Infections,bacs,dsyn,2,DISRUPTS_BACSdrptDSYN
C0019143,C0019348,DISRUPTS,Heparitin Sulfate,Herpes Simplex Infections,bacs,dsyn,1,DISRUPTS_BACSdrptDSYN
C0022030,C0442886,DISRUPTS,iota-Carrageenan,Secondary Infections,bacs,dsyn,1,DISRUPTS_BACSdrptDSYN
C0023546,C0032310,DISRUPTS,Leukotriene B4,"Pneumonia, Viral",bacs,dsyn,1,DISRUPTS_BACSdrptDSYN
C0024742,C0019693,DISRUPTS,Mannose,HIV Infections,bacs,dsyn,1,DISRUPTS_BACSdrptDSYN
C0028606,C0206750,DISRUPTS,Nucleic Acids,Coronavirus Infections,bacs,dsyn,1,DISRUPTS_BACSdrptDSYN
C0031860,C0003864,DISRUPTS,Phytol,Arthritis,bacs,dsyn,2,DISRUPTS_BACSdrptDSYN
C0032081,C0035869,DISRUPTS,Plant Extracts,Rotavirus Infections,bacs,dsyn,2,DISRUPTS_BACSdrptDSYN
C0033607,C0042769,DISRUPTS,Protease Inhibitors,Virus Diseases,bacs,dsyn,1,DISRUPTS_BACSdrptDSYN
C0035693,C0042769,DISRUPTS,"RNA, Double-Stranded",Virus Diseases,bacs,dsyn,1,DISRUPTS_BACSdrptDSYN
C0035696,C1175175,DISRUPTS,"RNA, Messenger",Severe Acute Respiratory Syndrome,bacs,dsyn,1,DISRUPTS_BACSdrptDSYN
C0036733,C0035235,DISRUPTS,Serine Proteinase Inhibitors,Respiratory Syncytial Virus Infections,bacs,dsyn,2,DISRUPTS_BACSdrptDSYN
C0040549,C1855038,DISRUPTS,Toxin,Hepatocellular necrosis,bacs,dsyn,1,DISRUPTS_BACSdrptDSYN
C0040815,C2047215,DISRUPTS,Trehalose,Herpesvirus 5 infection,bacs,dsyn,1,DISRUPTS_BACSdrptDSYN
C0042479,C4288963,DISRUPTS,Venoms,Hepatitis C Virus Infection,bacs,dsyn,1,DISRUPTS_BACSdrptDSYN
C0043481,C0042769,DISRUPTS,Zinc,Virus Diseases,bacs,dsyn,2,DISRUPTS_BACSdrptDSYN
C0056912,C0042769,DISRUPTS,cytidylyl-3'-5'-guanosine,Virus Diseases,bacs,dsyn,1,DISRUPTS_BACSdrptDSYN
