cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0001551,C0037949,DISRUPTS,Immunologic Adjuvants,Vertebral column,imft,bpoc,1,DISRUPTS_IMFTdrptBPOC
C0003316,C0034196,DISRUPTS,Epitopes,Pylorus,imft,bpoc,1,DISRUPTS_IMFTdrptBPOC
C0003342,C0005854,DISRUPTS,"Antigens, Viral",Blood - brain barrier anatomy,imft,bpoc,1,DISRUPTS_IMFTdrptBPOC
C0042210,C0015731,DISRUPTS,Vaccines,Feathers,imft,bpoc,1,DISRUPTS_IMFTdrptBPOC
C0042210,C0024109,DISRUPTS,Vaccines,Lung,imft,bpoc,1,DISRUPTS_IMFTdrptBPOC
C0376613,C0024109,DISRUPTS,"Vaccines, DNA",Lung,imft,bpoc,2,DISRUPTS_IMFTdrptBPOC
C0450099,C1179178,DISRUPTS,Influenza virus antigen,Epithelium of lobular bronchiole,imft,bpoc,1,DISRUPTS_IMFTdrptBPOC
C0597641,C0023884,DISRUPTS,plasmid vaccine,Liver,imft,bpoc,1,DISRUPTS_IMFTdrptBPOC
C0887892,C0024109,DISRUPTS,"Vaccines, Subunit",Lung,imft,bpoc,1,DISRUPTS_IMFTdrptBPOC
C3161957,C0024109,DISRUPTS,INFLUENZA strains,Lung,imft,bpoc,1,DISRUPTS_IMFTdrptBPOC
