cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0001962,C1721019,DISRUPTS,Ethanol,Virus Attachment,orch,biof,1,DISRUPTS_ORCHdrptBIOF
C0008286,C0220781,DISRUPTS,Chlorpromazine,Anabolism,orch,biof,3,DISRUPTS_ORCHdrptBIOF
C0016277,C0220781,DISRUPTS,Fluconazole,Anabolism,orch,biof,1,DISRUPTS_ORCHdrptBIOF
C0016979,C1721019,DISRUPTS,Gallic acid,Virus Attachment,orch,biof,1,DISRUPTS_ORCHdrptBIOF
C0019435,C1721019,DISRUPTS,Hexachlorophene,Virus Attachment,orch,biof,2,DISRUPTS_ORCHdrptBIOF
C0021218,C1721019,DISRUPTS,Indigo,Virus Attachment,orch,biof,1,DISRUPTS_ORCHdrptBIOF
C0021236,C1721020,DISRUPTS,indole,Virus Membrane Fusion,orch,biof,1,DISRUPTS_ORCHdrptBIOF
C0023810,C3714634,DISRUPTS,Lipopolysaccharides,Biological Processes,orch,biof,1,DISRUPTS_ORCHdrptBIOF
C0028247,C0220781,DISRUPTS,Nocodazole,Anabolism,orch,biof,1,DISRUPTS_ORCHdrptBIOF
C0032594,C1721019,DISRUPTS,Polysaccharides,Virus Attachment,orch,biof,1,DISRUPTS_ORCHdrptBIOF
C0034392,C1721020,DISRUPTS,Quercetin,Virus Membrane Fusion,orch,biof,2,DISRUPTS_ORCHdrptBIOF
C0052573,C3894443,DISRUPTS,astragalin,reactive oxygen species biosynthetic process,orch,biof,2,DISRUPTS_ORCHdrptBIOF
C0052919,C0220781,DISRUPTS,bafilomycin A1,Anabolism,orch,biof,1,DISRUPTS_ORCHdrptBIOF
C0055082,C0013203,DISRUPTS,cepharanthine,Drug resistance,orch,biof,1,DISRUPTS_ORCHdrptBIOF
C0059438,C0220781,DISRUPTS,epigallocatechin gallate,Anabolism,orch,biof,2,DISRUPTS_ORCHdrptBIOF
C0061751,C1721019,DISRUPTS,Glycyrrhizic Acid,Virus Attachment,orch,biof,1,DISRUPTS_ORCHdrptBIOF
C0061751,C3894443,DISRUPTS,Glycyrrhizic Acid,reactive oxygen species biosynthetic process,orch,biof,3,DISRUPTS_ORCHdrptBIOF
C0062637,C0220781,DISRUPTS,Hexamethonium,Anabolism,orch,biof,1,DISRUPTS_ORCHdrptBIOF
C0064071,C1721019,DISRUPTS,isoquercitrin,Virus Attachment,orch,biof,1,DISRUPTS_ORCHdrptBIOF
C0067067,C0220781,DISRUPTS,myricetin,Anabolism,orch,biof,1,DISRUPTS_ORCHdrptBIOF
C0071513,C1721019,DISRUPTS,polyanion,Virus Attachment,orch,biof,1,DISRUPTS_ORCHdrptBIOF
C0072018,C1721019,DISRUPTS,proanthocyanidin,Virus Attachment,orch,biof,1,DISRUPTS_ORCHdrptBIOF
C0073096,C1721019,DISRUPTS,resveratrol,Virus Attachment,orch,biof,1,DISRUPTS_ORCHdrptBIOF
C0076656,C0220781,DISRUPTS,tiazofurin,Anabolism,orch,biof,1,DISRUPTS_ORCHdrptBIOF
C0076992,C0220781,DISRUPTS,triacsin C,Anabolism,orch,biof,1,DISRUPTS_ORCHdrptBIOF
C0079224,C1721019,DISRUPTS,Dextran Sulfate,Virus Attachment,orch,biof,1,DISRUPTS_ORCHdrptBIOF
C0145745,C0220781,DISRUPTS,1-phenyl-2-decanoylamino-3-morpholino-1-propanol,Anabolism,orch,biof,1,DISRUPTS_ORCHdrptBIOF
C0254211,C1721020,DISRUPTS,arbidol,Virus Membrane Fusion,orch,biof,1,DISRUPTS_ORCHdrptBIOF
C0280485,C0220781,DISRUPTS,m-azidopyrimethamine,Anabolism,orch,biof,2,DISRUPTS_ORCHdrptBIOF
C0298130,C1721019,DISRUPTS,montelukast,Virus Attachment,orch,biof,1,DISRUPTS_ORCHdrptBIOF
C0605290,C1721019,DISRUPTS,SAS,Virus Attachment,orch,biof,1,DISRUPTS_ORCHdrptBIOF
C0637815,C1721019,DISRUPTS,eckol,Virus Attachment,orch,biof,1,DISRUPTS_ORCHdrptBIOF
C0723179,C0220781,DISRUPTS,SSD,Anabolism,orch,biof,1,DISRUPTS_ORCHdrptBIOF
C0894563,C1721019,DISRUPTS,"goitrin, (R)-isomer",Virus Attachment,orch,biof,3,DISRUPTS_ORCHdrptBIOF
C0911924,C1721019,DISRUPTS,6'-sialyllactose,Virus Attachment,orch,biof,1,DISRUPTS_ORCHdrptBIOF
C1328819,C0042765,DISRUPTS,Small Molecule,Virulence,orch,biof,1,DISRUPTS_ORCHdrptBIOF
C1328819,C0220781,DISRUPTS,Small Molecule,Anabolism,orch,biof,2,DISRUPTS_ORCHdrptBIOF
C1328819,C1160638,DISRUPTS,Small Molecule,Viral life cycle,orch,biof,1,DISRUPTS_ORCHdrptBIOF
C1328819,C1721020,DISRUPTS,Small Molecule,Virus Membrane Fusion,orch,biof,1,DISRUPTS_ORCHdrptBIOF
C1435604,C0220781,DISRUPTS,BMS 433771,Anabolism,orch,biof,1,DISRUPTS_ORCHdrptBIOF
C1570060,C1721019,DISRUPTS,dendron,Virus Attachment,orch,biof,1,DISRUPTS_ORCHdrptBIOF
C1609342,C0220781,DISRUPTS,PAMAM dendrimer,Anabolism,orch,biof,1,DISRUPTS_ORCHdrptBIOF
C4050026,C3853734,DISRUPTS,Matrix,viral process,orch,biof,1,DISRUPTS_ORCHdrptBIOF
