cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0007004,C0553695,DISRUPTS,Carbohydrates,Exocrine pancreas,orch,bpoc,1,DISRUPTS_ORCHdrptBPOC
C0023779,C0553695,DISRUPTS,Lipids,Exocrine pancreas,orch,bpoc,1,DISRUPTS_ORCHdrptBPOC
C0032857,C0031354,DISRUPTS,Povidone-Iodine,Pharyngeal structure,orch,bpoc,1,DISRUPTS_ORCHdrptBPOC
C0039925,C0001613,DISRUPTS,Thiopental,Adrenal Cortex,orch,bpoc,1,DISRUPTS_ORCHdrptBPOC
C0053530,C1882726,DISRUPTS,betulinic acid,Rat Liver,orch,bpoc,2,DISRUPTS_ORCHdrptBPOC
C0059747,C0694604,DISRUPTS,ethyl acetate,Intermediate periventricular nucleus,orch,bpoc,1,DISRUPTS_ORCHdrptBPOC
C0071071,C0018827,DISRUPTS,pimobendan,Heart Ventricle,orch,bpoc,1,DISRUPTS_ORCHdrptBPOC
C0126174,C0819757,DISRUPTS,Losartan,Structure of parenchyma of lung,orch,bpoc,1,DISRUPTS_ORCHdrptBPOC
C0721062,C0005682,DISRUPTS,InFed,Urinary Bladder,orch,bpoc,1,DISRUPTS_ORCHdrptBPOC
C0721062,C0024109,DISRUPTS,InFed,Lung,orch,bpoc,1,DISRUPTS_ORCHdrptBPOC
C0874161,C0225695,DISRUPTS,Oseltamivir,Alveolar wall,orch,bpoc,2,DISRUPTS_ORCHdrptBPOC
C0874161,C1440080,DISRUPTS,Oseltamivir,Alveolar,orch,bpoc,2,DISRUPTS_ORCHdrptBPOC
C1453711,C0024109,DISRUPTS,protectin D1,Lung,orch,bpoc,1,DISRUPTS_ORCHdrptBPOC
C1723285,C0262304,DISRUPTS,"N'-(3,4-dihydroxybenzylidene)-3-hydroxy-2-naphthahydrazide",pars postrema of the ventral lateral nucleus,orch,bpoc,1,DISRUPTS_ORCHdrptBPOC
C2746078,C0022646,DISRUPTS,Linagliptin,Kidney,orch,bpoc,1,DISRUPTS_ORCHdrptBPOC
C4045487,C0024109,DISRUPTS,verdinexor,Lung,orch,bpoc,1,DISRUPTS_ORCHdrptBPOC
