cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0001962,C0032463,DISRUPTS,Ethanol,Polycythemia Vera,orch,neop,1,DISRUPTS_ORCHdrptNEOP
C0006812,C0027651,DISRUPTS,Camptothecin,Neoplasms,orch,neop,1,DISRUPTS_ORCHdrptNEOP
C0012772,C0598934,DISRUPTS,Disulfiram,tumor growth,orch,neop,1,DISRUPTS_ORCHdrptNEOP
C0023828,C0598934,DISRUPTS,Liposomes,tumor growth,orch,neop,1,DISRUPTS_ORCHdrptNEOP
C0023828,C2939419,DISRUPTS,Liposomes,Secondary Neoplasm,orch,neop,1,DISRUPTS_ORCHdrptNEOP
C0025598,C0007115,DISRUPTS,Metformin,Malignant neoplasm of thyroid,orch,neop,1,DISRUPTS_ORCHdrptNEOP
C0025598,C0598934,DISRUPTS,Metformin,tumor growth,orch,neop,1,DISRUPTS_ORCHdrptNEOP
C0031428,C0006142,DISRUPTS,Phenols,Malignant neoplasm of breast,orch,neop,1,DISRUPTS_ORCHdrptNEOP
C0034392,C1458155,DISRUPTS,Quercetin,Mammary Neoplasms,orch,neop,1,DISRUPTS_ORCHdrptNEOP
C0036311,C0598934,DISRUPTS,Schiff Bases,tumor growth,orch,neop,1,DISRUPTS_ORCHdrptNEOP
C0039286,C0598934,DISRUPTS,Tamoxifen,tumor growth,orch,neop,1,DISRUPTS_ORCHdrptNEOP
C0051561,C0279068,DISRUPTS,amentoflavone,Childhood Solid Neoplasm,orch,neop,1,DISRUPTS_ORCHdrptNEOP
C0058330,C0598934,DISRUPTS,dioscin,tumor growth,orch,neop,1,DISRUPTS_ORCHdrptNEOP
C0059438,C0027627,DISRUPTS,epigallocatechin gallate,Neoplasm Metastasis,orch,neop,1,DISRUPTS_ORCHdrptNEOP
C0059438,C0027651,DISRUPTS,epigallocatechin gallate,Neoplasms,orch,neop,1,DISRUPTS_ORCHdrptNEOP
C0059438,C1516170,DISRUPTS,epigallocatechin gallate,Cancer Cell Growth,orch,neop,1,DISRUPTS_ORCHdrptNEOP
C0059747,C0032463,DISRUPTS,ethyl acetate,Polycythemia Vera,orch,neop,1,DISRUPTS_ORCHdrptNEOP
C0061275,C0598934,DISRUPTS,ginsenoside Rh2,tumor growth,orch,neop,1,DISRUPTS_ORCHdrptNEOP
C0063034,C0079731,DISRUPTS,huperzine B,B-Cell Lymphomas,orch,neop,1,DISRUPTS_ORCHdrptNEOP
C0071443,C2239176,DISRUPTS,Polylactic acid (substance),Liver carcinoma,orch,neop,1,DISRUPTS_ORCHdrptNEOP
C0144576,C0027651,DISRUPTS,Paclitaxel,Neoplasms,orch,neop,1,DISRUPTS_ORCHdrptNEOP
C0207682,C0494165,DISRUPTS,nafamostat mesilate,Secondary malignant neoplasm of liver,orch,neop,1,DISRUPTS_ORCHdrptNEOP
C0377261,C0017638,DISRUPTS,saikosaponin A,Glioma,orch,neop,1,DISRUPTS_ORCHdrptNEOP
C0385181,C0598934,DISRUPTS,ginsenoside Rg3,tumor growth,orch,neop,1,DISRUPTS_ORCHdrptNEOP
C0596577,C0598934,DISRUPTS,Flavonoids,tumor growth,orch,neop,1,DISRUPTS_ORCHdrptNEOP
C0596577,C1519670,DISRUPTS,Flavonoids,Tumor Angiogenesis,orch,neop,1,DISRUPTS_ORCHdrptNEOP
C0619897,C0598934,DISRUPTS,dihydroberberine,tumor growth,orch,neop,1,DISRUPTS_ORCHdrptNEOP
C0637815,C0027651,DISRUPTS,eckol,Neoplasms,orch,neop,1,DISRUPTS_ORCHdrptNEOP
C0723179,C0006826,DISRUPTS,SSD,Malignant Neoplasms,orch,neop,1,DISRUPTS_ORCHdrptNEOP
C0723179,C0598934,DISRUPTS,SSD,tumor growth,orch,neop,1,DISRUPTS_ORCHdrptNEOP
C0771683,C0027651,DISRUPTS,undecan-2-one,Neoplasms,orch,neop,1,DISRUPTS_ORCHdrptNEOP
C1095914,C0598934,DISRUPTS,Reishi mushroom preparation,tumor growth,orch,neop,1,DISRUPTS_ORCHdrptNEOP
C1176020,C0598934,DISRUPTS,sunitinib,tumor growth,orch,neop,1,DISRUPTS_ORCHdrptNEOP
C1450602,C0598934,DISRUPTS,acutissimin A,tumor growth,orch,neop,1,DISRUPTS_ORCHdrptNEOP
C1455147,C0006826,DISRUPTS,dasatinib,Malignant Neoplasms,orch,neop,1,DISRUPTS_ORCHdrptNEOP
C2364686,C2239176,DISRUPTS,EMBLICA,Liver carcinoma,orch,neop,1,DISRUPTS_ORCHdrptNEOP
C2715073,C0153676,DISRUPTS,NED 19,Secondary malignant neoplasm of lung,orch,neop,1,DISRUPTS_ORCHdrptNEOP
C2741935,C0598934,DISRUPTS,timosaponin AIII,tumor growth,orch,neop,1,DISRUPTS_ORCHdrptNEOP
C3180310,C0007102,DISRUPTS,ganoderic acid,Malignant tumor of colon,orch,neop,1,DISRUPTS_ORCHdrptNEOP
C3883776,C0007114,DISRUPTS,juglanin,Malignant neoplasm of skin,orch,neop,2,DISRUPTS_ORCHdrptNEOP
