cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0002502,C0243144,DISRUPTS,Amiloride,Uptake,orch,phsf,1,DISRUPTS_ORCHdrptPHSF
C0008286,C0243144,DISRUPTS,Chlorpromazine,Uptake,orch,phsf,2,DISRUPTS_ORCHdrptPHSF
C0016293,C3179158,DISRUPTS,Flumazenil,Hypnotic Effect,orch,phsf,1,DISRUPTS_ORCHdrptPHSF
C0023810,C1512827,DISRUPTS,Lipopolysaccharides,Interferon Signaling Process,orch,phsf,2,DISRUPTS_ORCHdrptPHSF
C0029904,C0243144,DISRUPTS,Ouabain,Uptake,orch,phsf,1,DISRUPTS_ORCHdrptPHSF
C0034251,C0221102,DISRUPTS,pyridine,Excretory function,orch,phsf,1,DISRUPTS_ORCHdrptPHSF
C0042890,C0035203,DISRUPTS,Vitamins,Respiration,orch,phsf,1,DISRUPTS_ORCHdrptPHSF
C0049149,C0243144,DISRUPTS,5-dimethylamiloride,Uptake,orch,phsf,1,DISRUPTS_ORCHdrptPHSF
C0055944,C0035203,DISRUPTS,closantel,Respiration,orch,phsf,1,DISRUPTS_ORCHdrptPHSF
C0059438,C0243144,DISRUPTS,epigallocatechin gallate,Uptake,orch,phsf,1,DISRUPTS_ORCHdrptPHSF
C0059831,C0243144,DISRUPTS,ethylisopropylamiloride,Uptake,orch,phsf,3,DISRUPTS_ORCHdrptPHSF
C0060794,C0243144,DISRUPTS,fucoidan,Uptake,orch,phsf,1,DISRUPTS_ORCHdrptPHSF
C0064326,C1512179,DISRUPTS,Ketorolac Tromethamine,Eicosanoid Production,orch,phsf,1,DISRUPTS_ORCHdrptPHSF
C0065656,C0597675,DISRUPTS,manidipine,voltage gated channel,orch,phsf,1,DISRUPTS_ORCHdrptPHSF
C0073177,C0243144,DISRUPTS,rhein,Uptake,orch,phsf,1,DISRUPTS_ORCHdrptPHSF
C0088341,C0597675,DISRUPTS,benidipine hydrochloride,voltage gated channel,orch,phsf,1,DISRUPTS_ORCHdrptPHSF
C0102885,C0524828,DISRUPTS,Am 580,Cytoprotection,orch,phsf,1,DISRUPTS_ORCHdrptPHSF
C0126174,C1258192,DISRUPTS,Losartan,Total Peripheral Resistance,orch,phsf,1,DISRUPTS_ORCHdrptPHSF
C0207682,C1328910,DISRUPTS,nafamostat mesilate,immune resistance,orch,phsf,1,DISRUPTS_ORCHdrptPHSF
C0251673,C0243144,DISRUPTS,rottlerin,Uptake,orch,phsf,2,DISRUPTS_ORCHdrptPHSF
C0251991,C0243144,DISRUPTS,LY 294002,Uptake,orch,phsf,1,DISRUPTS_ORCHdrptPHSF
C0378675,C0597675,DISRUPTS,cilnidipine,voltage gated channel,orch,phsf,1,DISRUPTS_ORCHdrptPHSF
C0606070,C0221102,DISRUPTS,tocophersolan,Excretory function,orch,phsf,1,DISRUPTS_ORCHdrptPHSF
C0664589,C0243144,DISRUPTS,glabridin,Uptake,orch,phsf,2,DISRUPTS_ORCHdrptPHSF
C0951233,C0243144,DISRUPTS,CETRIMONIUM BROMIDE,Uptake,orch,phsf,1,DISRUPTS_ORCHdrptPHSF
C1723285,C0243144,DISRUPTS,"N'-(3,4-dihydroxybenzylidene)-3-hydroxy-2-naphthahydrazide",Uptake,orch,phsf,2,DISRUPTS_ORCHdrptPHSF
C2713011,C0243144,DISRUPTS,obatoclax,Uptake,orch,phsf,2,DISRUPTS_ORCHdrptPHSF
C2974522,C0751982,DISRUPTS,SCH 530348,Neutrophil Infiltration,orch,phsf,1,DISRUPTS_ORCHdrptPHSF
C4050026,C0020964,DISRUPTS,Matrix,Immunity,orch,phsf,1,DISRUPTS_ORCHdrptPHSF
C4308689,C0597675,DISRUPTS,hinokiol,voltage gated channel,orch,phsf,2,DISRUPTS_ORCHdrptPHSF
