cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0003402,C3894443,DISRUPTS,Antioxidants,reactive oxygen species biosynthetic process,phsu,biof,1,DISRUPTS_PHSUdrptBIOF
C0003451,C1721020,DISRUPTS,Antiviral Agents,Virus Membrane Fusion,phsu,biof,1,DISRUPTS_PHSUdrptBIOF
C0009905,C0013203,DISRUPTS,"Contraceptives, Oral",Drug resistance,phsu,biof,1,DISRUPTS_PHSUdrptBIOF
C0016278,C0220781,DISRUPTS,Flucytosine,Anabolism,phsu,biof,1,DISRUPTS_PHSUdrptBIOF
C0035525,C0042765,DISRUPTS,Ribavirin,Virulence,phsu,biof,1,DISRUPTS_PHSUdrptBIOF
C0035525,C0220781,DISRUPTS,Ribavirin,Anabolism,phsu,biof,2,DISRUPTS_PHSUdrptBIOF
C0063469,C1721019,DISRUPTS,indirubin,Virus Attachment,phsu,biof,1,DISRUPTS_PHSUdrptBIOF
C0070895,C0220781,DISRUPTS,Foscarnet,Anabolism,phsu,biof,1,DISRUPTS_PHSUdrptBIOF
C0085387,C0220781,DISRUPTS,Cyclooxygenase Inhibitors,Anabolism,phsu,biof,1,DISRUPTS_PHSUdrptBIOF
C0759032,C1721019,DISRUPTS,pleconaril,Virus Attachment,phsu,biof,1,DISRUPTS_PHSUdrptBIOF
