cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0002520,C1334043,HIGHER_THAN,Amino Acids,Homologous Gene,aapp,gngm,1,HIGHER_THAN_AAPPhghtGNGM
C0015980,C1332838,HIGHER_THAN,Interferon-beta,Candidate Disease Gene,aapp,gngm,1,HIGHER_THAN_AAPPhghtGNGM
C0036764,C1335528,HIGHER_THAN,Serpins,Peptidase Gene,aapp,gngm,1,HIGHER_THAN_AAPPhghtGNGM
C0062154,C1334043,HIGHER_THAN,hemagglutinin esterase,Homologous Gene,aapp,gngm,1,HIGHER_THAN_AAPPhghtGNGM
C0259139,C0079941,HIGHER_THAN,K1 killer toxin,Open Reading Frames,aapp,gngm,1,HIGHER_THAN_AAPPhghtGNGM
C0751973,C0079941,HIGHER_THAN,Proteome,Open Reading Frames,aapp,gngm,1,HIGHER_THAN_AAPPhghtGNGM
C1334078,C0086344,HIGHER_THAN,IFITM1 gene,Immune response gene,aapp,gngm,1,HIGHER_THAN_AAPPhghtGNGM
C1412533,C1427005,HIGHER_THAN,ARIH1 gene,SV2A gene,aapp,gngm,1,HIGHER_THAN_AAPPhghtGNGM
C1413563,C1824675,HIGHER_THAN,CNTN5 gene,CD177 gene,aapp,gngm,1,HIGHER_THAN_AAPPhghtGNGM
C1418508,C0678941,HIGHER_THAN,PGK1 gene,Gene Mutant,aapp,gngm,1,HIGHER_THAN_AAPPhghtGNGM
C1419299,C1419310,HIGHER_THAN,RBM3 gene,RBMY1A1 gene,aapp,gngm,1,HIGHER_THAN_AAPPhghtGNGM
C1422055,C1864650,HIGHER_THAN,POLE3 gene,GNAS-AS1 gene,aapp,gngm,1,HIGHER_THAN_AAPPhghtGNGM
C1423506,C1704944,HIGHER_THAN,SPINK5 gene,MLL2 wt Allele,aapp,gngm,1,HIGHER_THAN_AAPPhghtGNGM
C1424776,C1423718,HIGHER_THAN,NT5C gene,NT5M gene,aapp,gngm,1,HIGHER_THAN_AAPPhghtGNGM
C1427812,C0079941,HIGHER_THAN,PDLIM7 gene,Open Reading Frames,aapp,gngm,1,HIGHER_THAN_AAPPhghtGNGM
C1537424,C1334083,HIGHER_THAN,IRGM gene,IFNGR1 gene,aapp,gngm,1,HIGHER_THAN_AAPPhghtGNGM
C1705504,C0042720,HIGHER_THAN,HTATIP wt Allele,Viral Genome,aapp,gngm,1,HIGHER_THAN_AAPPhghtGNGM
C3539688,C1332838,HIGHER_THAN,DEGS1 wt Allele,Candidate Disease Gene,aapp,gngm,1,HIGHER_THAN_AAPPhghtGNGM
