cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0009221,C0034665,HIGHER_THAN,Codon (nucleotide sequence),Ranitidine,bacs,orch,1,HIGHER_THAN_BACShghtORCH
C0010204,C0020327,HIGHER_THAN,Coumaric Acids,Hydroxybenzoic Acids,bacs,orch,1,HIGHER_THAN_BACShghtORCH
C0016693,C0003968,HIGHER_THAN,Free Radicals,Ascorbic Acid,bacs,orch,1,HIGHER_THAN_BACShghtORCH
C0016895,C0122208,HIGHER_THAN,Ganglioside GM1,holotoxins,bacs,orch,1,HIGHER_THAN_BACShghtORCH
C0021540,C2926735,HIGHER_THAN,Inosine Triphosphate,Duration,bacs,orch,1,HIGHER_THAN_BACShghtORCH
C0024742,C0023779,HIGHER_THAN,Mannose,Lipids,bacs,orch,1,HIGHER_THAN_BACShghtORCH
C0030234,C2348013,HIGHER_THAN,Palmitic Acid,Crude Fiber,bacs,orch,1,HIGHER_THAN_BACShghtORCH
C0056554,C1175906,HIGHER_THAN,cryptopleurine,antofine,bacs,orch,2,HIGHER_THAN_BACShghtORCH
C0060656,C0022179,HIGHER_THAN,formononetin,Isoflavones,bacs,orch,1,HIGHER_THAN_BACShghtORCH
C0060656,C0909408,HIGHER_THAN,formononetin,"7,3'-dihydroxy-4'-methoxyisoflavone",bacs,orch,1,HIGHER_THAN_BACShghtORCH
C0060656,C2603454,HIGHER_THAN,formononetin,ononin,bacs,orch,2,HIGHER_THAN_BACShghtORCH
C0109497,C0069227,HIGHER_THAN,cholate,"O-(glucuronic acid 2-sulfate)-(1--3)-O-(2,5)-andydrotalitol 6-sulfate",bacs,orch,1,HIGHER_THAN_BACShghtORCH
C0302583,C0309049,HIGHER_THAN,Iron,favor,bacs,orch,1,HIGHER_THAN_BACShghtORCH
C1620047,C0637815,HIGHER_THAN,dieckol,eckol,bacs,orch,1,HIGHER_THAN_BACShghtORCH
