cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0007447,C0002520,HIGHER_THAN,Cations,Amino Acids,chvs,aapp,1,HIGHER_THAN_CHVShghtAAPP
C0032521,C4284285,HIGHER_THAN,Polymers,SNAP25 wt Allele,chvs,aapp,1,HIGHER_THAN_CHVShghtAAPP
C0243072,C1100276,HIGHER_THAN,derivatives,GW 409544,chvs,aapp,1,HIGHER_THAN_CHVShghtAAPP
C0596040,C0035541,HIGHER_THAN,adduct,Pancreatic ribonuclease,chvs,aapp,1,HIGHER_THAN_CHVShghtAAPP
C0596973,C1883559,HIGHER_THAN,monomer,Wild Type,chvs,aapp,1,HIGHER_THAN_CHVShghtAAPP
C0597177,C0003241,HIGHER_THAN,Particle,Antibodies,chvs,aapp,1,HIGHER_THAN_CHVShghtAAPP
C0597177,C0027597,HIGHER_THAN,Particle,Zinostatin,chvs,aapp,1,HIGHER_THAN_CHVShghtAAPP
C0597177,C0065827,HIGHER_THAN,Particle,Measles Virus Nucleoprotein,chvs,aapp,1,HIGHER_THAN_CHVShghtAAPP
C0597177,C1332749,HIGHER_THAN,Particle,HERC5 gene,chvs,aapp,1,HIGHER_THAN_CHVShghtAAPP
C1704241,C0599220,HIGHER_THAN,complex (molecular entity),Protein Subunits,chvs,aapp,1,HIGHER_THAN_CHVShghtAAPP
C1704241,C1180347,HIGHER_THAN,complex (molecular entity),Protein complex,chvs,aapp,1,HIGHER_THAN_CHVShghtAAPP
C1704241,C1424650,HIGHER_THAN,complex (molecular entity),IFI44 gene,chvs,aapp,1,HIGHER_THAN_CHVShghtAAPP
