cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0024861,C0024861,HIGHER_THAN,Masks,Masks,medd,medd,3,HIGHER_THAN_MEDDhghtMEDD
C0024861,C0181744,HIGHER_THAN,Masks,Oxygen mask,medd,medd,1,HIGHER_THAN_MEDDhghtMEDD
C0024861,C0181758,HIGHER_THAN,Masks,Surgical face mask,medd,medd,4,HIGHER_THAN_MEDDhghtMEDD
C0027524,C0024861,HIGHER_THAN,Nebulizers,Masks,medd,medd,1,HIGHER_THAN_MEDDhghtMEDD
C0042497,C0024861,HIGHER_THAN,Mechanical Ventilator,Masks,medd,medd,4,HIGHER_THAN_MEDDhghtMEDD
C0042497,C0042497,HIGHER_THAN,Mechanical Ventilator,Mechanical Ventilator,medd,medd,1,HIGHER_THAN_MEDDhghtMEDD
C0042497,C0181758,HIGHER_THAN,Mechanical Ventilator,Surgical face mask,medd,medd,1,HIGHER_THAN_MEDDhghtMEDD
C0150789,C0150789,HIGHER_THAN,Patient Holding Stretchers,Patient Holding Stretchers,medd,medd,3,HIGHER_THAN_MEDDhghtMEDD
C0175723,C0175723,HIGHER_THAN,Bands,Bands,medd,medd,1,HIGHER_THAN_MEDDhghtMEDD
C0179199,C0179199,HIGHER_THAN,"Balance, device","Balance, device",medd,medd,1,HIGHER_THAN_MEDDhghtMEDD
C0179302,C0032042,HIGHER_THAN,"Binder, device",Placebos,medd,medd,1,HIGHER_THAN_MEDDhghtMEDD
C0180694,C0180694,HIGHER_THAN,Bovie,Bovie,medd,medd,1,HIGHER_THAN_MEDDhghtMEDD
C0180979,C0180979,HIGHER_THAN,Frame (physical object),Frame (physical object),medd,medd,1,HIGHER_THAN_MEDDhghtMEDD
C0181064,C0024861,HIGHER_THAN,Gown,Masks,medd,medd,1,HIGHER_THAN_MEDDhghtMEDD
C0181064,C0181064,HIGHER_THAN,Gown,Gown,medd,medd,1,HIGHER_THAN_MEDDhghtMEDD
C0181687,C0181687,HIGHER_THAN,loops,loops,medd,medd,1,HIGHER_THAN_MEDDhghtMEDD
C0181758,C0024861,HIGHER_THAN,Surgical face mask,Masks,medd,medd,1,HIGHER_THAN_MEDDhghtMEDD
C0182400,C0182400,HIGHER_THAN,Probes,Probes,medd,medd,14,HIGHER_THAN_MEDDhghtMEDD
C0183479,C0183479,HIGHER_THAN,Spreader,Spreader,medd,medd,1,HIGHER_THAN_MEDDhghtMEDD
C0184159,C0336630,HIGHER_THAN,Tracheostomy tube,Endotracheal tube,medd,medd,1,HIGHER_THAN_MEDDhghtMEDD
C0184159,C0993596,HIGHER_THAN,Tracheostomy tube,Metered Dose Inhaler,medd,medd,1,HIGHER_THAN_MEDDhghtMEDD
C0184233,C0184233,HIGHER_THAN,"DEVICE, URINE FLOW RATE MEASURING, NON-ELECTRICAL, DISPOSABLE","DEVICE, URINE FLOW RATE MEASURING, NON-ELECTRICAL, DISPOSABLE",medd,medd,1,HIGHER_THAN_MEDDhghtMEDD
C0221874,C0027524,HIGHER_THAN,spacer device,Nebulizers,medd,medd,1,HIGHER_THAN_MEDDhghtMEDD
C0491921,C0491921,HIGHER_THAN,IMPACTOR,IMPACTOR,medd,medd,1,HIGHER_THAN_MEDDhghtMEDD
C1706912,C1706912,HIGHER_THAN,BARRIER,BARRIER,medd,medd,1,HIGHER_THAN_MEDDhghtMEDD
C1968515,C1968515,HIGHER_THAN,Pack (physical object),Pack (physical object),medd,medd,1,HIGHER_THAN_MEDDhghtMEDD
