cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0012924,C0012854,HIGHER_THAN,"DNA, Bacterial",DNA,nnon,bacs,1,HIGHER_THAN_NNONhghtBACS
C0012939,C0032136,HIGHER_THAN,"DNA, Viral",Plasmids,nnon,bacs,2,HIGHER_THAN_NNONhghtBACS
C0028630,C1764827,HIGHER_THAN,Nucleotides,Isolate - microorganism,nnon,bacs,1,HIGHER_THAN_NNONhghtBACS
C1511699,C0012854,HIGHER_THAN,DNA Structure,DNA,nnon,bacs,1,HIGHER_THAN_NNONhghtBACS
C1519595,C0035696,HIGHER_THAN,Transcript,"RNA, Messenger",nnon,bacs,2,HIGHER_THAN_NNONhghtBACS
C1519595,C0035701,HIGHER_THAN,Transcript,Ribosomal RNA,nnon,bacs,1,HIGHER_THAN_NNONhghtBACS
C2930586,C1099354,HIGHER_THAN,Short Hairpin RNA,"RNA, Small Interfering",nnon,bacs,1,HIGHER_THAN_NNONhghtBACS
C2973536,C0035693,HIGHER_THAN,5'PPP-RNA,"RNA, Double-Stranded",nnon,bacs,1,HIGHER_THAN_NNONhghtBACS
C3272452,C0012854,HIGHER_THAN,Single-Stranded RNA,DNA,nnon,bacs,1,HIGHER_THAN_NNONhghtBACS
C3272452,C0012935,HIGHER_THAN,Single-Stranded RNA,"DNA, Single-Stranded",nnon,bacs,2,HIGHER_THAN_NNONhghtBACS
C3537372,C0035701,HIGHER_THAN,Bacterial 16S RNA,Ribosomal RNA,nnon,bacs,1,HIGHER_THAN_NNONhghtBACS
C4055233,C0035696,HIGHER_THAN,Circulating MicroRNA,"RNA, Messenger",nnon,bacs,1,HIGHER_THAN_NNONhghtBACS
