cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0002932,C3539125,HIGHER_THAN,Anesthetics,other medicated shampoos in ATC,phsu,phsu,1,HIGHER_THAN_PHSUhghtPHSU
C0003364,C0003364,HIGHER_THAN,Antihypertensive Agents,Antihypertensive Agents,phsu,phsu,1,HIGHER_THAN_PHSUhghtPHSU
C0003402,C0003402,HIGHER_THAN,Antioxidants,Antioxidants,phsu,phsu,1,HIGHER_THAN_PHSUhghtPHSU
C0003451,C0001367,HIGHER_THAN,Antiviral Agents,Acyclovir,phsu,phsu,1,HIGHER_THAN_PHSUhghtPHSU
C0003451,C0003451,HIGHER_THAN,Antiviral Agents,Antiviral Agents,phsu,phsu,1,HIGHER_THAN_PHSUhghtPHSU
C0003451,C0035525,HIGHER_THAN,Antiviral Agents,Ribavirin,phsu,phsu,1,HIGHER_THAN_PHSUhghtPHSU
C0017066,C0001367,HIGHER_THAN,Ganciclovir,Acyclovir,phsu,phsu,1,HIGHER_THAN_PHSUhghtPHSU
C0022322,C0001911,HIGHER_THAN,Ivermectin,Albendazole,phsu,phsu,1,HIGHER_THAN_PHSUhghtPHSU
C0032414,C0032414,HIGHER_THAN,Poly I-C,Poly I-C,phsu,phsu,1,HIGHER_THAN_PHSUhghtPHSU
C0035525,C0035525,HIGHER_THAN,Ribavirin,Ribavirin,phsu,phsu,2,HIGHER_THAN_PHSUhghtPHSU
C0128608,C0017066,HIGHER_THAN,mizoribine,Ganciclovir,phsu,phsu,1,HIGHER_THAN_PHSUhghtPHSU
C0699680,C0699680,HIGHER_THAN,Metric,Metric,phsu,phsu,1,HIGHER_THAN_PHSUhghtPHSU
C0699680,C3539125,HIGHER_THAN,Metric,other medicated shampoos in ATC,phsu,phsu,1,HIGHER_THAN_PHSUhghtPHSU
C2347168,C2347168,HIGHER_THAN,Mitogen-Activated Protein Kinase Kinase Inhibitor,Mitogen-Activated Protein Kinase Kinase Inhibitor,phsu,phsu,1,HIGHER_THAN_PHSUhghtPHSU
C3539125,C3539125,HIGHER_THAN,other medicated shampoos in ATC,other medicated shampoos in ATC,phsu,phsu,3,HIGHER_THAN_PHSUhghtPHSU
C4305807,C4305807,HIGHER_THAN,LC16M8,LC16M8,phsu,phsu,1,HIGHER_THAN_PHSUhghtPHSU
C4505313,C0003015,HIGHER_THAN,Vasopeptidase Inhibitors,Angiotensin-Converting Enzyme Inhibitors,phsu,phsu,1,HIGHER_THAN_PHSUhghtPHSU
