cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0017890,C0045341,INHIBITS,Glycine,"2,3-bis(3'-hydroxybenzyl)butyrolactone",aapp,horm,1,INHIBITS_AAPPinhbHORM
C0033640,C0002845,INHIBITS,Protein Kinases,"Androgens, Synthetic",aapp,horm,1,INHIBITS_AAPPinhbHORM
C0036755,C0025219,INHIBITS,Arylalkylamine N-Acetyltransferase,Melatonin,aapp,horm,1,INHIBITS_AAPPinhbHORM
C0040691,C0723595,INHIBITS,Transforming Growth Factors,Tace,aapp,horm,1,INHIBITS_AAPPinhbHORM
C0079904,C0012472,INHIBITS,NF-kappa B,Dinoprostone,aapp,horm,1,INHIBITS_AAPPinhbHORM
C0083220,C0039601,INHIBITS,deslorelin,Testosterone,aapp,horm,1,INHIBITS_AAPPinhbHORM
C0145185,C0028351,INHIBITS,terlipressin,Norepinephrine,aapp,horm,2,INHIBITS_AAPPinhbHORM
C0210492,C0723595,INHIBITS,Tissue Inhibitor of Metalloproteinase-3,Tace,aapp,horm,1,INHIBITS_AAPPinhbHORM
C0475463,C0012472,INHIBITS,"Antibodies, Neutralizing",Dinoprostone,aapp,horm,1,INHIBITS_AAPPinhbHORM
C1539835,C0772289,INHIBITS,SPEN gene,"corticotropin-releasing factor, human",aapp,horm,1,INHIBITS_AAPPinhbHORM
C1565830,C0012472,INHIBITS,"PTGS1 protein, human",Dinoprostone,aapp,horm,2,INHIBITS_AAPPinhbHORM
C1565860,C0012472,INHIBITS,"PTGS2 protein, human",Dinoprostone,aapp,horm,3,INHIBITS_AAPPinhbHORM
C2744579,C0002845,INHIBITS,"ATP8A2 protein, human","Androgens, Synthetic",aapp,horm,1,INHIBITS_AAPPinhbHORM
C2744579,C0012472,INHIBITS,"ATP8A2 protein, human",Dinoprostone,aapp,horm,1,INHIBITS_AAPPinhbHORM
C4320607,C0028351,INHIBITS,PGR-AS1 gene,Norepinephrine,aapp,horm,1,INHIBITS_AAPPinhbHORM
