cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0001924,C0164815,INHIBITS,Albumins,penciclovir,aapp,nnon,1,INHIBITS_AAPPinhbNNON
C0021088,C0018346,INHIBITS,IMP Dehydrogenase,Guanosine Monophosphate,aapp,nnon,1,INHIBITS_AAPPinhbNNON
C0031640,C0045143,INHIBITS,phosphoric diester hydrolase,"2',5'-oligoadenylate",aapp,nnon,2,INHIBITS_AAPPinhbNNON
C0042736,C0045143,INHIBITS,Viral Proteins,"2',5'-oligoadenylate",aapp,nnon,2,INHIBITS_AAPPinhbNNON
C0045231,C0045143,INHIBITS,2'-phosphodiesterase,"2',5'-oligoadenylate",aapp,nnon,1,INHIBITS_AAPPinhbNNON
C0071795,C0045143,INHIBITS,2-5A-dependent ribonuclease,"2',5'-oligoadenylate",aapp,nnon,1,INHIBITS_AAPPinhbNNON
C0084070,C0045143,INHIBITS,ectonucleotide pyrophosphatase phosphodiesterase 1,"2',5'-oligoadenylate",aapp,nnon,1,INHIBITS_AAPPinhbNNON
C0597094,C0028953,INHIBITS,nuclease,Oligonucleotides,aapp,nnon,1,INHIBITS_AAPPinhbNNON
C0597094,C0045143,INHIBITS,nuclease,"2',5'-oligoadenylate",aapp,nnon,1,INHIBITS_AAPPinhbNNON
C0599220,C0045143,INHIBITS,Protein Subunits,"2',5'-oligoadenylate",aapp,nnon,1,INHIBITS_AAPPinhbNNON
C1412092,C0045143,INHIBITS,ABCE1 gene,"2',5'-oligoadenylate",aapp,nnon,1,INHIBITS_AAPPinhbNNON
C1412319,C0045143,INHIBITS,AKAP7 gene,"2',5'-oligoadenylate",aapp,nnon,10,INHIBITS_AAPPinhbNNON
C1417914,C0045143,INHIBITS,OAS3 gene,"2',5'-oligoadenylate",aapp,nnon,1,INHIBITS_AAPPinhbNNON
C1421429,C2716613,INHIBITS,VTRNA1-1 gene,"MIRN96 microRNA, human",aapp,nnon,2,INHIBITS_AAPPinhbNNON
C1824414,C0028630,INHIBITS,USB1 gene,Nucleotides,aapp,nnon,1,INHIBITS_AAPPinhbNNON
C2239804,C0045143,INHIBITS,PDE12 gene,"2',5'-oligoadenylate",aapp,nnon,2,INHIBITS_AAPPinhbNNON
