cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0008269,C0332149,INHIBITS,Chloroquine,Possible,orch,qlco,1,INHIBITS_ORCHinhbQLCO
C0028978,C0162643,INHIBITS,Omeprazole,treatment failure,orch,qlco,1,INHIBITS_ORCHinhbQLCO
C0034266,C0332149,INHIBITS,Pyridoxal Phosphate,Possible,orch,qlco,1,INHIBITS_ORCHinhbQLCO
C0050940,C0162643,INHIBITS,lansoprazole,treatment failure,orch,qlco,1,INHIBITS_ORCHinhbQLCO
C0081876,C0162643,INHIBITS,pantoprazole,treatment failure,orch,qlco,1,INHIBITS_ORCHinhbQLCO
C0378482,C0162643,INHIBITS,rabeprazole,treatment failure,orch,qlco,1,INHIBITS_ORCHinhbQLCO
C0635106,C0442797,INHIBITS,benzyloxycarbonyl-Phe-Ala-fluormethylketone,Decreasing,orch,qlco,1,INHIBITS_ORCHinhbQLCO
C0937846,C0162643,INHIBITS,Esomeprazole,treatment failure,orch,qlco,1,INHIBITS_ORCHinhbQLCO
C1138226,C0205160,INHIBITS,favipiravir,Negative,orch,qlco,1,INHIBITS_ORCHinhbQLCO
C1509960,C0205160,INHIBITS,Cinnamon Bark,Negative,orch,qlco,1,INHIBITS_ORCHinhbQLCO
C2828242,C0332149,INHIBITS,saracatinib,Possible,orch,qlco,1,INHIBITS_ORCHinhbQLCO
C4050026,C0442797,INHIBITS,Matrix,Decreasing,orch,qlco,1,INHIBITS_ORCHinhbQLCO
