cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0002502,C0150312,INHIBITS,Amiloride,Present,orch,qnco,1,INHIBITS_ORCHinhbQNCO
C0004334,C0150312,INHIBITS,Aurintricarboxylic Acid,Present,orch,qnco,1,INHIBITS_ORCHinhbQNCO
C0029904,C0150312,INHIBITS,Ouabain,Present,orch,qnco,1,INHIBITS_ORCHinhbQNCO
C0032857,C0150312,INHIBITS,Povidone-Iodine,Present,orch,qnco,1,INHIBITS_ORCHinhbQNCO
C0049019,C0150312,INHIBITS,"5-(N,N-hexamethylene)amiloride",Present,orch,qnco,1,INHIBITS_ORCHinhbQNCO
C0059831,C0150312,INHIBITS,ethylisopropylamiloride,Present,orch,qnco,1,INHIBITS_ORCHinhbQNCO
C0108225,C0150312,INHIBITS,camostate-mesilate,Present,orch,qnco,1,INHIBITS_ORCHinhbQNCO
C0134258,C0150312,INHIBITS,Xylometazoline hydrochloride,Present,orch,qnco,1,INHIBITS_ORCHinhbQNCO
C0280485,C0150312,INHIBITS,m-azidopyrimethamine,Present,orch,qnco,2,INHIBITS_ORCHinhbQNCO
C0935989,C0150312,INHIBITS,imatinib,Present,orch,qnco,1,INHIBITS_ORCHinhbQNCO
C2926735,C0150312,INHIBITS,Duration,Present,orch,qnco,1,INHIBITS_ORCHinhbQNCO
C4050026,C0035648,INHIBITS,Matrix,risk factors,orch,qnco,1,INHIBITS_ORCHinhbQNCO
