cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0005456,C0021760,INHIBITS,Binding Sites,Interleukin-6,rcpt,aapp,2,INHIBITS_RCPTinhbAAPP
C0005456,C0031727,INHIBITS,Binding Sites,Phosphotransferases,rcpt,aapp,1,INHIBITS_RCPTinhbAAPP
C0005456,C0036774,INHIBITS,Binding Sites,"Serum Albumin, Bovine",rcpt,aapp,1,INHIBITS_RCPTinhbAAPP
C0005456,C0063695,INHIBITS,Binding Sites,Intercellular adhesion molecule 1,rcpt,aapp,1,INHIBITS_RCPTinhbAAPP
C0005456,C0077419,INHIBITS,Binding Sites,trypanothione reductase,rcpt,aapp,1,INHIBITS_RCPTinhbAAPP
C0005456,C0119452,INHIBITS,Binding Sites,Glucosyltransferase,rcpt,aapp,1,INHIBITS_RCPTinhbAAPP
C0005456,C0544420,INHIBITS,Binding Sites,Digestive Enzymes,rcpt,aapp,2,INHIBITS_RCPTinhbAAPP
C0005456,C1332700,INHIBITS,Binding Sites,CCR5 gene,rcpt,aapp,1,INHIBITS_RCPTinhbAAPP
C0005456,C1414639,INHIBITS,Binding Sites,FLOT2 gene,rcpt,aapp,1,INHIBITS_RCPTinhbAAPP
C0005456,C1415099,INHIBITS,Binding Sites,GLDC gene,rcpt,aapp,1,INHIBITS_RCPTinhbAAPP
C0005456,C1419147,INHIBITS,Binding Sites,PEX19 gene,rcpt,aapp,1,INHIBITS_RCPTinhbAAPP
C0005456,C1422036,INHIBITS,Binding Sites,ERVW-1 gene,rcpt,aapp,1,INHIBITS_RCPTinhbAAPP
C0599740,C0007428,INHIBITS,pharmacophore,Cathepsins,rcpt,aapp,1,INHIBITS_RCPTinhbAAPP
