cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0002059,C0014834,INTERACTS_WITH,Alkaline Phosphatase,Escherichia coli,aapp,bact,1,INTERACTS_WITH_AAPPitawBACT
C0002520,C0014834,INTERACTS_WITH,Amino Acids,Escherichia coli,aapp,bact,2,INTERACTS_WITH_AAPPitawBACT
C0002723,C0030637,INTERACTS_WITH,Serum amyloid A protein,Pasteurella multocida,aapp,bact,1,INTERACTS_WITH_AAPPitawBACT
C0003241,C0004611,INTERACTS_WITH,Antibodies,Bacteria,aapp,bact,5,INTERACTS_WITH_AAPPitawBACT
C0003241,C0014834,INTERACTS_WITH,Antibodies,Escherichia coli,aapp,bact,3,INTERACTS_WITH_AAPPitawBACT
C0003241,C0018154,INTERACTS_WITH,Antibodies,Gram-Positive Bacteria,aapp,bact,1,INTERACTS_WITH_AAPPitawBACT
C0003241,C0038172,INTERACTS_WITH,Antibodies,Staphylococcus aureus,aapp,bact,1,INTERACTS_WITH_AAPPitawBACT
C0003241,C0038174,INTERACTS_WITH,Antibodies,Staphylococcus epidermidis,aapp,bact,1,INTERACTS_WITH_AAPPitawBACT
C0003241,C0038410,INTERACTS_WITH,Antibodies,Streptococcus pneumoniae,aapp,bact,1,INTERACTS_WITH_AAPPitawBACT
C0003241,C0043408,INTERACTS_WITH,Antibodies,Yersinia pestis,aapp,bact,1,INTERACTS_WITH_AAPPitawBACT
C0003241,C0079488,INTERACTS_WITH,Antibodies,Helicobacter pylori,aapp,bact,1,INTERACTS_WITH_AAPPitawBACT
C0003241,C0317818,INTERACTS_WITH,Antibodies,Mycoplasma hyopneumoniae,aapp,bact,1,INTERACTS_WITH_AAPPitawBACT
C0003241,C0600414,INTERACTS_WITH,Antibodies,Enterohemorrhagic Escherichia coli,aapp,bact,1,INTERACTS_WITH_AAPPitawBACT
C0003242,C0004611,INTERACTS_WITH,"Antibodies, Anti-Idiotypic",Bacteria,aapp,bact,1,INTERACTS_WITH_AAPPitawBACT
C0003242,C0014834,INTERACTS_WITH,"Antibodies, Anti-Idiotypic",Escherichia coli,aapp,bact,2,INTERACTS_WITH_AAPPitawBACT
C0003250,C0043408,INTERACTS_WITH,Monoclonal Antibodies,Yersinia pestis,aapp,bact,3,INTERACTS_WITH_AAPPitawBACT
C0003765,C0026934,INTERACTS_WITH,Arginine,Mycoplasma,aapp,bact,5,INTERACTS_WITH_AAPPitawBACT
C0003765,C0317852,INTERACTS_WITH,Arginine,Mycoplasma alkalescens,aapp,bact,1,INTERACTS_WITH_AAPPitawBACT
C0004641,C0004611,INTERACTS_WITH,bacteriocin,Bacteria,aapp,bact,1,INTERACTS_WITH_AAPPitawBACT
C0007578,C0004611,INTERACTS_WITH,Cell Adhesion Molecules,Bacteria,aapp,bact,2,INTERACTS_WITH_AAPPitawBACT
C0009498,C0036953,INTERACTS_WITH,Complement System Proteins,Shigella,aapp,bact,1,INTERACTS_WITH_AAPPitawBACT
C0009498,C0038410,INTERACTS_WITH,Complement System Proteins,Streptococcus pneumoniae,aapp,bact,1,INTERACTS_WITH_AAPPitawBACT
C0010287,C0014834,INTERACTS_WITH,Creatine Kinase,Escherichia coli,aapp,bact,1,INTERACTS_WITH_AAPPitawBACT
C0010590,C0026926,INTERACTS_WITH,Cycloserine,Mycobacterium tuberculosis,aapp,bact,1,INTERACTS_WITH_AAPPitawBACT
C0010590,C0314975,INTERACTS_WITH,Cycloserine,Bifidobacterium breve,aapp,bact,1,INTERACTS_WITH_AAPPitawBACT
C0010590,C0887836,INTERACTS_WITH,Cycloserine,Citrobacter rodentium,aapp,bact,1,INTERACTS_WITH_AAPPitawBACT
C0016194,C0038410,INTERACTS_WITH,Flagellin,Streptococcus pneumoniae,aapp,bact,1,INTERACTS_WITH_AAPPitawBACT
C0017040,C0079488,INTERACTS_WITH,Gamma-glutamyl transferase,Helicobacter pylori,aapp,bact,2,INTERACTS_WITH_AAPPitawBACT
C0017645,C0038172,INTERACTS_WITH,Globin,Staphylococcus aureus,aapp,bact,1,INTERACTS_WITH_AAPPitawBACT
C0017817,C0026926,INTERACTS_WITH,Glutathione,Mycobacterium tuberculosis,aapp,bact,1,INTERACTS_WITH_AAPPitawBACT
C0017837,C0014834,INTERACTS_WITH,Glutathione S-Transferase,Escherichia coli,aapp,bact,2,INTERACTS_WITH_AAPPitawBACT
C0018850,C0026922,INTERACTS_WITH,Heat shock proteins,Mycobacterium leprae,aapp,bact,1,INTERACTS_WITH_AAPPitawBACT
C0019046,C0038172,INTERACTS_WITH,Hemoglobin,Staphylococcus aureus,aapp,bact,4,INTERACTS_WITH_AAPPitawBACT
C0019602,C0014834,INTERACTS_WITH,Histidine,Escherichia coli,aapp,bact,1,INTERACTS_WITH_AAPPitawBACT
C0020838,C0004611,INTERACTS_WITH,Secretory Immunoglobulin A,Bacteria,aapp,bact,1,INTERACTS_WITH_AAPPitawBACT
C0020960,C0004611,INTERACTS_WITH,Immune Sera,Bacteria,aapp,bact,1,INTERACTS_WITH_AAPPitawBACT
C0020960,C0014834,INTERACTS_WITH,Immune Sera,Escherichia coli,aapp,bact,2,INTERACTS_WITH_AAPPitawBACT
C0020960,C1275758,INTERACTS_WITH,Immune Sera,Salmonella enterica subsp. houtenae,aapp,bact,1,INTERACTS_WITH_AAPPitawBACT
C0021027,C0004611,INTERACTS_WITH,Immunoglobulins,Bacteria,aapp,bact,2,INTERACTS_WITH_AAPPitawBACT
C0021740,C0004611,INTERACTS_WITH,Recombinant Interferon-gamma,Bacteria,aapp,bact,1,INTERACTS_WITH_AAPPitawBACT
C0021743,C0751985,INTERACTS_WITH,Interferon Type I,Proteobacteria,aapp,bact,1,INTERACTS_WITH_AAPPitawBACT
C0021743,C1210581,INTERACTS_WITH,Interferon Type I,Lactobacillales,aapp,bact,1,INTERACTS_WITH_AAPPitawBACT
C0021755,C0035583,INTERACTS_WITH,Interleukin-1,Rickettsia,aapp,bact,3,INTERACTS_WITH_AAPPitawBACT
C0021760,C0004611,INTERACTS_WITH,Interleukin-6,Bacteria,aapp,bact,1,INTERACTS_WITH_AAPPitawBACT
C0021760,C0023861,INTERACTS_WITH,Interleukin-6,Listeria monocytogenes,aapp,bact,1,INTERACTS_WITH_AAPPitawBACT
C0021760,C0525033,INTERACTS_WITH,Interleukin-6,Probiotics,aapp,bact,1,INTERACTS_WITH_AAPPitawBACT
C0023206,C0004611,INTERACTS_WITH,Lectin,Bacteria,aapp,bact,2,INTERACTS_WITH_AAPPitawBACT
C0023764,C0004611,INTERACTS_WITH,Lipase,Bacteria,aapp,bact,1,INTERACTS_WITH_AAPPitawBACT
C0024337,C0038172,INTERACTS_WITH,Lysine,Staphylococcus aureus,aapp,bact,1,INTERACTS_WITH_AAPPitawBACT
C0025252,C0317761,INTERACTS_WITH,Membrane Proteins,Mycobacterium smegmatis,aapp,bact,1,INTERACTS_WITH_AAPPitawBACT
C0027803,C0004611,INTERACTS_WITH,Neuraminidase,Bacteria,aapp,bact,1,INTERACTS_WITH_AAPPitawBACT
C0027803,C0009063,INTERACTS_WITH,Neuraminidase,Clostridium perfringens,aapp,bact,1,INTERACTS_WITH_AAPPitawBACT
C0028612,C0014834,INTERACTS_WITH,Nucleoproteins,Escherichia coli,aapp,bact,2,INTERACTS_WITH_AAPPitawBACT
C0028623,C2369992,INTERACTS_WITH,Nucleosomes,Align,aapp,bact,1,INTERACTS_WITH_AAPPitawBACT
C0030940,C0014834,INTERACTS_WITH,Peptide Hydrolases,Escherichia coli,aapp,bact,1,INTERACTS_WITH_AAPPitawBACT
C0030946,C0014834,INTERACTS_WITH,Endopeptidases,Escherichia coli,aapp,bact,4,INTERACTS_WITH_AAPPitawBACT
C0031727,C0014834,INTERACTS_WITH,Phosphotransferases,Escherichia coli,aapp,bact,1,INTERACTS_WITH_AAPPitawBACT
C0032583,C0014834,INTERACTS_WITH,Polyproteins,Escherichia coli,aapp,bact,1,INTERACTS_WITH_AAPPitawBACT
C0033453,C0014834,INTERACTS_WITH,Complement Factor B,Escherichia coli,aapp,bact,1,INTERACTS_WITH_AAPPitawBACT
C0034800,C0004611,INTERACTS_WITH,"Receptors, Cell Surface",Bacteria,aapp,bact,1,INTERACTS_WITH_AAPPitawBACT
C0034800,C1210581,INTERACTS_WITH,"Receptors, Cell Surface",Lactobacillales,aapp,bact,1,INTERACTS_WITH_AAPPitawBACT
C0034817,C0004611,INTERACTS_WITH,"Receptors, Immunologic",Bacteria,aapp,bact,1,INTERACTS_WITH_AAPPitawBACT
C0034861,C0004611,INTERACTS_WITH,Recombinant Proteins,Bacteria,aapp,bact,5,INTERACTS_WITH_AAPPitawBACT
C0034861,C0014833,INTERACTS_WITH,Recombinant Proteins,Escherichia,aapp,bact,1,INTERACTS_WITH_AAPPitawBACT
C0034861,C0014834,INTERACTS_WITH,Recombinant Proteins,Escherichia coli,aapp,bact,15,INTERACTS_WITH_AAPPitawBACT
C0035544,C0014834,INTERACTS_WITH,Ribonucleoproteins,Escherichia coli,aapp,bact,1,INTERACTS_WITH_AAPPitawBACT
