cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0001271,C0007600,INTERACTS_WITH,Actins,Cultured Cell Line,aapp,cell,1,INTERACTS_WITH_AAPPitawCELL
C0001473,C0225336,INTERACTS_WITH,Adenosine Triphosphatases,Endothelial Cells,aapp,cell,2,INTERACTS_WITH_AAPPitawCELL
C0001476,C1512977,INTERACTS_WITH,Ca(2+)-Transporting ATPase,Mammalian Cell,aapp,cell,1,INTERACTS_WITH_AAPPitawCELL
C0001479,C0206131,INTERACTS_WITH,Na(+)-K(+)-Exchanging ATPase,Adipocytes,aapp,cell,1,INTERACTS_WITH_AAPPitawCELL
C0001479,C3714800,INTERACTS_WITH,Na(+)-K(+)-Exchanging ATPase,SCID-Repopulating Cell,aapp,cell,4,INTERACTS_WITH_AAPPitawCELL
C0002059,C1180238,INTERACTS_WITH,Alkaline Phosphatase,Capillary Endothelial Cells,aapp,cell,1,INTERACTS_WITH_AAPPitawCELL
C0002199,C0027882,INTERACTS_WITH,Interferon-alpha,Neurons,aapp,cell,1,INTERACTS_WITH_AAPPitawCELL
C0002318,C0682542,INTERACTS_WITH,alpha-Tubulin,ciliated cell,aapp,cell,1,INTERACTS_WITH_AAPPitawCELL
C0002520,C0037868,INTERACTS_WITH,Amino Acids,sperm cell,aapp,cell,1,INTERACTS_WITH_AAPPitawCELL
C0002520,C1257858,INTERACTS_WITH,Amino Acids,COS-7 Cells,aapp,cell,1,INTERACTS_WITH_AAPPitawCELL
C0002520,C3494245,INTERACTS_WITH,Amino Acids,Sf9 Cells,aapp,cell,1,INTERACTS_WITH_AAPPitawCELL
C0002520,C3494246,INTERACTS_WITH,Amino Acids,Sf21 Cells,aapp,cell,1,INTERACTS_WITH_AAPPitawCELL
C0002529,C2936239,INTERACTS_WITH,Amino Acyl-tRNA Synthetases,HEK293 Cells,aapp,cell,1,INTERACTS_WITH_AAPPitawCELL
C0002723,C0005955,INTERACTS_WITH,Serum amyloid A protein,Bone Marrow Cells,aapp,cell,1,INTERACTS_WITH_AAPPitawCELL
C0003241,C0005821,INTERACTS_WITH,Antibodies,Blood Platelets,aapp,cell,1,INTERACTS_WITH_AAPPitawCELL
