cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0003320,C0002372,INTERACTS_WITH,Antigens,Aluminum Hydroxide Gel,bacs,inch,1,INTERACTS_WITH_BACSitawINCH
C0003320,C0009359,INTERACTS_WITH,Antigens,Gold Colloid,bacs,inch,1,INTERACTS_WITH_BACSitawINCH
C0006353,C0020281,INTERACTS_WITH,Buffers,Hydrogen Peroxide,bacs,inch,2,INTERACTS_WITH_BACSitawINCH
C0006353,C0025552,INTERACTS_WITH,Buffers,Metals,bacs,inch,2,INTERACTS_WITH_BACSitawINCH
C0006353,C0439892,INTERACTS_WITH,Buffers,Boiled water,bacs,inch,1,INTERACTS_WITH_BACSitawINCH
C0006675,C0357197,INTERACTS_WITH,Calcium,Calcium salt,bacs,inch,1,INTERACTS_WITH_BACSitawINCH
C0010204,C0038720,INTERACTS_WITH,Coumaric Acids,"Sulfates, Inorganic",bacs,inch,2,INTERACTS_WITH_BACSitawINCH
C0012854,C0051522,INTERACTS_WITH,DNA,aluminum sulfate,bacs,inch,1,INTERACTS_WITH_BACSitawINCH
C0019134,C0038720,INTERACTS_WITH,heparin,"Sulfates, Inorganic",bacs,inch,1,INTERACTS_WITH_BACSitawINCH
C0019134,C0074745,INTERACTS_WITH,heparin,metaperiodate,bacs,inch,1,INTERACTS_WITH_BACSitawINCH
C0024706,C0146894,INTERACTS_WITH,Manganese,triphosphate,bacs,inch,1,INTERACTS_WITH_BACSitawINCH
C0028606,C0596260,INTERACTS_WITH,Nucleic Acids,Carboxyl Group,bacs,inch,1,INTERACTS_WITH_BACSitawINCH
C0028606,C3536832,INTERACTS_WITH,Nucleic Acids,Air,bacs,inch,1,INTERACTS_WITH_BACSitawINCH
C0032712,C0025552,INTERACTS_WITH,Porphyrins,Metals,bacs,inch,1,INTERACTS_WITH_BACSitawINCH
C0035696,C0700307,INTERACTS_WITH,"RNA, Messenger",hydroxyl group,bacs,inch,1,INTERACTS_WITH_BACSitawINCH
C0035711,C0002611,INTERACTS_WITH,Transfer RNA,Ammonium,bacs,inch,3,INTERACTS_WITH_BACSitawINCH
C0037125,C0772313,INTERACTS_WITH,Silver,colloidal silver,bacs,inch,1,INTERACTS_WITH_BACSitawINCH
C0037473,C0043047,INTERACTS_WITH,Sodium,Water,bacs,inch,1,INTERACTS_WITH_BACSitawINCH
C0037494,C0043047,INTERACTS_WITH,Sodium Chloride,Water,bacs,inch,1,INTERACTS_WITH_BACSitawINCH
C0037494,C0074722,INTERACTS_WITH,Sodium Chloride,Sodium Bicarbonate,bacs,inch,1,INTERACTS_WITH_BACSitawINCH
C0041942,C0043047,INTERACTS_WITH,Urea,Water,bacs,inch,2,INTERACTS_WITH_BACSitawINCH
C0042002,C0700307,INTERACTS_WITH,Uridine Monophosphate,hydroxyl group,bacs,inch,2,INTERACTS_WITH_BACSitawINCH
C0043481,C0043491,INTERACTS_WITH,Zinc,Zinc Oxide,bacs,inch,2,INTERACTS_WITH_BACSitawINCH
C0056693,C0020281,INTERACTS_WITH,Cyclic ADP-Ribose,Hydrogen Peroxide,bacs,inch,1,INTERACTS_WITH_BACSitawINCH
C0076335,C0025552,INTERACTS_WITH,Tetrapyrroles,Metals,bacs,inch,1,INTERACTS_WITH_BACSitawINCH
C1099354,C0016327,INTERACTS_WITH,"RNA, Small Interfering",Fluorides,bacs,inch,1,INTERACTS_WITH_BACSitawINCH
C1099354,C0043047,INTERACTS_WITH,"RNA, Small Interfering",Water,bacs,inch,1,INTERACTS_WITH_BACSitawINCH
C1513315,C0002055,INTERACTS_WITH,Minor Groove,Alkalies,bacs,inch,1,INTERACTS_WITH_BACSitawINCH
