cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0001699,C0009316,INTERACTS_WITH,Klebsiella pneumoniae,Colistin,bact,aapp,1,INTERACTS_WITH_BACTitawAAPP
C0004589,C0103478,INTERACTS_WITH,Bacillus anthracis,anthrax toxin receptors,bact,aapp,1,INTERACTS_WITH_BACTitawAAPP
C0004589,C1979930,INTERACTS_WITH,Bacillus anthracis,Mitogen-activated protein,bact,aapp,1,INTERACTS_WITH_BACTitawAAPP
C0004595,C1417005,INTERACTS_WITH,Bacillus subtilis,MAP1LC3A gene,bact,aapp,1,INTERACTS_WITH_BACTitawAAPP
C0004611,C0003242,INTERACTS_WITH,Bacteria,"Antibodies, Anti-Idiotypic",bact,aapp,1,INTERACTS_WITH_BACTitawAAPP
C0004611,C0004627,INTERACTS_WITH,Bacteria,Bacterial Proteins,bact,aapp,1,INTERACTS_WITH_BACTitawAAPP
C0004611,C0009316,INTERACTS_WITH,Bacteria,Colistin,bact,aapp,1,INTERACTS_WITH_BACTitawAAPP
C0004611,C0016055,INTERACTS_WITH,Bacteria,Fibronectins,bact,aapp,2,INTERACTS_WITH_BACTitawAAPP
C0004611,C0021027,INTERACTS_WITH,Bacteria,Immunoglobulins,bact,aapp,1,INTERACTS_WITH_BACTitawAAPP
C0004611,C0042666,INTERACTS_WITH,Bacteria,Vimentin,bact,aapp,3,INTERACTS_WITH_BACTitawAAPP
C0004611,C0051979,INTERACTS_WITH,Bacteria,anti-IgG,bact,aapp,1,INTERACTS_WITH_BACTitawAAPP
C0004611,C0059973,INTERACTS_WITH,Bacteria,ezrin,bact,aapp,1,INTERACTS_WITH_BACTitawAAPP
C0004611,C0062503,INTERACTS_WITH,Bacteria,Heparan Sulfate Proteoglycans,bact,aapp,1,INTERACTS_WITH_BACTitawAAPP
C0004611,C0069508,INTERACTS_WITH,Bacteria,"oncogene protein E7, Human papillomavirus type 16",bact,aapp,1,INTERACTS_WITH_BACTitawAAPP
C0004611,C0071234,INTERACTS_WITH,Bacteria,platelet activating factor receptor,bact,aapp,1,INTERACTS_WITH_BACTitawAAPP
C0004611,C0079419,INTERACTS_WITH,Bacteria,TP53 gene,bact,aapp,1,INTERACTS_WITH_BACTitawAAPP
C0004611,C0313198,INTERACTS_WITH,Bacteria,Blood group antibody S^D^,bact,aapp,1,INTERACTS_WITH_BACTitawAAPP
C0004611,C0378910,INTERACTS_WITH,Bacteria,Lymphocyte antigen CD66A,bact,aapp,1,INTERACTS_WITH_BACTitawAAPP
C0004611,C0597357,INTERACTS_WITH,Bacteria,receptor,bact,aapp,1,INTERACTS_WITH_BACTitawAAPP
C0004611,C0907411,INTERACTS_WITH,Bacteria,"Lectins, C-Type",bact,aapp,1,INTERACTS_WITH_BACTitawAAPP
C0004611,C0914136,INTERACTS_WITH,Bacteria,scorpine,bact,aapp,1,INTERACTS_WITH_BACTitawAAPP
C0004611,C1332669,INTERACTS_WITH,Bacteria,CAV1 gene,bact,aapp,2,INTERACTS_WITH_BACTitawAAPP
C0004611,C1333723,INTERACTS_WITH,Bacteria,GTF2H1 gene,bact,aapp,1,INTERACTS_WITH_BACTitawAAPP
C0004611,C1412533,INTERACTS_WITH,Bacteria,ARIH1 gene,bact,aapp,1,INTERACTS_WITH_BACTitawAAPP
C0004611,C1414672,INTERACTS_WITH,Bacteria,FOXD3 gene,bact,aapp,1,INTERACTS_WITH_BACTitawAAPP
C0004611,C1416380,INTERACTS_WITH,Bacteria,IKBKG gene,bact,aapp,1,INTERACTS_WITH_BACTitawAAPP
C0004611,C1419782,INTERACTS_WITH,Bacteria,S100A10 gene,bact,aapp,1,INTERACTS_WITH_BACTitawAAPP
C0004611,C1454489,INTERACTS_WITH,Bacteria,"MAPT protein, human",bact,aapp,1,INTERACTS_WITH_BACTitawAAPP
C0004611,C1522002,INTERACTS_WITH,Bacteria,RNA Recognition Motif,bact,aapp,1,INTERACTS_WITH_BACTitawAAPP
C0004611,C1564907,INTERACTS_WITH,Bacteria,"Receptors, Pattern Recognition",bact,aapp,1,INTERACTS_WITH_BACTitawAAPP
C0004611,C1568188,INTERACTS_WITH,Bacteria,"attachment protein G, Respiratory syncytial virus",bact,aapp,1,INTERACTS_WITH_BACTitawAAPP
C0004611,C1826412,INTERACTS_WITH,Bacteria,BATF2 gene,bact,aapp,1,INTERACTS_WITH_BACTitawAAPP
C0004611,C4082333,INTERACTS_WITH,Bacteria,"Proto-Oncogene c-Fos, human",bact,aapp,1,INTERACTS_WITH_BACTitawAAPP
C0006033,C0009498,INTERACTS_WITH,Borrelia,Complement System Proteins,bact,aapp,1,INTERACTS_WITH_BACTitawAAPP
C0006132,C0079323,INTERACTS_WITH,Moraxella (Branhamella) catarrhalis,Extracellular Matrix Proteins,bact,aapp,1,INTERACTS_WITH_BACTitawAAPP
C0006132,C0378910,INTERACTS_WITH,Moraxella (Branhamella) catarrhalis,Lymphocyte antigen CD66A,bact,aapp,6,INTERACTS_WITH_BACTitawAAPP
C0006132,C1416373,INTERACTS_WITH,Moraxella (Branhamella) catarrhalis,CADM1 gene,bact,aapp,1,INTERACTS_WITH_BACTitawAAPP
C0006303,C1417530,INTERACTS_WITH,Brucella,MYD88 gene,bact,aapp,1,INTERACTS_WITH_BACTitawAAPP
C0006304,C1415761,INTERACTS_WITH,Brucella abortus,HSPA5 gene,bact,aapp,1,INTERACTS_WITH_BACTitawAAPP
C0008151,C0001271,INTERACTS_WITH,Chlamydia trachomatis,Actins,bact,aapp,1,INTERACTS_WITH_BACTitawAAPP
C0008151,C0042666,INTERACTS_WITH,Chlamydia trachomatis,Vimentin,bact,aapp,1,INTERACTS_WITH_BACTitawAAPP
C0008151,C1413584,INTERACTS_WITH,Chlamydia trachomatis,COL4A3BP gene,bact,aapp,2,INTERACTS_WITH_BACTitawAAPP
C0008151,C1419215,INTERACTS_WITH,Chlamydia trachomatis,RAB6A gene,bact,aapp,1,INTERACTS_WITH_BACTitawAAPP
C0009054,C0031669,INTERACTS_WITH,Clostridium,Phospholipase C,bact,aapp,1,INTERACTS_WITH_BACTitawAAPP
C0009064,C0073243,INTERACTS_WITH,Clostridium tetani,RNase P,bact,aapp,1,INTERACTS_WITH_BACTitawAAPP
C0014834,C0009629,INTERACTS_WITH,Escherichia coli,Conalbumin,bact,aapp,2,INTERACTS_WITH_BACTitawAAPP
C0014834,C0017360,INTERACTS_WITH,Escherichia coli,pol genes,bact,aapp,1,INTERACTS_WITH_BACTitawAAPP
C0014834,C0017890,INTERACTS_WITH,Escherichia coli,Glycine,bact,aapp,1,INTERACTS_WITH_BACTitawAAPP
C0014834,C0023689,INTERACTS_WITH,Escherichia coli,Ligase,bact,aapp,2,INTERACTS_WITH_BACTitawAAPP
C0014834,C0026794,INTERACTS_WITH,Escherichia coli,Muramidase,bact,aapp,2,INTERACTS_WITH_BACTitawAAPP
C0014834,C0034861,INTERACTS_WITH,Escherichia coli,Recombinant Proteins,bact,aapp,5,INTERACTS_WITH_BACTitawAAPP
C0014834,C0042666,INTERACTS_WITH,Escherichia coli,Vimentin,bact,aapp,3,INTERACTS_WITH_BACTitawAAPP
C0014834,C0065827,INTERACTS_WITH,Escherichia coli,Measles Virus Nucleoprotein,bact,aapp,4,INTERACTS_WITH_BACTitawAAPP
C0014834,C0075278,INTERACTS_WITH,Escherichia coli,Streptavidin,bact,aapp,1,INTERACTS_WITH_BACTitawAAPP
C0014834,C0120285,INTERACTS_WITH,Escherichia coli,Green Fluorescent Proteins,bact,aapp,5,INTERACTS_WITH_BACTitawAAPP
C0014834,C0370028,INTERACTS_WITH,Escherichia coli,Streptococcus pneumoniae antibody,bact,aapp,1,INTERACTS_WITH_BACTitawAAPP
C0014834,C0596902,INTERACTS_WITH,Escherichia coli,Membrane Transport Proteins,bact,aapp,1,INTERACTS_WITH_BACTitawAAPP
C0014834,C0700271,INTERACTS_WITH,Escherichia coli,"M Protein, multiple myeloma",bact,aapp,1,INTERACTS_WITH_BACTitawAAPP
C0014834,C1307407,INTERACTS_WITH,Escherichia coli,"FRAP1 protein, human",bact,aapp,1,INTERACTS_WITH_BACTitawAAPP
C0014834,C1336690,INTERACTS_WITH,Escherichia coli,TXN gene,bact,aapp,2,INTERACTS_WITH_BACTitawAAPP
C0014834,C1412409,INTERACTS_WITH,Escherichia coli,ANPEP gene,bact,aapp,1,INTERACTS_WITH_BACTitawAAPP
C0014834,C1422282,INTERACTS_WITH,Escherichia coli,LY6G6E gene,bact,aapp,1,INTERACTS_WITH_BACTitawAAPP
C0014834,C1447245,INTERACTS_WITH,Escherichia coli,"ZP4 protein, human",bact,aapp,1,INTERACTS_WITH_BACTitawAAPP
C0014834,C1705982,INTERACTS_WITH,Escherichia coli,KRAS wt Allele,bact,aapp,1,INTERACTS_WITH_BACTitawAAPP
C0014834,C2717745,INTERACTS_WITH,Escherichia coli,Metagenome,bact,aapp,1,INTERACTS_WITH_BACTitawAAPP
C0016677,C1417005,INTERACTS_WITH,FRANCISELLA TULARENSIS,MAP1LC3A gene,bact,aapp,1,INTERACTS_WITH_BACTitawAAPP
C0016677,C1825497,INTERACTS_WITH,FRANCISELLA TULARENSIS,ATG5 gene,bact,aapp,1,INTERACTS_WITH_BACTitawAAPP
C0018150,C0220897,INTERACTS_WITH,Gram-Negative Bacteria,polyglutamate,bact,aapp,1,INTERACTS_WITH_BACTitawAAPP
C0018150,C1336636,INTERACTS_WITH,Gram-Negative Bacteria,TLR4 gene,bact,aapp,1,INTERACTS_WITH_BACTitawAAPP
C0018150,C1367477,INTERACTS_WITH,Gram-Negative Bacteria,CD14 gene,bact,aapp,1,INTERACTS_WITH_BACTitawAAPP
C0018483,C0034800,INTERACTS_WITH,Haemophilus influenzae,"Receptors, Cell Surface",bact,aapp,1,INTERACTS_WITH_BACTitawAAPP
C0018483,C0071234,INTERACTS_WITH,Haemophilus influenzae,platelet activating factor receptor,bact,aapp,1,INTERACTS_WITH_BACTitawAAPP
C0018483,C0378910,INTERACTS_WITH,Haemophilus influenzae,Lymphocyte antigen CD66A,bact,aapp,2,INTERACTS_WITH_BACTitawAAPP
C0022938,C0597357,INTERACTS_WITH,Lactobacillus,receptor,bact,aapp,1,INTERACTS_WITH_BACTitawAAPP
C0023362,C0033692,INTERACTS_WITH,Leptospira interrogans,Proteoglycan,bact,aapp,1,INTERACTS_WITH_BACTitawAAPP
C0023859,C0015980,INTERACTS_WITH,Listeria,Interferon-beta,bact,aapp,1,INTERACTS_WITH_BACTitawAAPP
C0023861,C0004627,INTERACTS_WITH,Listeria monocytogenes,Bacterial Proteins,bact,aapp,1,INTERACTS_WITH_BACTitawAAPP
C0026912,C0913092,INTERACTS_WITH,Genus Mycobacterium,DC-specific ICAM-3 grabbing nonintegrin,bact,aapp,1,INTERACTS_WITH_BACTitawAAPP
C0026912,C1564907,INTERACTS_WITH,Genus Mycobacterium,"Receptors, Pattern Recognition",bact,aapp,1,INTERACTS_WITH_BACTitawAAPP
C0026926,C0084692,INTERACTS_WITH,Mycobacterium tuberculosis,Pulmonary Surfactant-Associated Protein D,bact,aapp,1,INTERACTS_WITH_BACTitawAAPP
C0026926,C0085295,INTERACTS_WITH,Mycobacterium tuberculosis,Interleukin-10,bact,aapp,2,INTERACTS_WITH_BACTitawAAPP
C0026926,C1336763,INTERACTS_WITH,Mycobacterium tuberculosis,Toll-Like Receptor Family Gene,bact,aapp,1,INTERACTS_WITH_BACTitawAAPP
C0026926,C1366763,INTERACTS_WITH,Mycobacterium tuberculosis,ELF3 gene,bact,aapp,1,INTERACTS_WITH_BACTitawAAPP
C0026926,C1415164,INTERACTS_WITH,Mycobacterium tuberculosis,GNLY gene,bact,aapp,1,INTERACTS_WITH_BACTitawAAPP
C0026934,C0079189,INTERACTS_WITH,Mycoplasma,cytokine,bact,aapp,2,INTERACTS_WITH_BACTitawAAPP
C0027571,C0003250,INTERACTS_WITH,Neisseria,Monoclonal Antibodies,bact,aapp,1,INTERACTS_WITH_BACTitawAAPP
C0027575,C0378910,INTERACTS_WITH,Neisseria meningitidis,Lymphocyte antigen CD66A,bact,aapp,2,INTERACTS_WITH_BACTitawAAPP
C0027575,C3202973,INTERACTS_WITH,Neisseria meningitidis,Transferrins,bact,aapp,1,INTERACTS_WITH_BACTitawAAPP
C0033809,C1420002,INTERACTS_WITH,Pseudomonas aeruginosa,SFTPA1 gene,bact,aapp,1,INTERACTS_WITH_BACTitawAAPP
C0036111,C1332386,INTERACTS_WITH,Salmonella,BCAR3 gene,bact,aapp,1,INTERACTS_WITH_BACTitawAAPP
C0036126,C0001271,INTERACTS_WITH,Salmonella typhimurium,Actins,bact,aapp,1,INTERACTS_WITH_BACTitawAAPP
C0036126,C1417530,INTERACTS_WITH,Salmonella typhimurium,MYD88 gene,bact,aapp,1,INTERACTS_WITH_BACTitawAAPP
C0036126,C1825868,INTERACTS_WITH,Salmonella typhimurium,LONP1 gene,bact,aapp,1,INTERACTS_WITH_BACTitawAAPP
C0036953,C1418597,INTERACTS_WITH,Shigella,PITX3 gene,bact,aapp,2,INTERACTS_WITH_BACTitawAAPP
C0036953,C1419142,INTERACTS_WITH,Shigella,NECTIN1 gene,bact,aapp,1,INTERACTS_WITH_BACTitawAAPP
C0038172,C0017645,INTERACTS_WITH,Staphylococcus aureus,Globin,bact,aapp,1,INTERACTS_WITH_BACTitawAAPP
C0038172,C0019046,INTERACTS_WITH,Staphylococcus aureus,Hemoglobin,bact,aapp,10,INTERACTS_WITH_BACTitawAAPP
C0038172,C0042313,INTERACTS_WITH,Staphylococcus aureus,Vancomycin,bact,aapp,1,INTERACTS_WITH_BACTitawAAPP
C0038172,C0169904,INTERACTS_WITH,Staphylococcus aureus,Merozoite Surface Protein 1,bact,aapp,1,INTERACTS_WITH_BACTitawAAPP
C0038172,C0443640,INTERACTS_WITH,Staphylococcus aureus,Specific antibody,bact,aapp,1,INTERACTS_WITH_BACTitawAAPP
C0038172,C1824360,INTERACTS_WITH,Staphylococcus aureus,SPX gene,bact,aapp,1,INTERACTS_WITH_BACTitawAAPP
C0038172,C2976609,INTERACTS_WITH,Staphylococcus aureus,fibronectin binding protein B,bact,aapp,1,INTERACTS_WITH_BACTitawAAPP
C0038402,C0003241,INTERACTS_WITH,Streptococcus,Antibodies,bact,aapp,1,INTERACTS_WITH_BACTitawAAPP
C0038402,C0016006,INTERACTS_WITH,Streptococcus,Fibrinogen,bact,aapp,2,INTERACTS_WITH_BACTitawAAPP
