cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0004611,C0445623,INTERACTS_WITH,Bacteria,Microorganism,bact,orgm,3,INTERACTS_WITH_BACTitawORGM
C0004611,C0450254,INTERACTS_WITH,Bacteria,Pathogenic organism,bact,orgm,7,INTERACTS_WITH_BACTitawORGM
C0004611,C0684063,INTERACTS_WITH,Bacteria,Eukaryota,bact,orgm,1,INTERACTS_WITH_BACTitawORGM
C0004611,C1956108,INTERACTS_WITH,Bacteria,Microbiome,bact,orgm,3,INTERACTS_WITH_BACTitawORGM
C0004611,C2985398,INTERACTS_WITH,Bacteria,Intestinal Microbiome,bact,orgm,4,INTERACTS_WITH_BACTitawORGM
C0006813,C1562052,INTERACTS_WITH,Campylobacter,Enteropathogen,bact,orgm,1,INTERACTS_WITH_BACTitawORGM
C0014346,C2985398,INTERACTS_WITH,Enterobacteriaceae,Intestinal Microbiome,bact,orgm,1,INTERACTS_WITH_BACTitawORGM
C0018150,C0445623,INTERACTS_WITH,Gram-Negative Bacteria,Microorganism,bact,orgm,1,INTERACTS_WITH_BACTitawORGM
C0018150,C0450254,INTERACTS_WITH,Gram-Negative Bacteria,Pathogenic organism,bact,orgm,1,INTERACTS_WITH_BACTitawORGM
C0022938,C0450254,INTERACTS_WITH,Lactobacillus,Pathogenic organism,bact,orgm,1,INTERACTS_WITH_BACTitawORGM
C0022938,C2985398,INTERACTS_WITH,Lactobacillus,Intestinal Microbiome,bact,orgm,1,INTERACTS_WITH_BACTitawORGM
C0022940,C1956108,INTERACTS_WITH,Lactobacillus casei,Microbiome,bact,orgm,1,INTERACTS_WITH_BACTitawORGM
C0023861,C0450254,INTERACTS_WITH,Listeria monocytogenes,Pathogenic organism,bact,orgm,1,INTERACTS_WITH_BACTitawORGM
C0026926,C0445623,INTERACTS_WITH,Mycobacterium tuberculosis,Microorganism,bact,orgm,1,INTERACTS_WITH_BACTitawORGM
C0026926,C0450254,INTERACTS_WITH,Mycobacterium tuberculosis,Pathogenic organism,bact,orgm,1,INTERACTS_WITH_BACTitawORGM
