cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0007009,C0007004,INTERACTS_WITH,Carbon,Carbohydrates,elii,orch,1,INTERACTS_WITH_ELIIitawORCH
C0007009,C0023779,INTERACTS_WITH,Carbon,Lipids,elii,orch,1,INTERACTS_WITH_ELIIitawORCH
C0007009,C0162969,INTERACTS_WITH,Carbon,Chitosan,elii,orch,2,INTERACTS_WITH_ELIIitawORCH
C0011744,C0014898,INTERACTS_WITH,Deuterium,Esters,elii,orch,1,INTERACTS_WITH_ELIIitawORCH
C0018026,C0032485,INTERACTS_WITH,Gold,Polyethylene Terephthalates,elii,orch,1,INTERACTS_WITH_ELIIitawORCH
C0018026,C0038734,INTERACTS_WITH,Gold,Sulfhydryl Compounds,elii,orch,1,INTERACTS_WITH_ELIIitawORCH
C0022023,C0002403,INTERACTS_WITH,Ions,Amantadine,elii,orch,1,INTERACTS_WITH_ELIIitawORCH
C0022023,C0007004,INTERACTS_WITH,Ions,Carbohydrates,elii,orch,2,INTERACTS_WITH_ELIIitawORCH
C0022023,C0178528,INTERACTS_WITH,Ions,carboxylate,elii,orch,1,INTERACTS_WITH_ELIIitawORCH
C0022023,C0635106,INTERACTS_WITH,Ions,benzyloxycarbonyl-Phe-Ala-fluormethylketone,elii,orch,1,INTERACTS_WITH_ELIIitawORCH
C0022262,C4050026,INTERACTS_WITH,Isotopes,Matrix,elii,orch,1,INTERACTS_WITH_ELIIitawORCH
C0023175,C0064030,INTERACTS_WITH,Lead,isopentenyl pyrophosphate,elii,orch,1,INTERACTS_WITH_ELIIitawORCH
C0028158,C1328819,INTERACTS_WITH,Nitrogen,Small Molecule,elii,orch,1,INTERACTS_WITH_ELIIitawORCH
C0038836,C0644810,INTERACTS_WITH,Superoxides,dihydroethidium,elii,orch,1,INTERACTS_WITH_ELIIitawORCH
C0220853,C0360100,INTERACTS_WITH,Hydroxide Ion,Organic solvent product,elii,orch,1,INTERACTS_WITH_ELIIitawORCH
C0682906,C0073591,INTERACTS_WITH,Transition Elements,rosoxacin,elii,orch,1,INTERACTS_WITH_ELIIitawORCH
C0851287,C0280485,INTERACTS_WITH,Phosphorus 32,m-azidopyrimethamine,elii,orch,1,INTERACTS_WITH_ELIIitawORCH
C2346592,C0052430,INTERACTS_WITH,Ferrous,artemisinine,elii,orch,1,INTERACTS_WITH_ELIIitawORCH
C2346927,C0059438,INTERACTS_WITH,Magnesium Cation,epigallocatechin gallate,elii,orch,1,INTERACTS_WITH_ELIIitawORCH
C2347816,C0381187,INTERACTS_WITH,cobaltous cation,BODIPY,elii,orch,1,INTERACTS_WITH_ELIIitawORCH
C2349970,C4050026,INTERACTS_WITH,S4+,Matrix,elii,orch,1,INTERACTS_WITH_ELIIitawORCH
