cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0017535,C2936506,INTERACTS_WITH,Giardia lamblia,Livestock,euka,anim,1,INTERACTS_WITH_EUKAitawANIM
C0026584,C2936506,INTERACTS_WITH,Culicidae,Livestock,euka,anim,1,INTERACTS_WITH_EUKAitawANIM
C0027581,C0162318,INTERACTS_WITH,Phylum Nematoda,Farm Animals,euka,anim,1,INTERACTS_WITH_EUKAitawANIM
C0030498,C0012656,INTERACTS_WITH,Parasites,Disease Vectors,euka,anim,1,INTERACTS_WITH_EUKAitawANIM
C0033739,C0012656,INTERACTS_WITH,Protozoa,Disease Vectors,euka,anim,1,INTERACTS_WITH_EUKAitawANIM
C0036315,C2936506,INTERACTS_WITH,Schistosoma,Livestock,euka,anim,1,INTERACTS_WITH_EUKAitawANIM
C0041215,C2936506,INTERACTS_WITH,Trypanosoma,Livestock,euka,anim,1,INTERACTS_WITH_EUKAitawANIM
C0323356,C0003070,INTERACTS_WITH,Bombus <genus>,"Animals, Wild",euka,anim,1,INTERACTS_WITH_EUKAitawANIM
C0444529,C0562691,INTERACTS_WITH,Oocysts,Herbivory,euka,anim,1,INTERACTS_WITH_EUKAitawANIM
C1500338,C0012656,INTERACTS_WITH,Punctum,Disease Vectors,euka,anim,1,INTERACTS_WITH_EUKAitawANIM
