cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0003903,C0007450,INTERACTS_WITH,Arthropods,Felis catus,euka,mamm,1,INTERACTS_WITH_EUKAitawMAMM
C0003903,C0008139,INTERACTS_WITH,Arthropods,Chiroptera,euka,mamm,1,INTERACTS_WITH_EUKAitawMAMM
C0004572,C0012984,INTERACTS_WITH,Babesia,Canis familiaris,euka,mamm,1,INTERACTS_WITH_EUKAitawMAMM
C0012578,C0039005,INTERACTS_WITH,Diptera,Family suidae,euka,mamm,1,INTERACTS_WITH_EUKAitawMAMM
C0012601,C0524515,INTERACTS_WITH,Dirofilaria immitis,Family canidae,euka,mamm,1,INTERACTS_WITH_EUKAitawMAMM
C0013506,C0013127,INTERACTS_WITH,Genus: Echinococcus,Camelus dromedarius,euka,mamm,2,INTERACTS_WITH_EUKAitawMAMM
C0015646,C0035950,INTERACTS_WITH,Fasciola,Ruminants,euka,mamm,1,INTERACTS_WITH_EUKAitawMAMM
C0023047,C0012984,INTERACTS_WITH,Larva,Canis familiaris,euka,mamm,1,INTERACTS_WITH_EUKAitawMAMM
C0023272,C0007450,INTERACTS_WITH,Leishmania infantum,Felis catus,euka,mamm,1,INTERACTS_WITH_EUKAitawMAMM
C0023272,C0012984,INTERACTS_WITH,Leishmania infantum,Canis familiaris,euka,mamm,1,INTERACTS_WITH_EUKAitawMAMM
C0023277,C0007450,INTERACTS_WITH,Leishmania mexicana,Felis catus,euka,mamm,1,INTERACTS_WITH_EUKAitawMAMM
C0026584,C0007452,INTERACTS_WITH,Culicidae,Cattle,euka,mamm,1,INTERACTS_WITH_EUKAitawMAMM
C0026584,C0019944,INTERACTS_WITH,Culicidae,Equus caballus,euka,mamm,2,INTERACTS_WITH_EUKAitawMAMM
C0026584,C0033147,INTERACTS_WITH,Culicidae,Primates,euka,mamm,1,INTERACTS_WITH_EUKAitawMAMM
C0026584,C0035950,INTERACTS_WITH,Culicidae,Ruminants,euka,mamm,1,INTERACTS_WITH_EUKAitawMAMM
C0027581,C0008139,INTERACTS_WITH,Phylum Nematoda,Chiroptera,euka,mamm,1,INTERACTS_WITH_EUKAitawMAMM
C0027581,C0026809,INTERACTS_WITH,Phylum Nematoda,Mus,euka,mamm,1,INTERACTS_WITH_EUKAitawMAMM
C0027581,C0032636,INTERACTS_WITH,Phylum Nematoda,Pongidae,euka,mamm,1,INTERACTS_WITH_EUKAitawMAMM
C0030498,C0006801,INTERACTS_WITH,Parasites,Camels,euka,mamm,1,INTERACTS_WITH_EUKAitawMAMM
C0030498,C0007450,INTERACTS_WITH,Parasites,Felis catus,euka,mamm,1,INTERACTS_WITH_EUKAitawMAMM
C0030498,C0012984,INTERACTS_WITH,Parasites,Canis familiaris,euka,mamm,1,INTERACTS_WITH_EUKAitawMAMM
C0030498,C0033147,INTERACTS_WITH,Parasites,Primates,euka,mamm,1,INTERACTS_WITH_EUKAitawMAMM
C0030498,C0036945,INTERACTS_WITH,Parasites,Sheep,euka,mamm,1,INTERACTS_WITH_EUKAitawMAMM
C0030498,C0325162,INTERACTS_WITH,Parasites,UNGULATES - HOOFED MAMMALS,euka,mamm,1,INTERACTS_WITH_EUKAitawMAMM
