cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0017272,C0017622,INTERACTS_WITH,Gene Library,Gliadin,gngm,aapp,1,INTERACTS_WITH_GNGMitawAAPP
C0017350,C0003241,INTERACTS_WITH,"Genes, Immunoglobulin",Antibodies,gngm,aapp,1,INTERACTS_WITH_GNGMitawAAPP
C0017355,C3715044,INTERACTS_WITH,"Genes, MHC Class I",AKR1A1 wt Allele,gngm,aapp,1,INTERACTS_WITH_GNGMitawAAPP
C0017363,C0021747,INTERACTS_WITH,Multigene Family,Interferons,gngm,aapp,2,INTERACTS_WITH_GNGMitawAAPP
C0017366,C0606869,INTERACTS_WITH,Structural gene,Eukaryotic Initiation Factor-2B,gngm,aapp,1,INTERACTS_WITH_GNGMitawAAPP
C0017366,C1258415,INTERACTS_WITH,Structural gene,enhanced green fluorescent protein,gngm,aapp,1,INTERACTS_WITH_GNGMitawAAPP
C0017366,C3887682,INTERACTS_WITH,Structural gene,"Platelet Glycoprotein 4, human",gngm,aapp,1,INTERACTS_WITH_GNGMitawAAPP
C0017375,C0028608,INTERACTS_WITH,tat Genes,Nucleolar Proteins,gngm,aapp,1,INTERACTS_WITH_GNGMitawAAPP
C0017375,C0040648,INTERACTS_WITH,tat Genes,TRANSCRIPTION FACTOR,gngm,aapp,1,INTERACTS_WITH_GNGMitawAAPP
C0017375,C0079419,INTERACTS_WITH,tat Genes,TP53 gene,gngm,aapp,1,INTERACTS_WITH_GNGMitawAAPP
C0017375,C1333336,INTERACTS_WITH,tat Genes,EP300 gene,gngm,aapp,1,INTERACTS_WITH_GNGMitawAAPP
C0017375,C1418231,INTERACTS_WITH,tat Genes,PABPC1P1 gene,gngm,aapp,1,INTERACTS_WITH_GNGMitawAAPP
C0017376,C0017278,INTERACTS_WITH,"Genes, Viral","Gene Products, env",gngm,aapp,1,INTERACTS_WITH_GNGMitawAAPP
C0017376,C0019652,INTERACTS_WITH,"Genes, Viral",Histones,gngm,aapp,1,INTERACTS_WITH_GNGMitawAAPP
C0017376,C0034845,INTERACTS_WITH,"Genes, Viral",Transferrin Receptor,gngm,aapp,1,INTERACTS_WITH_GNGMitawAAPP
C0017376,C0168981,INTERACTS_WITH,"Genes, Viral",R recombinase,gngm,aapp,1,INTERACTS_WITH_GNGMitawAAPP
C0017376,C1334139,INTERACTS_WITH,"Genes, Viral",IRF3 gene,gngm,aapp,1,INTERACTS_WITH_GNGMitawAAPP
C0017376,C3539688,INTERACTS_WITH,"Genes, Viral",DEGS1 wt Allele,gngm,aapp,1,INTERACTS_WITH_GNGMitawAAPP
C0017376,C3710914,INTERACTS_WITH,"Genes, Viral","EIF2AK2 protein, human",gngm,aapp,1,INTERACTS_WITH_GNGMitawAAPP
C0022457,C0879427,INTERACTS_WITH,K-ras Oncogene,panitumumab,gngm,aapp,1,INTERACTS_WITH_GNGMitawAAPP
C0022959,C1418946,INTERACTS_WITH,LacZ Genes,PROM1 gene,gngm,aapp,2,INTERACTS_WITH_GNGMitawAAPP
C0033713,C0034804,INTERACTS_WITH,Proto-Oncogenes,Estrogen Receptors,gngm,aapp,1,INTERACTS_WITH_GNGMitawAAPP
C0033799,C0057256,INTERACTS_WITH,Pseudogenes,Defensins,gngm,aapp,1,INTERACTS_WITH_GNGMitawAAPP
C0042720,C0014230,INTERACTS_WITH,Viral Genome,endonuclease,gngm,aapp,1,INTERACTS_WITH_GNGMitawAAPP
C0042720,C0017278,INTERACTS_WITH,Viral Genome,"Gene Products, env",gngm,aapp,1,INTERACTS_WITH_GNGMitawAAPP
C0042720,C0035679,INTERACTS_WITH,Viral Genome,RNA Polymerase II,gngm,aapp,1,INTERACTS_WITH_GNGMitawAAPP
C0042720,C0042738,INTERACTS_WITH,Viral Genome,Viral Structural Proteins,gngm,aapp,1,INTERACTS_WITH_GNGMitawAAPP
C0042720,C0055633,INTERACTS_WITH,Viral Genome,Chromogranin A,gngm,aapp,1,INTERACTS_WITH_GNGMitawAAPP
C0042720,C0084178,INTERACTS_WITH,Viral Genome,prohibitin,gngm,aapp,1,INTERACTS_WITH_GNGMitawAAPP
C0042720,C1310468,INTERACTS_WITH,Viral Genome,"DDX58 protein, human",gngm,aapp,1,INTERACTS_WITH_GNGMitawAAPP
C0042720,C1335439,INTERACTS_WITH,Viral Genome,Polymerase,gngm,aapp,2,INTERACTS_WITH_GNGMitawAAPP
C0042720,C1416171,INTERACTS_WITH,Viral Genome,RBPJ gene,gngm,aapp,1,INTERACTS_WITH_GNGMitawAAPP
C0042720,C1420068,INTERACTS_WITH,Viral Genome,SIM2 gene,gngm,aapp,1,INTERACTS_WITH_GNGMitawAAPP
C0042720,C1447020,INTERACTS_WITH,Viral Genome,"DPP4 protein, human",gngm,aapp,1,INTERACTS_WITH_GNGMitawAAPP
C0042720,C1567950,INTERACTS_WITH,Viral Genome,alisporivir,gngm,aapp,1,INTERACTS_WITH_GNGMitawAAPP
C0079427,C0031678,INTERACTS_WITH,Tumor Suppressor Genes,Phosphoric Monoester Hydrolases,gngm,aapp,1,INTERACTS_WITH_GNGMitawAAPP
C0079427,C0040648,INTERACTS_WITH,Tumor Suppressor Genes,TRANSCRIPTION FACTOR,gngm,aapp,1,INTERACTS_WITH_GNGMitawAAPP
C0079427,C1425928,INTERACTS_WITH,Tumor Suppressor Genes,IL31RA gene,gngm,aapp,1,INTERACTS_WITH_GNGMitawAAPP
C0079427,C1567665,INTERACTS_WITH,Tumor Suppressor Genes,"ITK protein, human",gngm,aapp,1,INTERACTS_WITH_GNGMitawAAPP
C0079941,C0002520,INTERACTS_WITH,Open Reading Frames,Amino Acids,gngm,aapp,1,INTERACTS_WITH_GNGMitawAAPP
C0079941,C0007292,INTERACTS_WITH,Open Reading Frames,Carrier Proteins,gngm,aapp,1,INTERACTS_WITH_GNGMitawAAPP
C0079941,C0011516,INTERACTS_WITH,Open Reading Frames,Deoxyribonuclease EcoRI,gngm,aapp,1,INTERACTS_WITH_GNGMitawAAPP
C0079941,C0021747,INTERACTS_WITH,Open Reading Frames,Interferons,gngm,aapp,1,INTERACTS_WITH_GNGMitawAAPP
C0079941,C0041249,INTERACTS_WITH,Open Reading Frames,Tryptophan,gngm,aapp,1,INTERACTS_WITH_GNGMitawAAPP
C0079941,C0042711,INTERACTS_WITH,Open Reading Frames,Viral Envelope Proteins,gngm,aapp,1,INTERACTS_WITH_GNGMitawAAPP
C0079941,C0042736,INTERACTS_WITH,Open Reading Frames,Viral Proteins,gngm,aapp,2,INTERACTS_WITH_GNGMitawAAPP
C0079941,C0815043,INTERACTS_WITH,Open Reading Frames,"Protein, Organized by Function",gngm,aapp,2,INTERACTS_WITH_GNGMitawAAPP
C0079941,C1422064,INTERACTS_WITH,Open Reading Frames,ACE2 gene,gngm,aapp,1,INTERACTS_WITH_GNGMitawAAPP
C0079941,C1705316,INTERACTS_WITH,Open Reading Frames,TERT wt Allele,gngm,aapp,1,INTERACTS_WITH_GNGMitawAAPP
C0079941,C1847590,INTERACTS_WITH,Open Reading Frames,ENDOU gene,gngm,aapp,1,INTERACTS_WITH_GNGMitawAAPP
C0206256,C0040648,INTERACTS_WITH,"Genes, Immediate-Early",TRANSCRIPTION FACTOR,gngm,aapp,1,INTERACTS_WITH_GNGMitawAAPP
C0206256,C4082333,INTERACTS_WITH,"Genes, Immediate-Early","Proto-Oncogene c-Fos, human",gngm,aapp,1,INTERACTS_WITH_GNGMitawAAPP
C0206414,C1419814,INTERACTS_WITH,"Genes, Reporter",SAP30 gene,gngm,aapp,1,INTERACTS_WITH_GNGMitawAAPP
C0206522,C0085177,INTERACTS_WITH,Regulon,RNA-Binding Proteins,gngm,aapp,1,INTERACTS_WITH_GNGMitawAAPP
C0282641,C0001271,INTERACTS_WITH,Transgenes,Actins,gngm,aapp,1,INTERACTS_WITH_GNGMitawAAPP
C0282641,C0010590,INTERACTS_WITH,Transgenes,Cycloserine,gngm,aapp,1,INTERACTS_WITH_GNGMitawAAPP
C0282641,C0014063,INTERACTS_WITH,Transgenes,Myelin Basic Proteins,gngm,aapp,1,INTERACTS_WITH_GNGMitawAAPP
C0282641,C0103306,INTERACTS_WITH,Transgenes,angiotensin I (1-7),gngm,aapp,1,INTERACTS_WITH_GNGMitawAAPP
C0282641,C0475463,INTERACTS_WITH,Transgenes,"Antibodies, Neutralizing",gngm,aapp,1,INTERACTS_WITH_GNGMitawAAPP
C0282641,C1955992,INTERACTS_WITH,Transgenes,"Genome, Chloroplast",gngm,aapp,2,INTERACTS_WITH_GNGMitawAAPP
C0314604,C0378910,INTERACTS_WITH,Human gene,Lymphocyte antigen CD66A,gngm,aapp,1,INTERACTS_WITH_GNGMitawAAPP
C0376571,C3850144,INTERACTS_WITH,BRCA1 gene,Protein Aggregates,gngm,aapp,1,INTERACTS_WITH_GNGMitawAAPP
C0440471,C0034800,INTERACTS_WITH,Genetic Materials,"Receptors, Cell Surface",gngm,aapp,1,INTERACTS_WITH_GNGMitawAAPP
C0524891,C0034790,INTERACTS_WITH,TRB gene,T-Cell Receptor,gngm,aapp,2,INTERACTS_WITH_GNGMitawAAPP
C0598509,C0069304,INTERACTS_WITH,hormone response element,"POU5F1 protein, human",gngm,aapp,1,INTERACTS_WITH_GNGMitawAAPP
C0598509,C0206588,INTERACTS_WITH,hormone response element,"Receptors, Nuclear",gngm,aapp,1,INTERACTS_WITH_GNGMitawAAPP
C0599770,C0009286,INTERACTS_WITH,genetic element,Colicin E3,gngm,aapp,1,INTERACTS_WITH_GNGMitawAAPP
C0599770,C1422282,INTERACTS_WITH,genetic element,LY6G6E gene,gngm,aapp,1,INTERACTS_WITH_GNGMitawAAPP
C0599780,C1335439,INTERACTS_WITH,cis acting element,Polymerase,gngm,aapp,1,INTERACTS_WITH_GNGMitawAAPP
C0599780,C1415892,INTERACTS_WITH,cis acting element,IFIT1 gene,gngm,aapp,1,INTERACTS_WITH_GNGMitawAAPP
C0599797,C0013765,INTERACTS_WITH,hla gene,Elastin,gngm,aapp,1,INTERACTS_WITH_GNGMitawAAPP
C0599797,C0016006,INTERACTS_WITH,hla gene,Fibrinogen,gngm,aapp,1,INTERACTS_WITH_GNGMitawAAPP
C0600449,C0071483,INTERACTS_WITH,"Genes, Essential",poly-N(5)-(2-hydroxyethyl)glutamine,gngm,aapp,1,INTERACTS_WITH_GNGMitawAAPP
C0600449,C1335532,INTERACTS_WITH,"Genes, Essential",Protein Family,gngm,aapp,1,INTERACTS_WITH_GNGMitawAAPP
C0678941,C0020731,INTERACTS_WITH,Gene Mutant,Pertussis Toxin,gngm,aapp,1,INTERACTS_WITH_GNGMitawAAPP
C0678941,C0024337,INTERACTS_WITH,Gene Mutant,Lysine,gngm,aapp,1,INTERACTS_WITH_GNGMitawAAPP
C0682970,C0071346,INTERACTS_WITH,effector domain,Poly(A)-Binding Proteins,gngm,aapp,1,INTERACTS_WITH_GNGMitawAAPP
C0682970,C0243041,INTERACTS_WITH,effector domain,Molecular Chaperones,gngm,aapp,1,INTERACTS_WITH_GNGMitawAAPP
C0682970,C0295022,INTERACTS_WITH,effector domain,TNF receptor-associated factor 3,gngm,aapp,1,INTERACTS_WITH_GNGMitawAAPP
C0682970,C1258836,INTERACTS_WITH,effector domain,"M protein, Severe acute respiratory syndrome virus",gngm,aapp,1,INTERACTS_WITH_GNGMitawAAPP
C0682970,C1413687,INTERACTS_WITH,effector domain,CPSF4 gene,gngm,aapp,1,INTERACTS_WITH_GNGMitawAAPP
C0751608,C0443640,INTERACTS_WITH,cDNA Library,Specific antibody,gngm,aapp,1,INTERACTS_WITH_GNGMitawAAPP
C0751608,C0597427,INTERACTS_WITH,cDNA Library,secretory protein,gngm,aapp,1,INTERACTS_WITH_GNGMitawAAPP
C0751608,C3540252,INTERACTS_WITH,cDNA Library,PYURF gene,gngm,aapp,1,INTERACTS_WITH_GNGMitawAAPP
C0812228,C2986620,INTERACTS_WITH,AKT1 gene,BECN1 wt Allele,gngm,aapp,1,INTERACTS_WITH_GNGMitawAAPP
C0812260,C1705590,INTERACTS_WITH,NCOA4 gene,PIK3CB wt Allele,gngm,aapp,1,INTERACTS_WITH_GNGMitawAAPP
C0812260,C4277629,INTERACTS_WITH,NCOA4 gene,Autophagy-Related Protein 8 Family,gngm,aapp,1,INTERACTS_WITH_GNGMitawAAPP
C0812285,C0086661,INTERACTS_WITH,PVT1 gene,MYC gene,gngm,aapp,1,INTERACTS_WITH_GNGMitawAAPP
C0913423,C0034790,INTERACTS_WITH,methionylglutamic acid,T-Cell Receptor,gngm,aapp,1,INTERACTS_WITH_GNGMitawAAPP
