cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0001869,C1334103,INTERACTS_WITH,Air Pollutants,IL13 gene,hops,aapp,1,INTERACTS_WITH_HOPSitawAAPP
C0001963,C0003241,INTERACTS_WITH,Methanol,Antibodies,hops,aapp,3,INTERACTS_WITH_HOPSitawAAPP
C0001963,C0003242,INTERACTS_WITH,Methanol,"Antibodies, Anti-Idiotypic",hops,aapp,4,INTERACTS_WITH_HOPSitawAAPP
C0001963,C0003250,INTERACTS_WITH,Methanol,Monoclonal Antibodies,hops,aapp,1,INTERACTS_WITH_HOPSitawAAPP
C0001963,C0036774,INTERACTS_WITH,Methanol,"Serum Albumin, Bovine",hops,aapp,1,INTERACTS_WITH_HOPSitawAAPP
C0001963,C0036825,INTERACTS_WITH,Methanol,Serum Proteins,hops,aapp,1,INTERACTS_WITH_HOPSitawAAPP
C0001963,C0051979,INTERACTS_WITH,Methanol,anti-IgG,hops,aapp,1,INTERACTS_WITH_HOPSitawAAPP
C0001963,C0432633,INTERACTS_WITH,Methanol,Blood group antibody N,hops,aapp,1,INTERACTS_WITH_HOPSitawAAPP
C0001963,C1415174,INTERACTS_WITH,Methanol,GOLGA2 gene,hops,aapp,1,INTERACTS_WITH_HOPSitawAAPP
C0002246,C0034792,INTERACTS_WITH,alpha-Bungarotoxin,Cholinergic Receptors,hops,aapp,1,INTERACTS_WITH_HOPSitawAAPP
C0007053,C0008546,INTERACTS_WITH,Carboxin,Chromatin,hops,aapp,1,INTERACTS_WITH_HOPSitawAAPP
C0007090,C0017817,INTERACTS_WITH,Carcinogens,Glutathione,hops,aapp,1,INTERACTS_WITH_HOPSitawAAPP
C0007090,C0079419,INTERACTS_WITH,Carcinogens,TP53 gene,hops,aapp,1,INTERACTS_WITH_HOPSitawAAPP
C0007090,C0079904,INTERACTS_WITH,Carcinogens,NF-kappa B,hops,aapp,1,INTERACTS_WITH_HOPSitawAAPP
