cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0002055,C0036773,INTERACTS_WITH,Alkalies,Serum Albumin,inch,aapp,1,INTERACTS_WITH_INCHitawAAPP
C0002055,C0475463,INTERACTS_WITH,Alkalies,"Antibodies, Neutralizing",inch,aapp,2,INTERACTS_WITH_INCHitawAAPP
C0002055,C0673013,INTERACTS_WITH,Alkalies,"GPER protein, human",inch,aapp,1,INTERACTS_WITH_INCHitawAAPP
C0002055,C1883559,INTERACTS_WITH,Alkalies,Wild Type,inch,aapp,2,INTERACTS_WITH_INCHitawAAPP
C0008203,C0003995,INTERACTS_WITH,Chlorides,Asparagine,inch,aapp,1,INTERACTS_WITH_INCHitawAAPP
C0008838,C0763396,INTERACTS_WITH,Cisplatin,Apoptosis Inducing Factor,inch,aapp,1,INTERACTS_WITH_INCHitawAAPP
C0009359,C0003241,INTERACTS_WITH,Gold Colloid,Antibodies,inch,aapp,2,INTERACTS_WITH_INCHitawAAPP
C0009359,C0003250,INTERACTS_WITH,Gold Colloid,Monoclonal Antibodies,inch,aapp,2,INTERACTS_WITH_INCHitawAAPP
C0009359,C0312586,INTERACTS_WITH,Gold Colloid,Polyclonal antibody,inch,aapp,1,INTERACTS_WITH_INCHitawAAPP
C0009359,C0359168,INTERACTS_WITH,Gold Colloid,Mouse monoclonal antibody,inch,aapp,1,INTERACTS_WITH_INCHitawAAPP
C0016327,C0016194,INTERACTS_WITH,Fluorides,Flagellin,inch,aapp,1,INTERACTS_WITH_INCHitawAAPP
C0016327,C0120285,INTERACTS_WITH,Fluorides,Green Fluorescent Proteins,inch,aapp,1,INTERACTS_WITH_INCHitawAAPP
C0016327,C3813576,INTERACTS_WITH,Fluorides,MAD2L1 wt Allele,inch,aapp,1,INTERACTS_WITH_INCHitawAAPP
C0020281,C0003241,INTERACTS_WITH,Hydrogen Peroxide,Antibodies,inch,aapp,2,INTERACTS_WITH_INCHitawAAPP
C0020281,C0031727,INTERACTS_WITH,Hydrogen Peroxide,Phosphotransferases,inch,aapp,1,INTERACTS_WITH_INCHitawAAPP
C0020281,C0051979,INTERACTS_WITH,Hydrogen Peroxide,anti-IgG,inch,aapp,1,INTERACTS_WITH_INCHitawAAPP
C0020281,C0208940,INTERACTS_WITH,Hydrogen Peroxide,human REG1A protein,inch,aapp,1,INTERACTS_WITH_INCHitawAAPP
C0020281,C0291573,INTERACTS_WITH,Hydrogen Peroxide,caspase-3,inch,aapp,1,INTERACTS_WITH_INCHitawAAPP
C0020281,C1423586,INTERACTS_WITH,Hydrogen Peroxide,RB1CC1 gene,inch,aapp,1,INTERACTS_WITH_INCHitawAAPP
C0020600,C0032120,INTERACTS_WITH,Hypochlorous Acid,Plasma Proteins,inch,aapp,3,INTERACTS_WITH_INCHitawAAPP
C0020746,C0003241,INTERACTS_WITH,Ice,Antibodies,inch,aapp,1,INTERACTS_WITH_INCHitawAAPP
C0020746,C0003313,INTERACTS_WITH,Ice,Immune complex,inch,aapp,1,INTERACTS_WITH_INCHitawAAPP
C0020746,C0012888,INTERACTS_WITH,Ice,DNA Polymerase I,inch,aapp,1,INTERACTS_WITH_INCHitawAAPP
C0020746,C0040679,INTERACTS_WITH,Ice,Transferrin,inch,aapp,1,INTERACTS_WITH_INCHitawAAPP
C0020746,C0041236,INTERACTS_WITH,Ice,TRYPSIN,inch,aapp,1,INTERACTS_WITH_INCHitawAAPP
C0020746,C0051979,INTERACTS_WITH,Ice,anti-IgG,inch,aapp,1,INTERACTS_WITH_INCHitawAAPP
C0025552,C0025646,INTERACTS_WITH,Metals,Methionine,inch,aapp,1,INTERACTS_WITH_INCHitawAAPP
C0025552,C0075278,INTERACTS_WITH,Metals,Streptavidin,inch,aapp,1,INTERACTS_WITH_INCHitawAAPP
C0025552,C1707156,INTERACTS_WITH,Metals,CTBP1 wt Allele,inch,aapp,1,INTERACTS_WITH_INCHitawAAPP
C0025552,C4320396,INTERACTS_WITH,Metals,HDGFL2 gene,inch,aapp,1,INTERACTS_WITH_INCHitawAAPP
C0030015,C0003242,INTERACTS_WITH,Oxides,"Antibodies, Anti-Idiotypic",inch,aapp,1,INTERACTS_WITH_INCHitawAAPP
C0030015,C1979003,INTERACTS_WITH,Oxides,Rabbit Ab,inch,aapp,1,INTERACTS_WITH_INCHitawAAPP
C0031180,C0010654,INTERACTS_WITH,Peroxides,Cysteine,inch,aapp,1,INTERACTS_WITH_INCHitawAAPP
C0031180,C0051979,INTERACTS_WITH,Peroxides,anti-IgG,inch,aapp,1,INTERACTS_WITH_INCHitawAAPP
C0031603,C0014241,INTERACTS_WITH,Phosphates,Endoribonucleases,inch,aapp,1,INTERACTS_WITH_INCHitawAAPP
C0031603,C0035541,INTERACTS_WITH,Phosphates,Pancreatic ribonuclease,inch,aapp,2,INTERACTS_WITH_INCHitawAAPP
C0031603,C0071795,INTERACTS_WITH,Phosphates,2-5A-dependent ribonuclease,inch,aapp,2,INTERACTS_WITH_INCHitawAAPP
C0031603,C0535233,INTERACTS_WITH,Phosphates,arginyllysine,inch,aapp,1,INTERACTS_WITH_INCHitawAAPP
C0031603,C0815043,INTERACTS_WITH,Phosphates,"Protein, Organized by Function",inch,aapp,1,INTERACTS_WITH_INCHitawAAPP
C0034320,C4084937,INTERACTS_WITH,Diphosphates,Antimicrobial Peptide,inch,aapp,1,INTERACTS_WITH_INCHitawAAPP
C0038126,C0042736,INTERACTS_WITH,Stainless Steel,Viral Proteins,inch,aapp,1,INTERACTS_WITH_INCHitawAAPP
C0038720,C1143976,INTERACTS_WITH,"Sulfates, Inorganic","TREM2 protein, human",inch,aapp,1,INTERACTS_WITH_INCHitawAAPP
C0042305,C0031678,INTERACTS_WITH,Vanadates,Phosphoric Monoester Hydrolases,inch,aapp,1,INTERACTS_WITH_INCHitawAAPP
C0042305,C0287531,INTERACTS_WITH,Vanadates,"DUSP1 protein, human",inch,aapp,1,INTERACTS_WITH_INCHitawAAPP
C0043047,C0003765,INTERACTS_WITH,Water,Arginine,inch,aapp,1,INTERACTS_WITH_INCHitawAAPP
C0043047,C0010852,INTERACTS_WITH,Water,Cytoskeletal Proteins,inch,aapp,1,INTERACTS_WITH_INCHitawAAPP
C0043047,C0017968,INTERACTS_WITH,Water,Glycoproteins,inch,aapp,1,INTERACTS_WITH_INCHitawAAPP
C0043047,C0023206,INTERACTS_WITH,Water,Lectin,inch,aapp,2,INTERACTS_WITH_INCHitawAAPP
C0043047,C0027021,INTERACTS_WITH,Water,Peroxidase,inch,aapp,1,INTERACTS_WITH_INCHitawAAPP
C0043047,C0036774,INTERACTS_WITH,Water,"Serum Albumin, Bovine",inch,aapp,1,INTERACTS_WITH_INCHitawAAPP
C0043047,C0051979,INTERACTS_WITH,Water,anti-IgG,inch,aapp,1,INTERACTS_WITH_INCHitawAAPP
C0043047,C0377091,INTERACTS_WITH,Water,Glycopeptidase F,inch,aapp,1,INTERACTS_WITH_INCHitawAAPP
C0043047,C1256770,INTERACTS_WITH,Water,Vascular Endothelial Growth Factors,inch,aapp,1,INTERACTS_WITH_INCHitawAAPP
C0043047,C1415347,INTERACTS_WITH,Water,GTF2I gene,inch,aapp,1,INTERACTS_WITH_INCHitawAAPP
C0043047,C1417953,INTERACTS_WITH,Water,OPA1 gene,inch,aapp,1,INTERACTS_WITH_INCHitawAAPP
C0043047,C1424569,INTERACTS_WITH,Water,DGCR14 gene,inch,aapp,1,INTERACTS_WITH_INCHitawAAPP
C0043047,C1979003,INTERACTS_WITH,Water,Rabbit Ab,inch,aapp,1,INTERACTS_WITH_INCHitawAAPP
C0052416,C0010654,INTERACTS_WITH,arsenic trioxide,Cysteine,inch,aapp,1,INTERACTS_WITH_INCHitawAAPP
C0052418,C0013729,INTERACTS_WITH,arsenite,Eukaryotic Initiation Factor-2,inch,aapp,1,INTERACTS_WITH_INCHitawAAPP
C0052418,C1414334,INTERACTS_WITH,arsenite,EIF2S1 gene,inch,aapp,1,INTERACTS_WITH_INCHitawAAPP
C0066503,C1416682,INTERACTS_WITH,Mica,KLRC1 gene,inch,aapp,1,INTERACTS_WITH_INCHitawAAPP
C0074719,C0013729,INTERACTS_WITH,sodium arsenite,Eukaryotic Initiation Factor-2,inch,aapp,1,INTERACTS_WITH_INCHitawAAPP
C0074719,C1413222,INTERACTS_WITH,sodium arsenite,CD3D gene,inch,aapp,1,INTERACTS_WITH_INCHitawAAPP
C0146894,C0597357,INTERACTS_WITH,triphosphate,receptor,inch,aapp,1,INTERACTS_WITH_INCHitawAAPP
C0146894,C1310468,INTERACTS_WITH,triphosphate,"DDX58 protein, human",inch,aapp,1,INTERACTS_WITH_INCHitawAAPP
C0376520,C0017968,INTERACTS_WITH,Dietary Iron,Glycoproteins,inch,aapp,2,INTERACTS_WITH_INCHitawAAPP
C0376520,C1440867,INTERACTS_WITH,Dietary Iron,"lactoferrin, bovine",inch,aapp,1,INTERACTS_WITH_INCHitawAAPP
C0543134,C0012550,INTERACTS_WITH,Balanced salt solution,Diphtheria Toxin,inch,aapp,1,INTERACTS_WITH_INCHitawAAPP
C0543134,C3147110,INTERACTS_WITH,Balanced salt solution,DSCAM-AS1 gene,inch,aapp,1,INTERACTS_WITH_INCHitawAAPP
C0596072,C0031453,INTERACTS_WITH,amino group,Phenylalanine,inch,aapp,1,INTERACTS_WITH_INCHitawAAPP
C0596072,C0036002,INTERACTS_WITH,amino group,S-Adenosylmethionine,inch,aapp,1,INTERACTS_WITH_INCHitawAAPP
