cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0002055,C0003316,INTERACTS_WITH,Alkalies,Epitopes,inch,imft,1,INTERACTS_WITH_INCHitawIMFT
C0043047,C0001551,INTERACTS_WITH,Water,Immunologic Adjuvants,inch,imft,1,INTERACTS_WITH_INCHitawIMFT
C0043047,C0042210,INTERACTS_WITH,Water,Vaccines,inch,imft,1,INTERACTS_WITH_INCHitawIMFT
C0043047,C0042211,INTERACTS_WITH,Water,"Vaccines, Attenuated",inch,imft,1,INTERACTS_WITH_INCHitawIMFT
C0051522,C0001551,INTERACTS_WITH,aluminum sulfate,Immunologic Adjuvants,inch,imft,2,INTERACTS_WITH_INCHitawIMFT
C0051522,C0887892,INTERACTS_WITH,aluminum sulfate,"Vaccines, Subunit",inch,imft,1,INTERACTS_WITH_INCHitawIMFT
C0074773,C0368675,INTERACTS_WITH,sodium thiocyanate,antibody antigen,inch,imft,1,INTERACTS_WITH_INCHitawIMFT
C0596260,C3890380,INTERACTS_WITH,Carboxyl Group,Ceramide Dodecasaccharide,inch,imft,1,INTERACTS_WITH_INCHitawIMFT
C0733770,C0001551,INTERACTS_WITH,Alhydrogel,Immunologic Adjuvants,inch,imft,1,INTERACTS_WITH_INCHitawIMFT
C3536832,C0002092,INTERACTS_WITH,Air,Allergens,inch,imft,1,INTERACTS_WITH_INCHitawIMFT
