cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0002068,C0038739,INTERACTS_WITH,Alkenes,Sulfides,orch,chvs,1,INTERACTS_WITH_ORCHitawCHVS
C0002078,C0038739,INTERACTS_WITH,Alkynes,Sulfides,orch,chvs,1,INTERACTS_WITH_ORCHitawCHVS
C0005382,C0007447,INTERACTS_WITH,Biguanides,Cations,orch,chvs,2,INTERACTS_WITH_ORCHitawCHVS
C0005575,C0597177,INTERACTS_WITH,Biotin,Particle,orch,chvs,1,INTERACTS_WITH_ORCHitawCHVS
C0007004,C0014020,INTERACTS_WITH,Carbohydrates,Emulsions,orch,chvs,1,INTERACTS_WITH_ORCHitawCHVS
C0007004,C1704241,INTERACTS_WITH,Carbohydrates,complex (molecular entity),orch,chvs,1,INTERACTS_WITH_ORCHitawCHVS
C0008269,C0597177,INTERACTS_WITH,Chloroquine,Particle,orch,chvs,1,INTERACTS_WITH_ORCHitawCHVS
C0014898,C1138408,INTERACTS_WITH,Esters,"Nanotubes, Carbon",orch,chvs,1,INTERACTS_WITH_ORCHitawCHVS
C0023779,C0597177,INTERACTS_WITH,Lipids,Particle,orch,chvs,1,INTERACTS_WITH_ORCHitawCHVS
C0023828,C0032521,INTERACTS_WITH,Liposomes,Polymers,orch,chvs,1,INTERACTS_WITH_ORCHitawCHVS
C0023828,C0597177,INTERACTS_WITH,Liposomes,Particle,orch,chvs,1,INTERACTS_WITH_ORCHitawCHVS
C0025617,C2715259,INTERACTS_WITH,Methane,biochar,orch,chvs,1,INTERACTS_WITH_ORCHitawCHVS
C0026156,C0014020,INTERACTS_WITH,Mineral Oil,Emulsions,orch,chvs,1,INTERACTS_WITH_ORCHitawCHVS
C0032483,C0032521,INTERACTS_WITH,Polyethylene Glycols,Polymers,orch,chvs,1,INTERACTS_WITH_ORCHitawCHVS
C0032483,C0302934,INTERACTS_WITH,Polyethylene Glycols,Fullerenes,orch,chvs,1,INTERACTS_WITH_ORCHitawCHVS
C0032594,C0007447,INTERACTS_WITH,Polysaccharides,Cations,orch,chvs,3,INTERACTS_WITH_ORCHitawCHVS
C0032594,C0596973,INTERACTS_WITH,Polysaccharides,monomer,orch,chvs,1,INTERACTS_WITH_ORCHitawCHVS
C0034392,C0597177,INTERACTS_WITH,Quercetin,Particle,orch,chvs,1,INTERACTS_WITH_ORCHitawCHVS
C0037900,C1704241,INTERACTS_WITH,Sphingolipids,complex (molecular entity),orch,chvs,2,INTERACTS_WITH_ORCHitawCHVS
C0039294,C0302912,INTERACTS_WITH,Tannic Acid,Radicals (chemistry),orch,chvs,1,INTERACTS_WITH_ORCHitawCHVS
C0059804,C0004492,INTERACTS_WITH,ethylene diurea,Azides,orch,chvs,1,INTERACTS_WITH_ORCHitawCHVS
C0061751,C0597177,INTERACTS_WITH,Glycyrrhizic Acid,Particle,orch,chvs,1,INTERACTS_WITH_ORCHitawCHVS
C0071530,C2715259,INTERACTS_WITH,Polychlorodibenzo-4-dioxin,biochar,orch,chvs,1,INTERACTS_WITH_ORCHitawCHVS
C0242209,C0260127,INTERACTS_WITH,Sugars,Phosphonates,orch,chvs,1,INTERACTS_WITH_ORCHitawCHVS
C0282194,C0597177,INTERACTS_WITH,Polybrene,Particle,orch,chvs,1,INTERACTS_WITH_ORCHitawCHVS
C0631225,C0597177,INTERACTS_WITH,patchouli alcohol,Particle,orch,chvs,1,INTERACTS_WITH_ORCHitawCHVS
C0965514,C0036140,INTERACTS_WITH,TO-901317,Salts,orch,chvs,1,INTERACTS_WITH_ORCHitawCHVS
C1531055,C3890228,INTERACTS_WITH,3'-azidothymidine 5'-(p-methoxyphenyl methoxyalaninyl phosphate),Structural Modifier,orch,chvs,1,INTERACTS_WITH_ORCHitawCHVS
C2604695,C0597177,INTERACTS_WITH,quercetin 7-rhamnoside,Particle,orch,chvs,1,INTERACTS_WITH_ORCHitawCHVS
C2728259,C1704241,INTERACTS_WITH,Program,complex (molecular entity),orch,chvs,1,INTERACTS_WITH_ORCHitawCHVS
C2983891,C0597177,INTERACTS_WITH,Apilimod,Particle,orch,chvs,1,INTERACTS_WITH_ORCHitawCHVS
