cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0002502,C0026879,INTERACTS_WITH,Amiloride,Mutagens,orch,hops,1,INTERACTS_WITH_ORCHitawHOPS
C0002508,C0032447,INTERACTS_WITH,Amines,Polychlorinated Biphenyls,orch,hops,1,INTERACTS_WITH_ORCHitawHOPS
C0023810,C0014264,INTERACTS_WITH,Lipopolysaccharides,Endotoxins,orch,hops,1,INTERACTS_WITH_ORCHitawHOPS
C0023828,C0028017,INTERACTS_WITH,Liposomes,Niclosamide,orch,hops,1,INTERACTS_WITH_ORCHitawHOPS
C0026549,C0011892,INTERACTS_WITH,Morphine,Heroin,orch,hops,1,INTERACTS_WITH_ORCHitawHOPS
C0028910,C0544309,INTERACTS_WITH,"Oils, Volatile",repellent,orch,hops,1,INTERACTS_WITH_ORCHitawHOPS
C0038317,C0053800,INTERACTS_WITH,Steroids,bisphenol A,orch,hops,1,INTERACTS_WITH_ORCHitawHOPS
C0073591,C0035871,INTERACTS_WITH,rosoxacin,Rotenone,orch,hops,1,INTERACTS_WITH_ORCHitawHOPS
C0074992,C0148323,INTERACTS_WITH,sphingosine 1-phosphate,Shiga Toxins,orch,hops,1,INTERACTS_WITH_ORCHitawHOPS
C0280485,C0062144,INTERACTS_WITH,m-azidopyrimethamine,"1,2,3,4,9,9-hexachloro-exo-5,6-epoxy-1,4,4a,5,6, 7,8,8a-octahydro-1,4-methanonaphthalene",orch,hops,3,INTERACTS_WITH_ORCHitawHOPS
C0360714,C0039654,INTERACTS_WITH,Hydroxymethylglutaryl-CoA Reductase Inhibitors,Tetradecanoylphorbol Acetate,orch,hops,2,INTERACTS_WITH_ORCHitawHOPS
C0386444,C0009170,INTERACTS_WITH,BD 1047,Cocaine,orch,hops,1,INTERACTS_WITH_ORCHitawHOPS
C0965514,C0028017,INTERACTS_WITH,TO-901317,Niclosamide,orch,hops,1,INTERACTS_WITH_ORCHitawHOPS
C2350439,C0007018,INTERACTS_WITH,Volatile Organic Compounds,Carbon Monoxide,orch,hops,1,INTERACTS_WITH_ORCHitawHOPS
C2926735,C0004519,INTERACTS_WITH,Duration,Azoxymethane,orch,hops,1,INTERACTS_WITH_ORCHitawHOPS
