cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0002062,C0002006,INTERACTS_WITH,Alkaloids,Aldosterone,orch,horm,1,INTERACTS_WITH_ORCHitawHORM
C0005118,C0002006,INTERACTS_WITH,Berberine Alkaloids,Aldosterone,orch,horm,1,INTERACTS_WITH_ORCHitawHORM
C0005802,C0014563,INTERACTS_WITH,Blood Glucose,Epinephrine,orch,horm,1,INTERACTS_WITH_ORCHitawHORM
C0061751,C0017710,INTERACTS_WITH,Glycyrrhizic Acid,Glucocorticoids,orch,horm,1,INTERACTS_WITH_ORCHitawHORM
C0061751,C0020268,INTERACTS_WITH,Glycyrrhizic Acid,Hydrocortisone,orch,horm,1,INTERACTS_WITH_ORCHitawHORM
C0061751,C0033308,INTERACTS_WITH,Glycyrrhizic Acid,Progesterone,orch,horm,1,INTERACTS_WITH_ORCHitawHORM
C0076836,C0001617,INTERACTS_WITH,Toremifene,Adrenal Cortex Hormones,orch,horm,1,INTERACTS_WITH_ORCHitawHORM
C0304518,C0020268,INTERACTS_WITH,Aglycone,Hydrocortisone,orch,horm,1,INTERACTS_WITH_ORCHitawHORM
C0360714,C0001617,INTERACTS_WITH,Hydroxymethylglutaryl-CoA Reductase Inhibitors,Adrenal Cortex Hormones,orch,horm,1,INTERACTS_WITH_ORCHitawHORM
C0767382,C0012472,INTERACTS_WITH,SC 236,Dinoprostone,orch,horm,1,INTERACTS_WITH_ORCHitawHORM
C1257954,C0012472,INTERACTS_WITH,Cyclooxygenase 2 Inhibitors,Dinoprostone,orch,horm,1,INTERACTS_WITH_ORCHitawHORM
