cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0008109,C0039686,INTERACTS_WITH,Chimera organism,Tetrameres,orgm,euka,1,INTERACTS_WITH_ORGMitawEUKA
C0314732,C0018893,INTERACTS_WITH,Infectious agent,Helminths,orgm,euka,1,INTERACTS_WITH_ORGMitawEUKA
C0314732,C0562634,INTERACTS_WITH,Infectious agent,Ectozoic parasite,orgm,euka,1,INTERACTS_WITH_ORGMitawEUKA
C0450254,C0004923,INTERACTS_WITH,Pathogenic organism,Bees,orgm,euka,2,INTERACTS_WITH_ORGMitawEUKA
C0450254,C0021573,INTERACTS_WITH,Pathogenic organism,Insect Vectors,orgm,euka,1,INTERACTS_WITH_ORGMitawEUKA
C0450254,C0021585,INTERACTS_WITH,Pathogenic organism,Insecta,orgm,euka,1,INTERACTS_WITH_ORGMitawEUKA
C0450254,C0030104,INTERACTS_WITH,Pathogenic organism,Oysters,orgm,euka,1,INTERACTS_WITH_ORGMitawEUKA
C0450254,C0030498,INTERACTS_WITH,Pathogenic organism,Parasites,orgm,euka,3,INTERACTS_WITH_ORGMitawEUKA
C0450254,C0324034,INTERACTS_WITH,Pathogenic organism,Coral,orgm,euka,1,INTERACTS_WITH_ORGMitawEUKA
C0450254,C1031041,INTERACTS_WITH,Pathogenic organism,Modulus,orgm,euka,1,INTERACTS_WITH_ORGMitawEUKA
C0450254,C1225105,INTERACTS_WITH,Pathogenic organism,Sia,orgm,euka,1,INTERACTS_WITH_ORGMitawEUKA
C0450254,C1328919,INTERACTS_WITH,Pathogenic organism,invertebrate host,orgm,euka,1,INTERACTS_WITH_ORGMitawEUKA
C0684063,C0003903,INTERACTS_WITH,Eukaryota,Arthropods,orgm,euka,1,INTERACTS_WITH_ORGMitawEUKA
C1956108,C0027581,INTERACTS_WITH,Microbiome,Phylum Nematoda,orgm,euka,1,INTERACTS_WITH_ORGMitawEUKA
