cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0020205,C0043125,INTERACTS_WITH,Hybrids,West Nile virus,orgm,virs,1,INTERACTS_WITH_ORGMitawVIRS
C0020205,C1175743,INTERACTS_WITH,Hybrids,SARS coronavirus,orgm,virs,1,INTERACTS_WITH_ORGMitawVIRS
C0162470,C0019185,INTERACTS_WITH,Specific Pathogen Free,Murine hepatitis virus,orgm,virs,1,INTERACTS_WITH_ORGMitawVIRS
C0314732,C0014644,INTERACTS_WITH,Infectious agent,Epstein-Barr Virus,orgm,virs,1,INTERACTS_WITH_ORGMitawVIRS
C0314732,C0019682,INTERACTS_WITH,Infectious agent,HIV,orgm,virs,1,INTERACTS_WITH_ORGMitawVIRS
C0314732,C0079337,INTERACTS_WITH,Infectious agent,Feline Immunodeficiency Virus,orgm,virs,1,INTERACTS_WITH_ORGMitawVIRS
C0445623,C0014383,INTERACTS_WITH,Microorganism,Enterovirus,orgm,virs,1,INTERACTS_WITH_ORGMitawVIRS
C0445623,C0029347,INTERACTS_WITH,Microorganism,Influenza A virus,orgm,virs,2,INTERACTS_WITH_ORGMitawVIRS
C0445623,C0042776,INTERACTS_WITH,Microorganism,Virus,orgm,virs,2,INTERACTS_WITH_ORGMitawVIRS
C0445623,C0206545,INTERACTS_WITH,Microorganism,Human respiratory syncytial virus,orgm,virs,1,INTERACTS_WITH_ORGMitawVIRS
C0445623,C0318855,INTERACTS_WITH,Microorganism,Porcine epidemic diarrhea virus,orgm,virs,1,INTERACTS_WITH_ORGMitawVIRS
C0450254,C0004419,INTERACTS_WITH,Pathogenic organism,Infectious bronchitis virus,orgm,virs,1,INTERACTS_WITH_ORGMitawVIRS
C0450254,C0004651,INTERACTS_WITH,Pathogenic organism,Bacteriophages,orgm,virs,1,INTERACTS_WITH_ORGMitawVIRS
C0450254,C0014080,INTERACTS_WITH,Pathogenic organism,Encephalomyocarditis virus,orgm,virs,1,INTERACTS_WITH_ORGMitawVIRS
C0450254,C0019682,INTERACTS_WITH,Pathogenic organism,HIV,orgm,virs,3,INTERACTS_WITH_ORGMitawVIRS
C0450254,C0019704,INTERACTS_WITH,Pathogenic organism,HIV-1,orgm,virs,1,INTERACTS_WITH_ORGMitawVIRS
C0450254,C0029341,INTERACTS_WITH,Pathogenic organism,Orthomyxoviridae,orgm,virs,3,INTERACTS_WITH_ORGMitawVIRS
