cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0003451,C0028017,INTERACTS_WITH,Antiviral Agents,Niclosamide,phsu,hops,1,INTERACTS_WITH_PHSUitawHOPS
C0004475,C0026879,INTERACTS_WITH,Azacitidine,Mutagens,phsu,hops,1,INTERACTS_WITH_PHSUitawHOPS
C0028016,C0028017,INTERACTS_WITH,Niclofolan,Niclosamide,phsu,hops,1,INTERACTS_WITH_PHSUitawHOPS
C0032414,C0076374,INTERACTS_WITH,Poly I-C,Thapsigargin,phsu,hops,1,INTERACTS_WITH_PHSUitawHOPS
C0033978,C0242402,INTERACTS_WITH,Psychotropic Drugs,Opioids,phsu,hops,1,INTERACTS_WITH_PHSUitawHOPS
C0035525,C0026879,INTERACTS_WITH,Ribavirin,Mutagens,phsu,hops,3,INTERACTS_WITH_PHSUitawHOPS
C0282555,C0077151,INTERACTS_WITH,Anti-Allergic Agents,trimellitic anhydride,phsu,hops,1,INTERACTS_WITH_PHSUitawHOPS
C1136254,C0439994,INTERACTS_WITH,Microbicides,Tobacco smoke,phsu,hops,1,INTERACTS_WITH_PHSUitawHOPS
C3191774,C0001963,INTERACTS_WITH,Methanol Solution,Methanol,phsu,hops,1,INTERACTS_WITH_PHSUitawHOPS
C3539125,C0040329,INTERACTS_WITH,other medicated shampoos in ATC,Tobacco,phsu,hops,1,INTERACTS_WITH_PHSUitawHOPS
C3539957,C0000098,INTERACTS_WITH,opium alkaloids and derivative combination cough suppressants,1-Methyl-4-phenylpyridinium,phsu,hops,1,INTERACTS_WITH_PHSUitawHOPS
