cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0001047,C0220806,ISA,Acetylcysteine,Chemicals,aapp,chem,1,ISA_AAPPisaCHEM
C0002520,C0001128,ISA,Amino Acids,Acids,aapp,chem,2,ISA_AAPPisaCHEM
C0003241,C0220806,ISA,Antibodies,Chemicals,aapp,chem,4,ISA_AAPPisaCHEM
C0003250,C0220806,ISA,Monoclonal Antibodies,Chemicals,aapp,chem,1,ISA_AAPPisaCHEM
C0009498,C0220806,ISA,Complement System Proteins,Chemicals,aapp,chem,5,ISA_AAPPisaCHEM
C0010654,C0001128,ISA,Cysteine,Acids,aapp,chem,1,ISA_AAPPisaCHEM
C0010934,C0220806,ISA,Dactinomycin,Chemicals,aapp,chem,1,ISA_AAPPisaCHEM
C0017687,C0001128,ISA,Glucagon,Acids,aapp,chem,1,ISA_AAPPisaCHEM
C0017890,C0001128,ISA,Glycine,Acids,aapp,chem,5,ISA_AAPPisaCHEM
C0024337,C0001128,ISA,Lysine,Acids,aapp,chem,1,ISA_AAPPisaCHEM
C0030940,C0220806,ISA,Peptide Hydrolases,Chemicals,aapp,chem,2,ISA_AAPPisaCHEM
C0030946,C0220806,ISA,Endopeptidases,Chemicals,aapp,chem,3,ISA_AAPPisaCHEM
C0039350,C0001128,ISA,Taurine,Acids,aapp,chem,1,ISA_AAPPisaCHEM
C0051979,C0220806,ISA,anti-IgG,Chemicals,aapp,chem,1,ISA_AAPPisaCHEM
C0054314,C0001128,ISA,alpha-aminobutyric acid,Acids,aapp,chem,2,ISA_AAPPisaCHEM
C0061472,C0001128,ISA,Glutamic Acid,Acids,aapp,chem,2,ISA_AAPPisaCHEM
C0067684,C0001128,ISA,N-acetylaspartate,Acids,aapp,chem,1,ISA_AAPPisaCHEM
C0077598,C0220806,ISA,tyrosyltubulin ligase,Chemicals,aapp,chem,1,ISA_AAPPisaCHEM
C0085845,C0001128,ISA,Aspartate,Acids,aapp,chem,3,ISA_AAPPisaCHEM
C0164786,C0220806,ISA,Proto-Oncogene Proteins c-akt,Chemicals,aapp,chem,1,ISA_AAPPisaCHEM
C0169911,C0220806,ISA,messenger protein,Chemicals,aapp,chem,2,ISA_AAPPisaCHEM
C0243041,C0220806,ISA,Molecular Chaperones,Chemicals,aapp,chem,8,ISA_AAPPisaCHEM
C0246694,C0220806,ISA,MG 132,Chemicals,aapp,chem,1,ISA_AAPPisaCHEM
C0387583,C0220806,ISA,cyclooxygenase 2,Chemicals,aapp,chem,1,ISA_AAPPisaCHEM
C0457610,C0220806,ISA,Measles-rubella vaccine (live),Chemicals,aapp,chem,1,ISA_AAPPisaCHEM
C1136240,C0220806,ISA,"Ribosomal Protein S6 Kinases, 70-kDa",Chemicals,aapp,chem,1,ISA_AAPPisaCHEM
C1307407,C0220806,ISA,"FRAP1 protein, human",Chemicals,aapp,chem,1,ISA_AAPPisaCHEM
