cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0001041,C0450442,ISA,Acetylcholine,Agent,bacs,chvf,1,ISA_BACSisaCHVF
C0001443,C0450442,ISA,Adenosine,Agent,bacs,chvf,1,ISA_BACSisaCHVF
C0003320,C0450442,ISA,Antigens,Agent,bacs,chvf,4,ISA_BACSisaCHVF
C0010558,C0450442,ISA,Cyclodextrins,Agent,bacs,chvf,1,ISA_BACSisaCHVF
C0010738,C0450442,ISA,Cytochalasin D,Agent,bacs,chvf,3,ISA_BACSisaCHVF
C0012854,C0450442,ISA,DNA,Agent,bacs,chvf,4,ISA_BACSisaCHVF
C0013982,C0450442,ISA,Emodin,Agent,bacs,chvf,1,ISA_BACSisaCHVF
C0017861,C0450442,ISA,Glycerin,Agent,bacs,chvf,4,ISA_BACSisaCHVF
C0018284,C0450442,ISA,Growth Factor,Agent,bacs,chvf,1,ISA_BACSisaCHVF
C0019134,C0450442,ISA,heparin,Agent,bacs,chvf,2,ISA_BACSisaCHVF
C0023546,C0450442,ISA,Leukotriene B4,Agent,bacs,chvf,1,ISA_BACSisaCHVF
C0025684,C0450442,ISA,Methoxsalen,Agent,bacs,chvf,1,ISA_BACSisaCHVF
C0028606,C0450442,ISA,Nucleic Acids,Agent,bacs,chvf,2,ISA_BACSisaCHVF
C0028928,C0450442,ISA,Oleic Acid,Agent,bacs,chvf,1,ISA_BACSisaCHVF
C0032081,C0450442,ISA,Plant Extracts,Agent,bacs,chvf,1,ISA_BACSisaCHVF
C0033559,C0450442,ISA,Prostaglandins E,Agent,bacs,chvf,1,ISA_BACSisaCHVF
C0033607,C0450442,ISA,Protease Inhibitors,Agent,bacs,chvf,1,ISA_BACSisaCHVF
C0035693,C0450442,ISA,"RNA, Double-Stranded",Agent,bacs,chvf,3,ISA_BACSisaCHVF
C0037874,C0450442,ISA,spermine,Agent,bacs,chvf,1,ISA_BACSisaCHVF
C0039771,C0450442,ISA,Theophylline,Agent,bacs,chvf,1,ISA_BACSisaCHVF
C0040549,C0450442,ISA,Toxin,Agent,bacs,chvf,5,ISA_BACSisaCHVF
C0041942,C0450442,ISA,Urea,Agent,bacs,chvf,4,ISA_BACSisaCHVF
C0043335,C0450442,ISA,Xenobiotics,Agent,bacs,chvf,4,ISA_BACSisaCHVF
C0056912,C0450442,ISA,cytidylyl-3'-5'-guanosine,Agent,bacs,chvf,1,ISA_BACSisaCHVF
C0065335,C0450442,ISA,lycorine,Agent,bacs,chvf,1,ISA_BACSisaCHVF
C0086140,C0450442,ISA,Dextran,Agent,bacs,chvf,3,ISA_BACSisaCHVF
C1099354,C0450442,ISA,"RNA, Small Interfering",Agent,bacs,chvf,3,ISA_BACSisaCHVF
C1268902,C0450442,ISA,Purine analog,Agent,bacs,chvf,1,ISA_BACSisaCHVF
C1566558,C0450442,ISA,Natural Products,Agent,bacs,chvf,1,ISA_BACSisaCHVF
C1764827,C0450442,ISA,Isolate - microorganism,Agent,bacs,chvf,2,ISA_BACSisaCHVF
C2603737,C0450442,ISA,yunnan baiyao,Agent,bacs,chvf,1,ISA_BACSisaCHVF
C3852939,C0450442,ISA,BCX4430,Agent,bacs,chvf,1,ISA_BACSisaCHVF
