cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0001461,C0032521,ISA,Adenosine Diphosphate Ribose,Polymers,bacs,chvs,1,ISA_BACSisaCHVS
C0007012,C0017110,ISA,Carbon Dioxide,Gases,bacs,chvs,2,ISA_BACSisaCHVS
C0008141,C0032521,ISA,Chitin,Polymers,bacs,chvs,3,ISA_BACSisaCHVS
C0012854,C0032521,ISA,DNA,Polymers,bacs,chvs,3,ISA_BACSisaCHVS
C0017973,C0032521,ISA,Glycosaminoglycans,Polymers,bacs,chvs,1,ISA_BACSisaCHVS
C0019134,C0032521,ISA,heparin,Polymers,bacs,chvs,1,ISA_BACSisaCHVS
C0023705,C0032521,ISA,Lignin,Polymers,bacs,chvs,1,ISA_BACSisaCHVS
C0028128,C0017110,ISA,Nitric Oxide,Gases,bacs,chvs,1,ISA_BACSisaCHVS
C0028128,C0302912,ISA,Nitric Oxide,Radicals (chemistry),bacs,chvs,4,ISA_BACSisaCHVS
C0028606,C0032521,ISA,Nucleic Acids,Polymers,bacs,chvs,5,ISA_BACSisaCHVS
C0030958,C0032521,ISA,Peptidoglycan,Polymers,bacs,chvs,1,ISA_BACSisaCHVS
C0032403,C0032521,ISA,Poly Adenosine Diphosphate Ribose,Polymers,bacs,chvs,3,ISA_BACSisaCHVS
C0034085,C0032521,ISA,Pulmonary Surfactants,Polymers,bacs,chvs,2,ISA_BACSisaCHVS
C0037494,C0036140,ISA,Sodium Chloride,Salts,bacs,chvs,23,ISA_BACSisaCHVS
C0074565,C0302912,ISA,Singlet Oxygen,Radicals (chemistry),bacs,chvs,1,ISA_BACSisaCHVS
C0086140,C0032521,ISA,Dextran,Polymers,bacs,chvs,1,ISA_BACSisaCHVS
C0137873,C0032521,ISA,polypyrrole,Polymers,bacs,chvs,1,ISA_BACSisaCHVS
C0162772,C0302912,ISA,Reactive Oxygen Species,Radicals (chemistry),bacs,chvs,1,ISA_BACSisaCHVS
C1099354,C0032521,ISA,"RNA, Small Interfering",Polymers,bacs,chvs,1,ISA_BACSisaCHVS
C1337054,C0032521,ISA,Primary MicroRNA,Polymers,bacs,chvs,1,ISA_BACSisaCHVS
