cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0006345,C0030435,ISA,Melopsittacus,Parakeets,bird,bird,1,ISA_BIRDisaBIRD
C0006824,C0326915,ISA,Serinus,Finches,bird,bird,1,ISA_BIRDisaBIRD
C0008051,C0005595,ISA,Chickens,Aves,bird,bird,25,ISA_BIRDisaBIRD
C0008051,C0325589,ISA,Chickens,Galliformes,bird,bird,4,ISA_BIRDisaBIRD
C0008051,C0325635,ISA,Chickens,Family Phasianidae,bird,bird,2,ISA_BIRDisaBIRD
C0008051,C0999287,ISA,Chickens,Gallus,bird,bird,1,ISA_BIRDisaBIRD
C0013268,C0005595,ISA,Ducks,Aves,bird,bird,7,ISA_BIRDisaBIRD
C0013268,C0032850,ISA,Ducks,"Fowls, Domestic",bird,bird,10,ISA_BIRDisaBIRD
C0013268,C0325486,ISA,Ducks,Anseriformes,bird,bird,9,ISA_BIRDisaBIRD
C0013268,C2959832,ISA,Ducks,Anatinae,bird,bird,1,ISA_BIRDisaBIRD
C0017225,C0005595,ISA,Geese,Aves,bird,bird,7,ISA_BIRDisaBIRD
C0017225,C0032850,ISA,Geese,"Fowls, Domestic",bird,bird,2,ISA_BIRDisaBIRD
C0017225,C0325486,ISA,Geese,Anseriformes,bird,bird,1,ISA_BIRDisaBIRD
C0030435,C1384490,ISA,Parakeets,Family Psittacidae (organism),bird,bird,1,ISA_BIRDisaBIRD
C0032850,C0005595,ISA,"Fowls, Domestic",Aves,bird,bird,13,ISA_BIRDisaBIRD
C0033852,C0005595,ISA,Order Psittaciformes (organism),Aves,bird,bird,19,ISA_BIRDisaBIRD
C0034374,C0005595,ISA,Quail,Aves,bird,bird,2,ISA_BIRDisaBIRD
C0041401,C0005595,ISA,Meleagridinae,Aves,bird,bird,2,ISA_BIRDisaBIRD
C0041401,C0032850,ISA,Meleagridinae,"Fowls, Domestic",bird,bird,2,ISA_BIRDisaBIRD
C0041401,C0324556,ISA,Meleagridinae,Domestic avian species,bird,bird,1,ISA_BIRDisaBIRD
C0041401,C0325635,ISA,Meleagridinae,Family Phasianidae,bird,bird,1,ISA_BIRDisaBIRD
C0324595,C0005595,ISA,Leghorn chicken,Aves,bird,bird,2,ISA_BIRDisaBIRD
C0324595,C0008051,ISA,Leghorn chicken,Chickens,bird,bird,7,ISA_BIRDisaBIRD
C0324624,C0005595,ISA,Pekin duck,Aves,bird,bird,3,ISA_BIRDisaBIRD
C0324624,C0013268,ISA,Pekin duck,Ducks,bird,bird,1,ISA_BIRDisaBIRD
C0324624,C1260943,ISA,Pekin duck,Anas platyrhynchos,bird,bird,5,ISA_BIRDisaBIRD
C0324626,C0005595,ISA,Domestic goose,Aves,bird,bird,1,ISA_BIRDisaBIRD
C0325328,C0005595,ISA,Wild bird,Aves,bird,bird,3,ISA_BIRDisaBIRD
C0325386,C0005595,ISA,Pelecaniformes,Aves,bird,bird,1,ISA_BIRDisaBIRD
C0325430,C1082071,ISA,Fregata minor,Fregata,bird,bird,4,ISA_BIRDisaBIRD
C0325433,C1082071,ISA,Fregata ariel,Fregata,bird,bird,1,ISA_BIRDisaBIRD
C0325437,C0005595,ISA,Heron (bird),Aves,bird,bird,1,ISA_BIRDisaBIRD
C0325437,C0325386,ISA,Heron (bird),Pelecaniformes,bird,bird,2,ISA_BIRDisaBIRD
C0325474,C0325386,ISA,Spoonbill,Pelecaniformes,bird,bird,1,ISA_BIRDisaBIRD
C0325493,C0325486,ISA,Anas platyrhynchos platyrhynchos,Anseriformes,bird,bird,1,ISA_BIRDisaBIRD
C0325495,C0013268,ISA,Anas acuta,Ducks,bird,bird,1,ISA_BIRDisaBIRD
C0325496,C1031495,ISA,Anas strepera strepera,Anas strepera,bird,bird,1,ISA_BIRDisaBIRD
C0325521,C0005595,ISA,Branta canadensis,Aves,bird,bird,2,ISA_BIRDisaBIRD
C0325521,C0325486,ISA,Branta canadensis,Anseriformes,bird,bird,1,ISA_BIRDisaBIRD
C0325525,C1260940,ISA,Anser anser anser (organism),Anser anser,bird,bird,2,ISA_BIRDisaBIRD
C0325528,C0005595,ISA,Genus Cygnus,Aves,bird,bird,1,ISA_BIRDisaBIRD
C0325528,C0325486,ISA,Genus Cygnus,Anseriformes,bird,bird,1,ISA_BIRDisaBIRD
C0325542,C0005595,ISA,Accipitridae,Aves,bird,bird,1,ISA_BIRDisaBIRD
C0325542,C3669511,ISA,Accipitridae,Order Accipitriformes,bird,bird,1,ISA_BIRDisaBIRD
C0325552,C0005595,ISA,Lammergeier,Aves,bird,bird,1,ISA_BIRDisaBIRD
C0325589,C0005595,ISA,Galliformes,Aves,bird,bird,1,ISA_BIRDisaBIRD
C0325628,C0005595,ISA,Meleagris gallopavo,Aves,bird,bird,4,ISA_BIRDisaBIRD
C0325628,C0032850,ISA,Meleagris gallopavo,"Fowls, Domestic",bird,bird,2,ISA_BIRDisaBIRD
C0325628,C0041401,ISA,Meleagris gallopavo,Meleagridinae,bird,bird,2,ISA_BIRDisaBIRD
