cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0004391,C0020964,ISA,Autophagy,Immunity,celf,phsf,2,ISA_CELFisaPHSF
C0004391,C0149784,ISA,Autophagy,biological adaptation to stress,celf,phsf,1,ISA_CELFisaPHSF
C0024426,C0020964,ISA,Macrophage Activation,Immunity,celf,phsf,1,ISA_CELFisaPHSF
C0032176,C0005775,ISA,Platelet aggregation,Blood Circulation,celf,phsf,1,ISA_CELFisaPHSF
C0040682,C3714584,ISA,cell transformation,"Transformation, function",celf,phsf,1,ISA_CELFisaPHSF
C1155046,C0020964,ISA,T-Cell Proliferation,Immunity,celf,phsf,1,ISA_CELFisaPHSF
C1155342,C0149784,ISA,cellular response to unfolded protein,biological adaptation to stress,celf,phsf,3,ISA_CELFisaPHSF
C1156269,C2262739,ISA,regulation of calcium ion concentration,cation homeostasis,celf,phsf,1,ISA_CELFisaPHSF
C1156273,C1326962,ISA,iron ion homeostasis,ion homeostasis,celf,phsf,1,ISA_CELFisaPHSF
C1159970,C0598282,ISA,neuron differentiation,nervous system development,celf,phsf,1,ISA_CELFisaPHSF
