cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0002367,C0025552,ISA,Aluminum,Metals,elii,inch,2,ISA_ELIIisaINCH
C0003818,C0025552,ISA,Arsenic,Metals,elii,inch,1,ISA_ELIIisaINCH
C0005642,C0025552,ISA,Bismuth,Metals,elii,inch,1,ISA_ELIIisaINCH
C0006632,C0025552,ISA,Cadmium,Metals,elii,inch,2,ISA_ELIIisaINCH
C0015180,C0025552,ISA,Europium,Metals,elii,inch,1,ISA_ELIIisaINCH
C0018026,C0025552,ISA,Gold,Metals,elii,inch,3,ISA_ELIIisaINCH
C0021223,C0025552,ISA,Indium,Metals,elii,inch,1,ISA_ELIIisaINCH
C0025424,C0025552,ISA,Mercury,Metals,elii,inch,1,ISA_ELIIisaINCH
C0032207,C0025552,ISA,Platinum,Metals,elii,inch,1,ISA_ELIIisaINCH
C0040302,C0025552,ISA,Titanium,Metals,elii,inch,1,ISA_ELIIisaINCH
C0041383,C0025552,ISA,tungsten,Metals,elii,inch,2,ISA_ELIIisaINCH
C0205838,C0025552,ISA,Lanthanoid Series Elements,Metals,elii,inch,1,ISA_ELIIisaINCH
