cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0006943,C0007284,ISA,Carassius carassius,"Carp, fish",fish,fish,1,ISA_FISHisaFISH
C0022990,C0010596,ISA,Lampreys,Agnatha,fish,fish,1,ISA_FISHisaFISH
C0036108,C0041200,ISA,Oncorhynchus mykiss,Salmo trutta,fish,fish,1,ISA_FISHisaFISH
C0036941,C0327606,ISA,Shark - fish,fish <Chondrichthyes>,fish,fish,2,ISA_FISHisaFISH
C0037246,C0086894,ISA,Skates (Fish),Rajiformes,fish,fish,1,ISA_FISHisaFISH
C0043457,C0010613,ISA,Zebrafish,Cyprinidae,fish,fish,1,ISA_FISHisaFISH
C0079105,C0007418,ISA,"Catfishes, Channel",Siluriformes,fish,fish,1,ISA_FISHisaFISH
C0162640,C0162642,ISA,Tilapia mossambica,Tilapia,fish,fish,1,ISA_FISHisaFISH
C0205942,C0029023,ISA,"Salmon, Sockeye",Oncorhynchus,fish,fish,1,ISA_FISHisaFISH
C0327605,C0022990,ISA,Petromyzon marinus,Lampreys,fish,fish,1,ISA_FISHisaFISH
C0327752,C0327751,ISA,Acipenser,Family Acipensiridae,fish,fish,1,ISA_FISHisaFISH
C0327949,C0036110,ISA,Salmo salar,Salmon,fish,fish,2,ISA_FISHisaFISH
C0327951,C0036129,ISA,Salvelinus alpinus,Salmonidae,fish,fish,1,ISA_FISHisaFISH
C0327963,C0998863,ISA,Hypomesus transpacificus,Osmeridae,fish,fish,1,ISA_FISHisaFISH
C0327986,C0014878,ISA,Exox lucius,Esocidae,fish,fish,1,ISA_FISHisaFISH
C0328037,C0007284,ISA,Grass Carp (fish),"Carp, fish",fish,fish,3,ISA_FISHisaFISH
C0328038,C0007284,ISA,Cyprinus carpio,"Carp, fish",fish,fish,1,ISA_FISHisaFISH
C0949586,C0936076,ISA,Takifugu rubripes,Pufferfish,fish,fish,2,ISA_FISHisaFISH
C0998972,C0016259,ISA,Paralichthys olivaceus,Flounder,fish,fish,2,ISA_FISHisaFISH
C0998975,C0016259,ISA,Platichthys flesus,Flounder,fish,fish,1,ISA_FISHisaFISH
C1004196,C0008769,ISA,Neolamprologus brichardi,Cichlids,fish,fish,1,ISA_FISHisaFISH
C1045919,C0936076,ISA,Tetraodon nigroviridis,Pufferfish,fish,fish,1,ISA_FISHisaFISH
C1056207,C1056206,ISA,Euteleostomi,Teleostomi,fish,fish,1,ISA_FISHisaFISH
C1081145,C1056207,ISA,Sarcopterygii,Euteleostomi,fish,fish,1,ISA_FISHisaFISH
C1214710,C0007418,ISA,Tachysurus fulvidraco,Siluriformes,fish,fish,1,ISA_FISHisaFISH
C1667715,C0007418,ISA,Pangasianodon hypophthalmus,Siluriformes,fish,fish,1,ISA_FISHisaFISH
