cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0000097,C0220806,ISA,"1-Methyl-4-phenyl-1,2,3,6-tetrahydropyridine",Chemicals,hops,chem,1,ISA_HOPSisaCHEM
C0001963,C0220806,ISA,Methanol,Chemicals,hops,chem,1,ISA_HOPSisaCHEM
C0005036,C0220806,ISA,Benzene,Chemicals,hops,chem,1,ISA_HOPSisaCHEM
C0007090,C0220806,ISA,Carcinogens,Chemicals,hops,chem,2,ISA_HOPSisaCHEM
C0008238,C0220806,ISA,Chloroform,Chemicals,hops,chem,1,ISA_HOPSisaCHEM
C0016564,C0220806,ISA,Formaldehyde,Chemicals,hops,chem,2,ISA_HOPSisaCHEM
C0021576,C0220806,ISA,Insecticides,Chemicals,hops,chem,1,ISA_HOPSisaCHEM
C0022108,C0220806,ISA,Irritants,Chemicals,hops,chem,1,ISA_HOPSisaCHEM
C0024334,C0001128,ISA,Lysergic Acid Diethylamide,Acids,hops,chem,1,ISA_HOPSisaCHEM
C0026879,C0220806,ISA,Mutagens,Chemicals,hops,chem,2,ISA_HOPSisaCHEM
C0031253,C0220806,ISA,Pesticides,Chemicals,hops,chem,3,ISA_HOPSisaCHEM
C0045878,C0220806,ISA,2-aminodiphenyl,Chemicals,hops,chem,1,ISA_HOPSisaCHEM
C0045907,C0220806,ISA,2-anthramine,Chemicals,hops,chem,1,ISA_HOPSisaCHEM
C0050587,C0220806,ISA,Acrylamide,Chemicals,hops,chem,2,ISA_HOPSisaCHEM
C0052972,C0220806,ISA,barium chloride,Chemicals,hops,chem,1,ISA_HOPSisaCHEM
C0068008,C0220806,ISA,hexane,Chemicals,hops,chem,1,ISA_HOPSisaCHEM
C0076374,C0220806,ISA,Thapsigargin,Chemicals,hops,chem,2,ISA_HOPSisaCHEM
C0439994,C0220806,ISA,Tobacco smoke,Chemicals,hops,chem,1,ISA_HOPSisaCHEM
C0444414,C0220806,ISA,Biocides,Chemicals,hops,chem,4,ISA_HOPSisaCHEM
C0949307,C0220806,ISA,Formalin,Chemicals,hops,chem,1,ISA_HOPSisaCHEM
C1533643,C0001128,ISA,glycolic acid,Acids,hops,chem,1,ISA_HOPSisaCHEM
C1568245,C0220806,ISA,Endocrine Disruptors,Chemicals,hops,chem,1,ISA_HOPSisaCHEM
