cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0001551,C0450442,ISA,Immunologic Adjuvants,Agent,imft,chvf,11,ISA_IMFTisaCHVF
C0001551,C1550600,ISA,Immunologic Adjuvants,Ingredient,imft,chvf,2,ISA_IMFTisaCHVF
C0003335,C0450442,ISA,"Antigens, Neoplasm",Agent,imft,chvf,1,ISA_IMFTisaCHVF
C0003445,C0450442,ISA,Antitoxins,Agent,imft,chvf,2,ISA_IMFTisaCHVF
C0025010,C0450442,ISA,Measles Vaccine,Agent,imft,chvf,1,ISA_IMFTisaCHVF
C0042210,C0450442,ISA,Vaccines,Agent,imft,chvf,13,ISA_IMFTisaCHVF
C0042211,C0450442,ISA,"Vaccines, Attenuated",Agent,imft,chvf,1,ISA_IMFTisaCHVF
C0166049,C0450442,ISA,Hepatitis C Antibodies,Agent,imft,chvf,2,ISA_IMFTisaCHVF
C1440044,C0450442,ISA,"A,B",Agent,imft,chvf,2,ISA_IMFTisaCHVF
C1883036,C0450442,ISA,Single-Chain Antibodies,Agent,imft,chvf,1,ISA_IMFTisaCHVF
