cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0005367,C0006353,ISA,Bicarbonates,Buffers,inch,bacs,56,ISA_INCHisaBACS
C0020281,C0162772,ISA,Hydrogen Peroxide,Reactive Oxygen Species,inch,bacs,3,ISA_INCHisaBACS
C0020281,C0178645,ISA,Hydrogen Peroxide,oxygen free radical,inch,bacs,1,ISA_INCHisaBACS
C0043491,C0043481,ISA,Zinc Oxide,Zinc,inch,bacs,2,ISA_INCHisaBACS
C0063146,C0016693,ISA,Hydroxyl Radical,Free Radicals,inch,bacs,1,ISA_INCHisaBACS
C0071778,C0006353,ISA,potassium phosphate,Buffers,inch,bacs,33,ISA_INCHisaBACS
C0074722,C0006353,ISA,Sodium Bicarbonate,Buffers,inch,bacs,22,ISA_INCHisaBACS
C0138038,C0006353,ISA,Monobasic potassium phosphate,Buffers,inch,bacs,1,ISA_INCHisaBACS
C0621573,C0006353,ISA,triethylammonium bicarbonate,Buffers,inch,bacs,16,ISA_INCHisaBACS
C1274086,C0043481,ISA,Zinc sulfate monohydrate,Zinc,inch,bacs,1,ISA_INCHisaBACS
