cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0001802,C0085672,ISA,Agglutination Tests,Microbiology procedure,lbpr,lbpr,1,ISA_LBPRisaLBPR
C0001802,C0474643,ISA,Agglutination Tests,Antibody titer measurement,lbpr,lbpr,1,ISA_LBPRisaLBPR
C0005507,C0022885,ISA,Biological Assay,Laboratory Procedures,lbpr,lbpr,1,ISA_LBPRisaLBPR
C0005507,C1510438,ISA,Biological Assay,Assay,lbpr,lbpr,2,ISA_LBPRisaLBPR
C0005774,C0022885,ISA,Blood Chemical Analysis,Laboratory Procedures,lbpr,lbpr,3,ISA_LBPRisaLBPR
C0005833,C0018941,ISA,Blood Sedimentation,Hematologic Tests,lbpr,lbpr,1,ISA_LBPRisaLBPR
C0005845,C0022662,ISA,Blood urea nitrogen measurement,Kidney Function Tests,lbpr,lbpr,1,ISA_LBPRisaLBPR
C0005845,C0022885,ISA,Blood urea nitrogen measurement,Laboratory Procedures,lbpr,lbpr,1,ISA_LBPRisaLBPR
C0005863,C0013855,ISA,Western Blotting,Electrophoresis,lbpr,lbpr,2,ISA_LBPRisaLBPR
C0005863,C0020980,ISA,Western Blotting,Immunoassay method,lbpr,lbpr,2,ISA_LBPRisaLBPR
C0005863,C0020985,ISA,Western Blotting,Immunoblotting,lbpr,lbpr,1,ISA_LBPRisaLBPR
C0005863,C0022885,ISA,Western Blotting,Laboratory Procedures,lbpr,lbpr,1,ISA_LBPRisaLBPR
C0007584,C0022885,ISA,Cell Count,Laboratory Procedures,lbpr,lbpr,13,ISA_LBPRisaLBPR
C0007584,C0919386,ISA,Cell Count,Pathology procedure,lbpr,lbpr,1,ISA_LBPRisaLBPR
C0008551,C0008550,ISA,"Chromatography, Affinity",Chromatography,lbpr,lbpr,9,ISA_LBPRisaLBPR
C0008551,C0684296,ISA,"Chromatography, Affinity",Column Chromatography,lbpr,lbpr,1,ISA_LBPRisaLBPR
C0008562,C0008550,ISA,High pressure liquid chromatography procedure,Chromatography,lbpr,lbpr,4,ISA_LBPRisaLBPR
C0008562,C0008565,ISA,High pressure liquid chromatography procedure,Liquid Chromatography,lbpr,lbpr,1,ISA_LBPRisaLBPR
C0008565,C0678621,ISA,Liquid Chromatography,separation method,lbpr,lbpr,2,ISA_LBPRisaLBPR
C0008813,C0037812,ISA,Circular Dichroism,Spectrum Analysis,lbpr,lbpr,1,ISA_LBPRisaLBPR
C0008813,C0436196,ISA,Circular Dichroism,Spectrometry,lbpr,lbpr,4,ISA_LBPRisaLBPR
C0009541,C0022885,ISA,Complement Fixation Tests,Laboratory Procedures,lbpr,lbpr,1,ISA_LBPRisaLBPR
C0009541,C0036743,ISA,Complement Fixation Tests,Serologic tests,lbpr,lbpr,1,ISA_LBPRisaLBPR
