cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0005971,C1139930,ISA,Bone plates,Device Plate,medd,medd,4,ISA_MEDDisaMEDD
C0011394,C0175649,ISA,Dentures,Prosthesis,medd,medd,1,ISA_MEDDisaMEDD
C0042497,C0457169,ISA,Mechanical Ventilator,Respiratory equipment,medd,medd,3,ISA_MEDDisaMEDD
C0179432,C0014243,ISA,Bronchoscopes,Endoscopes,medd,medd,1,ISA_MEDDisaMEDD
C0179740,C0085590,ISA,Peripherally inserted central catheter (physical object),catheter device,medd,medd,1,ISA_MEDDisaMEDD
C0180170,C0180153,ISA,Shoe cover,Covers (device),medd,medd,1,ISA_MEDDisaMEDD
C0180279,C0179038,ISA,automated flow cytometers,"Analyzer, device",medd,medd,2,ISA_MEDDisaMEDD
C0180565,C0014243,ISA,Duodenoscopes,Endoscopes,medd,medd,1,ISA_MEDDisaMEDD
C0181066,C0181064,ISA,Surgical Gowns,Gown,medd,medd,1,ISA_MEDDisaMEDD
C0181758,C0024861,ISA,Surgical face mask,Masks,medd,medd,10,ISA_MEDDisaMEDD
C0181994,C0179038,ISA,Nephelometer,"Analyzer, device",medd,medd,1,ISA_MEDDisaMEDD
C0184112,C0175730,ISA,Culture tube,biomedical tube device,medd,medd,1,ISA_MEDDisaMEDD
C0221812,C0182998,ISA,Ambu bag,Resuscitator,medd,medd,1,ISA_MEDDisaMEDD
C0262880,C0181845,ISA,Transmission Electron Microscopes,Electron microscope,medd,medd,1,ISA_MEDDisaMEDD
C0392220,C0179323,ISA,scalpel,Blades (device),medd,medd,1,ISA_MEDDisaMEDD
C0441087,C0182400,ISA,Double probe,Probes,medd,medd,2,ISA_MEDDisaMEDD
C0441254,C0021102,ISA,Fixation device,Implants,medd,medd,1,ISA_MEDDisaMEDD
C0521197,C0085590,ISA,Indwelling urinary catheter,catheter device,medd,medd,1,ISA_MEDDisaMEDD
C0581447,C0085590,ISA,Arterial catheter,catheter device,medd,medd,2,ISA_MEDDisaMEDD
C0590323,C0013119,ISA,Gauzes,Medical dressing,medd,medd,1,ISA_MEDDisaMEDD
C0687394,C0181839,ISA,"MICROSCOPE, PHASE CONTRAST",Microscopes,medd,medd,1,ISA_MEDDisaMEDD
C0993596,C0021461,ISA,Metered Dose Inhaler,Inhaler,medd,medd,1,ISA_MEDDisaMEDD
C1301823,C0181982,ISA,Quincke spinal needle,Spinal needle,medd,medd,1,ISA_MEDDisaMEDD
C1553430,C0175730,ISA,Serum Separator Tube,biomedical tube device,medd,medd,2,ISA_MEDDisaMEDD
C1883522,C0175730,ISA,Vacutainer,biomedical tube device,medd,medd,37,ISA_MEDDisaMEDD
C1883522,C0184104,ISA,Vacutainer,blood collection tubes,medd,medd,4,ISA_MEDDisaMEDD
C3881243,C1608928,ISA,Clinical refractometer,Refractometer,medd,medd,1,ISA_MEDDisaMEDD
