cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0001956,C0038586,ISA,Alcohol Use Disorder,Substance Use Disorders,mobd,mobd,1,ISA_MOBDisaMOBD
C0001973,C0740858,ISA,"Alcoholic Intoxication, Chronic",Substance abuse problem,mobd,mobd,1,ISA_MOBDisaMOBD
C0002622,C0004936,ISA,Amnesia,Mental disorders,mobd,mobd,2,ISA_MOBDisaMOBD
C0003469,C0004936,ISA,Anxiety Disorders,Mental disorders,mobd,mobd,1,ISA_MOBDisaMOBD
C0004352,C1535926,ISA,Autistic Disorder,Neurodevelopmental Disorders,mobd,mobd,3,ISA_MOBDisaMOBD
C0005586,C0004936,ISA,Bipolar Disorder,Mental disorders,mobd,mobd,4,ISA_MOBDisaMOBD
C0005586,C0033975,ISA,Bipolar Disorder,Psychotic Disorders,mobd,mobd,1,ISA_MOBDisaMOBD
C0009595,C0233514,ISA,Obsessive-Compulsive Personality,Abnormal behavior,mobd,mobd,1,ISA_MOBDisaMOBD
C0011206,C0009676,ISA,Delirium,Confusion,mobd,mobd,1,ISA_MOBDisaMOBD
C0011570,C0004936,ISA,Mental Depression,Mental disorders,mobd,mobd,1,ISA_MOBDisaMOBD
C0011581,C0004936,ISA,Depressive disorder,Mental disorders,mobd,mobd,13,ISA_MOBDisaMOBD
C0018524,C0011253,ISA,Hallucinations,Delusions,mobd,mobd,2,ISA_MOBDisaMOBD
C0025362,C0004936,ISA,Mental Retardation,Mental disorders,mobd,mobd,1,ISA_MOBDisaMOBD
C0028768,C0004936,ISA,Obsessive-Compulsive Disorder,Mental disorders,mobd,mobd,1,ISA_MOBDisaMOBD
C0030319,C0270549,ISA,Panic Disorder,Generalized Anxiety Disorder,mobd,mobd,1,ISA_MOBDisaMOBD
C0036341,C0004936,ISA,Schizophrenia,Mental disorders,mobd,mobd,5,ISA_MOBDisaMOBD
C0036341,C0033975,ISA,Schizophrenia,Psychotic Disorders,mobd,mobd,2,ISA_MOBDisaMOBD
C0038436,C0003469,ISA,Post-Traumatic Stress Disorder,Anxiety Disorders,mobd,mobd,1,ISA_MOBDisaMOBD
C0038436,C0004936,ISA,Post-Traumatic Stress Disorder,Mental disorders,mobd,mobd,7,ISA_MOBDisaMOBD
C0038586,C0004936,ISA,Substance Use Disorders,Mental disorders,mobd,mobd,2,ISA_MOBDisaMOBD
C0040336,C0740858,ISA,Tobacco Use Disorder,Substance abuse problem,mobd,mobd,1,ISA_MOBDisaMOBD
C0085762,C0013146,ISA,Alcohol abuse,Drug abuse,mobd,mobd,1,ISA_MOBDisaMOBD
C0086769,C0030319,ISA,Panic Attacks,Panic Disorder,mobd,mobd,1,ISA_MOBDisaMOBD
C0233459,C0004936,ISA,Emotional disorder,Mental disorders,mobd,mobd,1,ISA_MOBDisaMOBD
C0281902,C0004936,ISA,maladjustment,Mental disorders,mobd,mobd,1,ISA_MOBDisaMOBD
C0338831,C0004936,ISA,Manic,Mental disorders,mobd,mobd,1,ISA_MOBDisaMOBD
C0497327,C0004936,ISA,Dementia,Mental disorders,mobd,mobd,3,ISA_MOBDisaMOBD
C0524528,C1535926,ISA,Pervasive Development Disorder,Neurodevelopmental Disorders,mobd,mobd,1,ISA_MOBDisaMOBD
C0525045,C0004936,ISA,Mood Disorders,Mental disorders,mobd,mobd,1,ISA_MOBDisaMOBD
C0588008,C0004936,ISA,Severe depression,Mental disorders,mobd,mobd,1,ISA_MOBDisaMOBD
C1510586,C1535926,ISA,Autism Spectrum Disorders,Neurodevelopmental Disorders,mobd,mobd,1,ISA_MOBDisaMOBD
