cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0031715,C0007613,ISA,Phosphorylation,Cell physiology,moft,celf,2,ISA_MOFTisaCELF
C0033666,C0007613,ISA,Post-Translational Protein Processing,Cell physiology,moft,celf,3,ISA_MOFTisaCELF
C0033666,C1660642,ISA,Post-Translational Protein Processing,cellular localization,moft,celf,1,ISA_MOFTisaCELF
C0036522,C0037083,ISA,Second Messenger Systems,Signal Transduction,moft,celf,2,ISA_MOFTisaCELF
C0162847,C0007613,ISA,protein folding,Cell physiology,moft,celf,4,ISA_MOFTisaCELF
C0596620,C0007613,ISA,glucose metabolism,Cell physiology,moft,celf,5,ISA_MOFTisaCELF
C0597295,C0007613,ISA,Protein Biosynthesis,Cell physiology,moft,celf,4,ISA_MOFTisaCELF
C0597295,C0599814,ISA,Protein Biosynthesis,Intracellular Transport,moft,celf,1,ISA_MOFTisaCELF
C0597295,C1660642,ISA,Protein Biosynthesis,cellular localization,moft,celf,1,ISA_MOFTisaCELF
C0597358,C0014139,ISA,receptor binding,Endocytosis,moft,celf,2,ISA_MOFTisaCELF
C0599474,C0007613,ISA,cholesterol biosynthesis,Cell physiology,moft,celf,1,ISA_MOFTisaCELF
C0752319,C0037083,ISA,MAP Kinase Cascade,Signal Transduction,moft,celf,6,ISA_MOFTisaCELF
C0752319,C0086982,ISA,MAP Kinase Cascade,Signal Transduction Pathways,moft,celf,1,ISA_MOFTisaCELF
C0872079,C0007613,ISA,protein protein interaction,Cell physiology,moft,celf,1,ISA_MOFTisaCELF
C1149183,C0037083,ISA,interleukin receptor activity,Signal Transduction,moft,celf,1,ISA_MOFTisaCELF
C1149184,C0037083,ISA,interleukin-1 receptor activity,Signal Transduction,moft,celf,2,ISA_MOFTisaCELF
C1149205,C0037083,ISA,interleukin-27 receptor activity,Signal Transduction,moft,celf,1,ISA_MOFTisaCELF
C1149209,C0037083,ISA,interleukin-6 receptor activity,Signal Transduction,moft,celf,1,ISA_MOFTisaCELF
C1150571,C0037083,ISA,IkappaB kinase activity,Signal Transduction,moft,celf,11,ISA_MOFTisaCELF
C1150587,C0037083,ISA,JUN kinase activity,Signal Transduction,moft,celf,2,ISA_MOFTisaCELF
C1150587,C0086982,ISA,JUN kinase activity,Signal Transduction Pathways,moft,celf,3,ISA_MOFTisaCELF
