cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0000876,C0029246,ISA,Academies,Organization administrative structures,orgt,orgt,1,ISA_ORGTisaORGT
C0008070,C0036375,ISA,Day Care Centers for Children,School,orgt,orgt,2,ISA_ORGTisaORGT
C0015737,C0029246,ISA,Federal Government,Organization administrative structures,orgt,orgt,3,ISA_ORGTisaORGT
C0016617,C0029246,ISA,Foundations,Organization administrative structures,orgt,orgt,5,ISA_ORGTisaORGT
C0018104,C0029246,ISA,Government,Organization administrative structures,orgt,orgt,26,ISA_ORGTisaORGT
C0018105,C0029246,ISA,Government Agencies,Organization administrative structures,orgt,orgt,4,ISA_ORGTisaORGT
C0021622,C0029246,ISA,Institutes,Organization administrative structures,orgt,orgt,2,ISA_ORGTisaORGT
C0026788,C0029246,ISA,Local Government,Organization administrative structures,orgt,orgt,2,ISA_ORGTisaORGT
C0029247,C0029246,ISA,Nonprofit Organizations,Organization administrative structures,orgt,orgt,1,ISA_ORGTisaORGT
C0033145,C0036375,ISA,Primary Schools,School,orgt,orgt,2,ISA_ORGTisaORGT
C0036375,C0029246,ISA,School,Organization administrative structures,orgt,orgt,2,ISA_ORGTisaORGT
C0036530,C0036375,ISA,"Schools, Secondary",School,orgt,orgt,1,ISA_ORGTisaORGT
C0041701,C0021784,ISA,United Nations,International Agencies,orgt,orgt,1,ISA_ORGTisaORGT
C0041701,C0029246,ISA,United Nations,Organization administrative structures,orgt,orgt,2,ISA_ORGTisaORGT
C0041735,C1549054,ISA,United States Department of Veterans Affairs,Veterans Affairs,orgt,orgt,1,ISA_ORGTisaORGT
C0041740,C0029246,ISA,Universities,Organization administrative structures,orgt,orgt,3,ISA_ORGTisaORGT
C0041740,C0036375,ISA,Universities,School,orgt,orgt,130,ISA_ORGTisaORGT
C0041740,C1510747,ISA,Universities,Academia (organization),orgt,orgt,2,ISA_ORGTisaORGT
C0282271,C0029246,ISA,Non-Governmental Organizations,Organization administrative structures,orgt,orgt,5,ISA_ORGTisaORGT
C0424935,C0036375,ISA,Boarding school,School,orgt,orgt,1,ISA_ORGTisaORGT
C0557800,C0036375,ISA,Public school,School,orgt,orgt,1,ISA_ORGTisaORGT
C0680774,C0018104,ISA,independent agency,Government,orgt,orgt,1,ISA_ORGTisaORGT
C0680777,C0018104,ISA,state agency,Government,orgt,orgt,1,ISA_ORGTisaORGT
C0680778,C0029246,ISA,army,Organization administrative structures,orgt,orgt,1,ISA_ORGTisaORGT
C0681331,C0029246,ISA,higher education institution,Organization administrative structures,orgt,orgt,2,ISA_ORGTisaORGT
C0681331,C1510747,ISA,higher education institution,Academia (organization),orgt,orgt,1,ISA_ORGTisaORGT
C0683758,C0029246,ISA,corporation,Organization administrative structures,orgt,orgt,4,ISA_ORGTisaORGT
C0876933,C0036375,ISA,Kindergartens (organization),School,orgt,orgt,7,ISA_ORGTisaORGT
C1880016,C0022877,ISA,Central Laboratory,Laboratory,orgt,orgt,4,ISA_ORGTisaORGT
