cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0005778,C0043240,ISA,Blood coagulation,Wound Healing,ortf,orgf,1,ISA_ORTFisaORGF
C0013936,C0035150,ISA,Embryonic Development,Reproduction,ortf,orgf,2,ISA_ORTFisaORGF
C0013936,C0678723,ISA,Embryonic Development,Biologic Development,ortf,orgf,1,ISA_ORTFisaORGF
C0021055,C0678209,ISA,Immunologic Memory,Adaptive Immunity,ortf,orgf,1,ISA_ORTFisaORGF
C0021055,C0678723,ISA,Immunologic Memory,Biologic Development,ortf,orgf,1,ISA_ORTFisaORGF
C0021826,C0025519,ISA,Intestinal Absorption,Metabolism,ortf,orgf,1,ISA_ORTFisaORGF
C0024888,C0026649,ISA,Chewing,Movement,ortf,orgf,13,ISA_ORTFisaORGF
C0029433,C0678723,ISA,Osteogenesis,Biologic Development,ortf,orgf,1,ISA_ORTFisaORGF
C0032058,C0032961,ISA,Placentation,Pregnancy,ortf,orgf,1,ISA_ORTFisaORGF
C0037269,C0025519,ISA,Skin Absorption,Metabolism,ortf,orgf,1,ISA_ORTFisaORGF
C0302600,C0678723,ISA,Angiogenic Process,Biologic Development,ortf,orgf,1,ISA_ORTFisaORGF
C1523303,C0678723,ISA,neural tube closure,Biologic Development,ortf,orgf,1,ISA_ORTFisaORGF
C1623047,C0043240,ISA,tissue regeneration,Wound Healing,ortf,orgf,1,ISA_ORTFisaORGF
