cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0013330,C1720884,ISA,Dust,Particulate Matter,sbst,sbst,1,ISA_SBSTisaSBST
C0030739,C0037592,ISA,Peat,Soil,sbst,sbst,1,ISA_SBSTisaSBST
C0183753,C0370003,ISA,Swab specimen,Specimen,sbst,sbst,32,ISA_SBSTisaSBST
C0439962,C0439861,ISA,Mixture,Substance,sbst,sbst,1,ISA_SBSTisaSBST
C0444315,C0370003,ISA,Food specimen,Specimen,sbst,sbst,1,ISA_SBSTisaSBST
C0444318,C0370003,ISA,Milk Specimen,Specimen,sbst,sbst,1,ISA_SBSTisaSBST
C1258026,C0037592,ISA,Compost,Soil,sbst,sbst,2,ISA_SBSTisaSBST
C1709595,C0370003,ISA,Pooled Sample,Specimen,sbst,sbst,2,ISA_SBSTisaSBST
C3641126,C0439962,ISA,Racemate,Mixture,sbst,sbst,7,ISA_SBSTisaSBST
C3898767,C0439861,ISA,Inducer,Substance,sbst,sbst,1,ISA_SBSTisaSBST
C4047357,C0043217,ISA,Rosewood,Wood material,sbst,sbst,1,ISA_SBSTisaSBST
