cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0001483,C0445623,ISA,Adenoviruses,Microorganism,virs,orgm,3,ISA_VIRSisaORGM
C0004419,C0445623,ISA,Infectious bronchitis virus,Microorganism,virs,orgm,1,ISA_VIRSisaORGM
C0004651,C0445623,ISA,Bacteriophages,Microorganism,virs,orgm,3,ISA_VIRSisaORGM
C0013480,C0445623,ISA,Ebola virus,Microorganism,virs,orgm,1,ISA_VIRSisaORGM
C0014644,C0445623,ISA,Epstein-Barr Virus,Microorganism,virs,orgm,1,ISA_VIRSisaORGM
C0019369,C0445623,ISA,Herpesviridae,Microorganism,virs,orgm,1,ISA_VIRSisaORGM
C0019682,C0445623,ISA,HIV,Microorganism,virs,orgm,1,ISA_VIRSisaORGM
C0029347,C0445623,ISA,Influenza A virus,Microorganism,virs,orgm,1,ISA_VIRSisaORGM
C0032092,C0445623,ISA,Plant Viruses,Microorganism,virs,orgm,1,ISA_VIRSisaORGM
C0035236,C0445623,ISA,Respiratory syncytial virus,Microorganism,virs,orgm,1,ISA_VIRSisaORGM
C0035473,C0445623,ISA,Rhinovirus,Microorganism,virs,orgm,1,ISA_VIRSisaORGM
C0042776,C0445623,ISA,Virus,Microorganism,virs,orgm,61,ISA_VIRSisaORGM
C0085150,C0445623,ISA,Filoviridae,Microorganism,virs,orgm,2,ISA_VIRSisaORGM
C0206545,C0445623,ISA,Human respiratory syncytial virus,Microorganism,virs,orgm,2,ISA_VIRSisaORGM
C0220847,C0445623,ISA,Hepatitis C virus,Microorganism,virs,orgm,1,ISA_VIRSisaORGM
C0597404,C0445623,ISA,Respiratory viruses,Microorganism,virs,orgm,4,ISA_VIRSisaORGM
C0729756,C0445623,ISA,Variola major virus,Microorganism,virs,orgm,1,ISA_VIRSisaORGM
C0949881,C0445623,ISA,"Coronavirus OC43, Human",Microorganism,virs,orgm,1,ISA_VIRSisaORGM
C0949907,C0445623,ISA,Metapneumovirus,Microorganism,virs,orgm,1,ISA_VIRSisaORGM
C0999953,C0445623,ISA,Bovine rotavirus,Microorganism,virs,orgm,1,ISA_VIRSisaORGM
C1002306,C0445623,ISA,Rotavirus group A,Microorganism,virs,orgm,1,ISA_VIRSisaORGM
C1175743,C0445623,ISA,SARS coronavirus,Microorganism,virs,orgm,1,ISA_VIRSisaORGM
