cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0009221,C0013570,LOCATION_OF,Codon (nucleotide sequence),"Ecthyma, Contagious",bacs,dsyn,1,LOCATION_OF_BACSlocfDSYN
C0009221,C0270814,LOCATION_OF,Codon (nucleotide sequence),Spastic syndrome,bacs,dsyn,1,LOCATION_OF_BACSlocfDSYN
C0009221,C0276500,LOCATION_OF,Codon (nucleotide sequence),Human immunodeficiency virus I infection,bacs,dsyn,1,LOCATION_OF_BACSlocfDSYN
C0242610,C0013570,LOCATION_OF,"Codon, Initiator","Ecthyma, Contagious",bacs,dsyn,3,LOCATION_OF_BACSlocfDSYN
C0242610,C0043116,LOCATION_OF,"Codon, Initiator",HMN (Hereditary Motor Neuropathy) Proximal Type I,bacs,dsyn,1,LOCATION_OF_BACSlocfDSYN
C0242611,C0003486,LOCATION_OF,"Codon, Terminator",Aortic Aneurysm,bacs,dsyn,1,LOCATION_OF_BACSlocfDSYN
C0242611,C0013570,LOCATION_OF,"Codon, Terminator","Ecthyma, Contagious",bacs,dsyn,2,LOCATION_OF_BACSlocfDSYN
C0242611,C0341703,LOCATION_OF,"Codon, Terminator",Adult Fanconi syndrome,bacs,dsyn,1,LOCATION_OF_BACSlocfDSYN
C0600600,C0013570,LOCATION_OF,3' Untranslated Regions,"Ecthyma, Contagious",bacs,dsyn,1,LOCATION_OF_BACSlocfDSYN
C0600600,C0152244,LOCATION_OF,3' Untranslated Regions,"Bone Cysts, Aneurysmal",bacs,dsyn,1,LOCATION_OF_BACSlocfDSYN
C0600600,C0263214,LOCATION_OF,3' Untranslated Regions,Pyotraumatic dermatitis,bacs,dsyn,2,LOCATION_OF_BACSlocfDSYN
C0600600,C0270814,LOCATION_OF,3' Untranslated Regions,Spastic syndrome,bacs,dsyn,2,LOCATION_OF_BACSlocfDSYN
C0600600,C0600327,LOCATION_OF,3' Untranslated Regions,Toxic Shock Syndrome,bacs,dsyn,2,LOCATION_OF_BACSlocfDSYN
C0600600,C1849334,LOCATION_OF,3' Untranslated Regions,"Robinow syndrome, autosomal recessive",bacs,dsyn,1,LOCATION_OF_BACSlocfDSYN
