cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0002638,C1451406,LOCATION_OF,Amniotic Fluid,tulathromycin,bdsu,antb,1,LOCATION_OF_BDSUlocfANTB
C0026131,C4087029,LOCATION_OF,Milk (body substance),Nitroglycerin/Sodium Citrate/Ethanol Solution,bdsu,antb,1,LOCATION_OF_BDSUlocfANTB
C0032105,C0026187,LOCATION_OF,Plasma,Minocycline,bdsu,antb,1,LOCATION_OF_BDSUlocfANTB
C0032105,C0026933,LOCATION_OF,Plasma,Mycophenolic Acid,bdsu,antb,4,LOCATION_OF_BDSUlocfANTB
C0032105,C0031955,LOCATION_OF,Plasma,Piperacillin,bdsu,antb,13,LOCATION_OF_BDSUlocfANTB
C0032105,C0066005,LOCATION_OF,Plasma,meropenem,bdsu,antb,2,LOCATION_OF_BDSUlocfANTB
C0032105,C0075870,LOCATION_OF,Plasma,tazobactam,bdsu,antb,10,LOCATION_OF_BDSUlocfANTB
C0032105,C0310367,LOCATION_OF,Plasma,Today,bdsu,antb,1,LOCATION_OF_BDSUlocfANTB
C0032105,C0796552,LOCATION_OF,Plasma,Geldanamycin Analogue,bdsu,antb,1,LOCATION_OF_BDSUlocfANTB
C0032105,C1451406,LOCATION_OF,Plasma,tulathromycin,bdsu,antb,1,LOCATION_OF_BDSUlocfANTB
C0038056,C0002499,LOCATION_OF,Sputum,Amikacin,bdsu,antb,1,LOCATION_OF_BDSUlocfANTB
C0038056,C0035608,LOCATION_OF,Sputum,Rifampin,bdsu,antb,1,LOCATION_OF_BDSUlocfANTB
C0042036,C0022914,LOCATION_OF,Urine,Lactams,bdsu,antb,1,LOCATION_OF_BDSUlocfANTB
C0042036,C0059374,LOCATION_OF,Urine,enrofloxacin,bdsu,antb,1,LOCATION_OF_BDSUlocfANTB
C0229671,C1451406,LOCATION_OF,Serum,tulathromycin,bdsu,antb,1,LOCATION_OF_BDSUlocfANTB
C0440430,C0013090,LOCATION_OF,Swine epithelium,Doxycycline,bdsu,antb,1,LOCATION_OF_BDSUlocfANTB
C1511332,C0282215,LOCATION_OF,Bronchial Secretion,beta-Lactams,bdsu,antb,1,LOCATION_OF_BDSUlocfANTB
C1550101,C0013090,LOCATION_OF,Supernatant,Doxycycline,bdsu,antb,1,LOCATION_OF_BDSUlocfANTB
C3179346,C0035608,LOCATION_OF,"Sputum, Induced",Rifampin,bdsu,antb,2,LOCATION_OF_BDSUlocfANTB
C3641255,C0031955,LOCATION_OF,Lavage Fluid,Piperacillin,bdsu,antb,1,LOCATION_OF_BDSUlocfANTB
C3641255,C0075870,LOCATION_OF,Lavage Fluid,tazobactam,bdsu,antb,1,LOCATION_OF_BDSUlocfANTB
C4252513,C0022914,LOCATION_OF,Epithelial lining fluid,Lactams,bdsu,antb,1,LOCATION_OF_BDSUlocfANTB
C4252513,C0026187,LOCATION_OF,Epithelial lining fluid,Minocycline,bdsu,antb,1,LOCATION_OF_BDSUlocfANTB
C4252513,C0031955,LOCATION_OF,Epithelial lining fluid,Piperacillin,bdsu,antb,1,LOCATION_OF_BDSUlocfANTB
