cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0000726,C0001878,LOCATION_OF,Abdomen,Air Sacs,blor,bpoc,1,LOCATION_OF_BLORlocfBPOC
C0000726,C0003483,LOCATION_OF,Abdomen,Aorta,blor,bpoc,24,LOCATION_OF_BLORlocfBPOC
C0000726,C0015665,LOCATION_OF,Abdomen,Fat Body,blor,bpoc,2,LOCATION_OF_BLORlocfBPOC
C0000726,C0042449,LOCATION_OF,Abdomen,Veins,blor,bpoc,2,LOCATION_OF_BLORlocfBPOC
C0000726,C0178784,LOCATION_OF,Abdomen,Organ,blor,bpoc,2,LOCATION_OF_BLORlocfBPOC
C0000726,C0222600,LOCATION_OF,Abdomen,Right breast,blor,bpoc,1,LOCATION_OF_BLORlocfBPOC
C0000726,C0229010,LOCATION_OF,Abdomen,Structure of thoracic sympathetic ganglion,blor,bpoc,2,LOCATION_OF_BLORlocfBPOC
C0000726,C0746922,LOCATION_OF,Abdomen,Anatomic Node,blor,bpoc,4,LOCATION_OF_BLORlocfBPOC
C0000726,C0934502,LOCATION_OF,Abdomen,anatomical layer,blor,bpoc,3,LOCATION_OF_BLORlocfBPOC
C0003086,C0022122,LOCATION_OF,Ankle,Bone structure of ischium,blor,bpoc,1,LOCATION_OF_BLORlocfBPOC
C0003086,C0042449,LOCATION_OF,Ankle,Veins,blor,bpoc,1,LOCATION_OF_BLORlocfBPOC
C0004454,C0042449,LOCATION_OF,Axilla,Veins,blor,bpoc,2,LOCATION_OF_BLORlocfBPOC
C0004454,C1285092,LOCATION_OF,Axilla,Gland,blor,bpoc,1,LOCATION_OF_BLORlocfBPOC
C0004600,C0027342,LOCATION_OF,Back,Nail plate,blor,bpoc,1,LOCATION_OF_BLORlocfBPOC
C0004600,C0028429,LOCATION_OF,Back,Nose,blor,bpoc,1,LOCATION_OF_BLORlocfBPOC
C0004600,C0037004,LOCATION_OF,Back,Shoulder,blor,bpoc,1,LOCATION_OF_BLORlocfBPOC
C0004600,C0934502,LOCATION_OF,Back,anatomical layer,blor,bpoc,2,LOCATION_OF_BLORlocfBPOC
C0004600,C1186983,LOCATION_OF,Back,anatomic valve,blor,bpoc,1,LOCATION_OF_BLORlocfBPOC
C0013769,C0022122,LOCATION_OF,Elbow,Bone structure of ischium,blor,bpoc,1,LOCATION_OF_BLORlocfBPOC
C0013769,C0042449,LOCATION_OF,Elbow,Veins,blor,bpoc,2,LOCATION_OF_BLORlocfBPOC
C0013769,C1513049,LOCATION_OF,Elbow,Median Vein,blor,bpoc,1,LOCATION_OF_BLORlocfBPOC
C0015450,C0003842,LOCATION_OF,Face,Arteries,blor,bpoc,2,LOCATION_OF_BLORlocfBPOC
C0015450,C0024204,LOCATION_OF,Face,lymph nodes,blor,bpoc,1,LOCATION_OF_BLORlocfBPOC
C0015450,C0040408,LOCATION_OF,Face,Tongue,blor,bpoc,1,LOCATION_OF_BLORlocfBPOC
C0015450,C0042449,LOCATION_OF,Face,Veins,blor,bpoc,8,LOCATION_OF_BLORlocfBPOC
C0015450,C0934502,LOCATION_OF,Face,anatomical layer,blor,bpoc,1,LOCATION_OF_BLORlocfBPOC
C0016555,C0687080,LOCATION_OF,Forelimb,Paw,blor,bpoc,1,LOCATION_OF_BLORlocfBPOC
C0016555,C1522391,LOCATION_OF,Forelimb,Hindlimb,blor,bpoc,1,LOCATION_OF_BLORlocfBPOC
C0018246,C0729596,LOCATION_OF,Inguinal region,Inguinal lymph node group,blor,bpoc,1,LOCATION_OF_BLORlocfBPOC
C0018670,C0006104,LOCATION_OF,Head,Brain,blor,bpoc,1,LOCATION_OF_BLORlocfBPOC
C0018670,C0014533,LOCATION_OF,Head,Epididymis,blor,bpoc,4,LOCATION_OF_BLORlocfBPOC
C0018670,C0015815,LOCATION_OF,Head,Structure of neck of femur,blor,bpoc,1,LOCATION_OF_BLORlocfBPOC
