cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0004600,C0033770,LOCATION_OF,Back,Prune Belly Syndrome,blor,cgab,1,LOCATION_OF_BLORlocfCGAB
C0023216,C0025995,LOCATION_OF,Lower Extremity,Micromelia,blor,cgab,1,LOCATION_OF_BLORlocfCGAB
C0023216,C0265660,LOCATION_OF,Lower Extremity,Syndactyly of the toes,blor,cgab,1,LOCATION_OF_BLORlocfCGAB
C0027530,C0033770,LOCATION_OF,Neck,Prune Belly Syndrome,blor,cgab,2,LOCATION_OF_BLORlocfCGAB
C0043262,C0003886,LOCATION_OF,Wrist,Arthrogryposis,blor,cgab,1,LOCATION_OF_BLORlocfCGAB
C0230168,C0033770,LOCATION_OF,Abdominal Cavity,Prune Belly Syndrome,blor,cgab,3,LOCATION_OF_BLORlocfCGAB
C0450615,C0028326,LOCATION_OF,BL21,Noonan Syndrome,blor,cgab,1,LOCATION_OF_BLORlocfCGAB
C0581758,C0033770,LOCATION_OF,Nuchal region,Prune Belly Syndrome,blor,cgab,1,LOCATION_OF_BLORlocfCGAB
C1140621,C0033770,LOCATION_OF,Leg,Prune Belly Syndrome,blor,cgab,2,LOCATION_OF_BLORlocfCGAB
C2697752,C0027341,LOCATION_OF,Injury Site,Nail-Patella Syndrome,blor,cgab,1,LOCATION_OF_BLORlocfCGAB
