cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0015450,C0020452,LOCATION_OF,Face,Hyperemia,blor,patf,1,LOCATION_OF_BLORlocfPATF
C0015450,C0041582,LOCATION_OF,Face,Ulcer,blor,patf,1,LOCATION_OF_BLORlocfPATF
C0016555,C0041582,LOCATION_OF,Forelimb,Ulcer,blor,patf,1,LOCATION_OF_BLORlocfPATF
C0018670,C0002170,LOCATION_OF,Head,Alopecia,blor,patf,1,LOCATION_OF_BLORlocfPATF
C0018870,C0041582,LOCATION_OF,Heel,Ulcer,blor,patf,1,LOCATION_OF_BLORlocfPATF
C0019552,C0036974,LOCATION_OF,Hip structure,Shock,blor,patf,1,LOCATION_OF_BLORlocfPATF
C0019552,C3887513,LOCATION_OF,Hip structure,Avascular necrosis,blor,patf,1,LOCATION_OF_BLORlocfPATF
C0022742,C0013687,LOCATION_OF,Knee,effusion,blor,patf,1,LOCATION_OF_BLORlocfPATF
C0022742,C0029445,LOCATION_OF,Knee,Bone necrosis,blor,patf,5,LOCATION_OF_BLORlocfPATF
C0023216,C0013604,LOCATION_OF,Lower Extremity,Edema,blor,patf,5,LOCATION_OF_BLORlocfPATF
C0023216,C0036974,LOCATION_OF,Lower Extremity,Shock,blor,patf,1,LOCATION_OF_BLORlocfPATF
C0023216,C0041582,LOCATION_OF,Lower Extremity,Ulcer,blor,patf,5,LOCATION_OF_BLORlocfPATF
C0023216,C0151702,LOCATION_OF,Lower Extremity,Muscle hemorrhage,blor,patf,1,LOCATION_OF_BLORlocfPATF
C0023759,C0002994,LOCATION_OF,Lip structure,Angioedema,blor,patf,1,LOCATION_OF_BLORlocfPATF
C0023759,C0013604,LOCATION_OF,Lip structure,Edema,blor,patf,3,LOCATION_OF_BLORlocfPATF
C0023759,C0041582,LOCATION_OF,Lip structure,Ulcer,blor,patf,1,LOCATION_OF_BLORlocfPATF
C0025474,C0020452,LOCATION_OF,Mesentery,Hyperemia,blor,patf,1,LOCATION_OF_BLORlocfPATF
C0027530,C0000833,LOCATION_OF,Neck,Abscess,blor,patf,1,LOCATION_OF_BLORlocfPATF
C0205054,C0333574,LOCATION_OF,Hepatic,Fatty deposition,blor,patf,30,LOCATION_OF_BLORlocfPATF
C0225593,C3714514,LOCATION_OF,Bifurcation of trachea,Infection,blor,patf,1,LOCATION_OF_BLORlocfPATF
C0230069,C0002170,LOCATION_OF,Anterior portion of neck,Alopecia,blor,patf,1,LOCATION_OF_BLORlocfPATF
C0521352,C0020452,LOCATION_OF,subglottic,Hyperemia,blor,patf,1,LOCATION_OF_BLORlocfPATF
C0521367,C0020452,LOCATION_OF,Oropharyngeal,Hyperemia,blor,patf,3,LOCATION_OF_BLORlocfPATF
C0521367,C0041582,LOCATION_OF,Oropharyngeal,Ulcer,blor,patf,2,LOCATION_OF_BLORlocfPATF
C0817096,C0032227,LOCATION_OF,Chest,Pleural effusion disorder,blor,patf,1,LOCATION_OF_BLORlocfPATF
C0817704,C0041582,LOCATION_OF,Right heel,Ulcer,blor,patf,1,LOCATION_OF_BLORlocfPATF
C1545955,C0041582,LOCATION_OF,Body site,Ulcer,blor,patf,1,LOCATION_OF_BLORlocfPATF
