cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0004600,C0205160,LOCATION_OF,Back,Negative,blor,qlco,3,LOCATION_OF_BLORlocfQLCO
C0015450,C0205160,LOCATION_OF,Face,Negative,blor,qlco,1,LOCATION_OF_BLORlocfQLCO
C0018670,C0332149,LOCATION_OF,Head,Possible,blor,qlco,1,LOCATION_OF_BLORlocfQLCO
C0230007,C0332149,LOCATION_OF,Temporal region,Possible,blor,qlco,1,LOCATION_OF_BLORlocfQLCO
C0230166,C0332219,LOCATION_OF,Lower abdomen,Easy,blor,qlco,1,LOCATION_OF_BLORlocfQLCO
C0230171,C0205160,LOCATION_OF,Flank (surface region),Negative,blor,qlco,1,LOCATION_OF_BLORlocfQLCO
C0521367,C0205160,LOCATION_OF,Oropharyngeal,Negative,blor,qlco,1,LOCATION_OF_BLORlocfQLCO
C0521367,C0332149,LOCATION_OF,Oropharyngeal,Possible,blor,qlco,1,LOCATION_OF_BLORlocfQLCO
C0738267,C0332149,LOCATION_OF,Surface of intestine,Possible,blor,qlco,1,LOCATION_OF_BLORlocfQLCO
C1273723,C0442797,LOCATION_OF,Brain region,Decreasing,blor,qlco,1,LOCATION_OF_BLORlocfQLCO
C2951725,C0332149,LOCATION_OF,Lateral rostrotemporal auditory cortex,Possible,blor,qlco,2,LOCATION_OF_BLORlocfQLCO
