cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0005953,C2344229,LOCATION_OF,Bone Marrow,Ery,bpoc,antb,1,LOCATION_OF_BPOClocfANTB
C0006104,C0039644,LOCATION_OF,Brain,Tetracycline,bpoc,antb,1,LOCATION_OF_BPOClocfANTB
C0006104,C0066005,LOCATION_OF,Brain,meropenem,bpoc,antb,1,LOCATION_OF_BPOClocfANTB
C0018563,C0310367,LOCATION_OF,Hand,Today,bpoc,antb,1,LOCATION_OF_BPOClocfANTB
C0018787,C0013089,LOCATION_OF,Heart,Doxorubicin,bpoc,antb,2,LOCATION_OF_BPOClocfANTB
C0018792,C0013089,LOCATION_OF,Heart Atrium,Doxorubicin,bpoc,antb,1,LOCATION_OF_BPOClocfANTB
C0018827,C0013089,LOCATION_OF,Heart Ventricle,Doxorubicin,bpoc,antb,1,LOCATION_OF_BPOClocfANTB
C0021852,C0072980,LOCATION_OF,"Intestines, Small",Sirolimus,bpoc,antb,1,LOCATION_OF_BPOClocfANTB
C0021853,C0027603,LOCATION_OF,Intestines,Neomycin,bpoc,antb,1,LOCATION_OF_BPOClocfANTB
C0022646,C0013089,LOCATION_OF,Kidney,Doxorubicin,bpoc,antb,1,LOCATION_OF_BPOClocfANTB
C0022646,C0039644,LOCATION_OF,Kidney,Tetracycline,bpoc,antb,1,LOCATION_OF_BPOClocfANTB
C0023884,C0008293,LOCATION_OF,Liver,Chlortetracycline,bpoc,antb,1,LOCATION_OF_BPOClocfANTB
C0023884,C0013089,LOCATION_OF,Liver,Doxorubicin,bpoc,antb,1,LOCATION_OF_BPOClocfANTB
C0024109,C0013089,LOCATION_OF,Lung,Doxorubicin,bpoc,antb,1,LOCATION_OF_BPOClocfANTB
C0024109,C0031955,LOCATION_OF,Lung,Piperacillin,bpoc,antb,7,LOCATION_OF_BPOClocfANTB
C0024109,C0039644,LOCATION_OF,Lung,Tetracycline,bpoc,antb,1,LOCATION_OF_BPOClocfANTB
C0024109,C0072980,LOCATION_OF,Lung,Sirolimus,bpoc,antb,1,LOCATION_OF_BPOClocfANTB
C0024109,C0075870,LOCATION_OF,Lung,tazobactam,bpoc,antb,4,LOCATION_OF_BPOClocfANTB
C0027442,C0052796,LOCATION_OF,Nasopharynx,Azithromycin,bpoc,antb,1,LOCATION_OF_BPOClocfANTB
C0028429,C0085259,LOCATION_OF,Nose,Mupirocin,bpoc,antb,3,LOCATION_OF_BPOClocfANTB
C0036630,C0016610,LOCATION_OF,Seminiferous tubule structure,Fosfomycin,bpoc,antb,1,LOCATION_OF_BPOClocfANTB
C0037925,C0026187,LOCATION_OF,Spinal Cord,Minocycline,bpoc,antb,1,LOCATION_OF_BPOClocfANTB
C0178784,C0039644,LOCATION_OF,Organ,Tetracycline,bpoc,antb,1,LOCATION_OF_BPOClocfANTB
C0242386,C0081959,LOCATION_OF,Udder,ceftiofur,bpoc,antb,1,LOCATION_OF_BPOClocfANTB
C0475358,C0013089,LOCATION_OF,Tumor tissue sample,Doxorubicin,bpoc,antb,5,LOCATION_OF_BPOClocfANTB
C0700374,C0001268,LOCATION_OF,Palate,Spectinomycin,bpoc,antb,1,LOCATION_OF_BPOClocfANTB
C1184743,C0013089,LOCATION_OF,bony process,Doxorubicin,bpoc,antb,1,LOCATION_OF_BPOClocfANTB
C1184743,C0026933,LOCATION_OF,bony process,Mycophenolic Acid,bpoc,antb,1,LOCATION_OF_BPOClocfANTB
