cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0006104,C0806359,LOCATION_OF,Brain,Herpes simplex virus 1 DNA,bpoc,nnon,1,LOCATION_OF_BPOClocfNNON
C0006104,C1148428,LOCATION_OF,Brain,Torque teno virus DNA,bpoc,nnon,1,LOCATION_OF_BPOClocfNNON
C0016504,C0806359,LOCATION_OF,Foot,Herpes simplex virus 1 DNA,bpoc,nnon,1,LOCATION_OF_BPOClocfNNON
C0021853,C0805018,LOCATION_OF,Intestines,Adenovirus DNA,bpoc,nnon,1,LOCATION_OF_BPOClocfNNON
C0022646,C0050078,LOCATION_OF,Kidney,8-oxo-7-hydrodeoxyguanosine,bpoc,nnon,1,LOCATION_OF_BPOClocfNNON
C0024109,C0242964,LOCATION_OF,Lung,"DNA, Plant",bpoc,nnon,1,LOCATION_OF_BPOClocfNNON
C0024109,C0805018,LOCATION_OF,Lung,Adenovirus DNA,bpoc,nnon,1,LOCATION_OF_BPOClocfNNON
C0024109,C4277666,LOCATION_OF,Lung,Antagomirs,bpoc,nnon,1,LOCATION_OF_BPOClocfNNON
C0024109,C4284724,LOCATION_OF,Lung,Allele-Specific Oligonucleotide,bpoc,nnon,2,LOCATION_OF_BPOClocfNNON
C0025148,C0805018,LOCATION_OF,Medulla Oblongata,Adenovirus DNA,bpoc,nnon,1,LOCATION_OF_BPOClocfNNON
C0028936,C0805018,LOCATION_OF,Structure of olfactory bulb,Adenovirus DNA,bpoc,nnon,1,LOCATION_OF_BPOClocfNNON
C0037949,C0600500,LOCATION_OF,Vertebral column,Peptide Nucleic Acids,bpoc,nnon,1,LOCATION_OF_BPOClocfNNON
C0037949,C1311713,LOCATION_OF,Vertebral column,locked nucleic acid,bpoc,nnon,1,LOCATION_OF_BPOClocfNNON
C0037993,C0805018,LOCATION_OF,Spleen,Adenovirus DNA,bpoc,nnon,1,LOCATION_OF_BPOClocfNNON
C0175173,C2982391,LOCATION_OF,Neocortex,Long Intergenic Non-Protein Coding RNA,bpoc,nnon,1,LOCATION_OF_BPOClocfNNON
C0178784,C1148428,LOCATION_OF,Organ,Torque teno virus DNA,bpoc,nnon,1,LOCATION_OF_BPOClocfNNON
C0746922,C1510800,LOCATION_OF,Anatomic Node,Adenoviral Vector,bpoc,nnon,1,LOCATION_OF_BPOClocfNNON
