cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0006104,C0225326,LOCATION_OF,Brain,Fiber,bpoc,phsu,1,LOCATION_OF_BPOClocfPHSU
C0006104,C0699680,LOCATION_OF,Brain,Metric,bpoc,phsu,1,LOCATION_OF_BPOClocfPHSU
C0006141,C0003392,LOCATION_OF,Breast,Antineoplastic Agents,bpoc,phsu,2,LOCATION_OF_BPOClocfPHSU
C0015392,C0225326,LOCATION_OF,Eye,Fiber,bpoc,phsu,3,LOCATION_OF_BPOClocfPHSU
C0015392,C0393080,LOCATION_OF,Eye,voriconazole,bpoc,phsu,1,LOCATION_OF_BPOClocfPHSU
C0018787,C0003195,LOCATION_OF,Heart,Anti-Arrhythmia Agents,bpoc,phsu,1,LOCATION_OF_BPOClocfPHSU
C0021358,C1328695,LOCATION_OF,Inferior Colliculus,silicon phthalocyanine 4,bpoc,phsu,1,LOCATION_OF_BPOClocfPHSU
C0023317,C0225326,LOCATION_OF,"Lens, Crystalline",Fiber,bpoc,phsu,15,LOCATION_OF_BPOClocfPHSU
C0023884,C0119926,LOCATION_OF,Liver,glycyrrhetyl 3-monoglucuronide,bpoc,phsu,2,LOCATION_OF_BPOClocfPHSU
C0024109,C0006720,LOCATION_OF,Lung,Calcium Sulfate,bpoc,phsu,1,LOCATION_OF_BPOClocfPHSU
C0024109,C0225326,LOCATION_OF,Lung,Fiber,bpoc,phsu,1,LOCATION_OF_BPOClocfPHSU
C0024109,C0387288,LOCATION_OF,Lung,Verteporfin,bpoc,phsu,1,LOCATION_OF_BPOClocfPHSU
C0029126,C0225326,LOCATION_OF,Optic Chiasms,Fiber,bpoc,phsu,1,LOCATION_OF_BPOClocfPHSU
C0034121,C0225326,LOCATION_OF,Pupil,Fiber,bpoc,phsu,1,LOCATION_OF_BPOClocfPHSU
C0037993,C0254579,LOCATION_OF,Spleen,5-(6)-carboxyfluorescein diacetate succinimidyl ester,bpoc,phsu,2,LOCATION_OF_BPOClocfPHSU
C0039259,C0225326,LOCATION_OF,Tail,Fiber,bpoc,phsu,18,LOCATION_OF_BPOClocfPHSU
C0178784,C0011777,LOCATION_OF,Organ,Dexamethasone,bpoc,phsu,1,LOCATION_OF_BPOClocfPHSU
C0458578,C0724139,LOCATION_OF,Upper respiratory tract,Urised,bpoc,phsu,1,LOCATION_OF_BPOClocfPHSU
C0458827,C0062185,LOCATION_OF,Airway structure,heliox,bpoc,phsu,1,LOCATION_OF_BPOClocfPHSU
C0475358,C0003392,LOCATION_OF,Tumor tissue sample,Antineoplastic Agents,bpoc,phsu,1,LOCATION_OF_BPOClocfPHSU
C0746922,C0699680,LOCATION_OF,Anatomic Node,Metric,bpoc,phsu,1,LOCATION_OF_BPOClocfPHSU
C0819757,C0011777,LOCATION_OF,Structure of parenchyma of lung,Dexamethasone,bpoc,phsu,1,LOCATION_OF_BPOClocfPHSU
C1185944,C0699680,LOCATION_OF,Splenius,Metric,bpoc,phsu,1,LOCATION_OF_BPOClocfPHSU
C1515933,C0037982,LOCATION_OF,Alveolus,Spironolactone,bpoc,phsu,1,LOCATION_OF_BPOClocfPHSU
C2706046,C0037982,LOCATION_OF,Eye lid,Spironolactone,bpoc,phsu,1,LOCATION_OF_BPOClocfPHSU
